display,ID,label,frequency,ANSWER,leftLabel,rightLabel,centerLabel,buttonLeft,buttonRight,buttonCenter,randomise_blocks,randomise_trials,TimedSection,pause,list
experiment,bim24.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,2,,,3
experiment,32175.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,2,,,3
experiment,20175.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,22775.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,2,,,3
experiment,bim10.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,11475.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,2,,,3
experiment,32675.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,2,,,3
break,,,,,,,,,,,,,,# Break n.2 of 5 - Take your time to rest. When you're ready click the button below.,3
experiment,30875.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,13375.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,3,,,3
experiment,bim22.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,3,,,3
experiment,30475.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,32575.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,bim3.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,3,,,3
experiment,30425.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,10975.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,3,,,3
experiment,23475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,3,,,3
experiment,22675.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,3,,,3
experiment,30725.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,12075.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,3,,,3
experiment,31125.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,31825.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,21475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,3,,,3
experiment,bim14.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,3,,,3
experiment,20375.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,3,,,3
experiment,32175.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,30425.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,32675.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,22675.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,3,,,3
experiment,32575.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,32975.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,bim8.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,3,,,3
experiment,22575.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,3,,,3
experiment,12275.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,3,,,3
break,,,,,,,,,,,,,,# Break n.3 of 5 - Take your time to rest. When you're ready click the button below.,3
experiment,bim20.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,bim22.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,4,,,3
experiment,10275.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,30875.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,4,,,3
experiment,10625.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,10275.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,22475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,21575.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,10625.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,21975.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,21225.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,31975.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,4,,,3
experiment,bim23.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,4,,,3
experiment,22575.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,22325.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,bim22.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,10975.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,20375.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,bim23.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,20275.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,bim21.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,4,,,3
experiment,12475.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,12675.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,12275.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,31875.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,4,,,3
experiment,12775.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,bim8.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,4,,,3
experiment,11125.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,4,,,3
experiment,31125.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,4,,,3
break,,,,,,,,,,,,,,# Break n.4 of 5 - Take your time to rest. When you're ready click the button below.,3
experiment,13375.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,5,,,3
experiment,30725.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,30575.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,21575.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,11975.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,5,,,3
experiment,20125.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,11825.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,5,,,3
experiment,bim18.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,bim14.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,5,,,3
experiment,31075.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,bim18.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,21725.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,21175.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,13275.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,5,,,3
experiment,32875.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,31575.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,22225.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,11825.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,5,,,3
experiment,bim11.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,30925.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,bim23.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,13275.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,5,,,3
experiment,22475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,31575.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,5,,,3
experiment,21475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
experiment,bim21.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,5,,,3
break,,,,,,,,,,,,,,# Break n.5 of 5 - Take your time to rest. Only few trials left!,3
experiment,bim20.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,6,,,3
experiment,22875.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,6,,,3
experiment,22225.jpg,wug,l,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,6,,,3
experiment,13475.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,12475.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,11125.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,bim20.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,6,,,3
experiment,32875.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
experiment,10675.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,30275.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
experiment,11475.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,31825.jpg,tob,l,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
experiment,bim10.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,32075.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
experiment,23475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,6,,,3
experiment,12775.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,20475.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,6,,,3
experiment,30175.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
experiment,22075.jpg,wug,h,c,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,6,,,3
experiment,10225.jpg,dep,l,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,31975.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
experiment,10675.jpg,dep,h,r,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,6,,,3
experiment,30575.jpg,tob,h,l,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
experiment,bim24.jpg,bim,control,l,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,6,,,3
