"randomise_blocks","randomise_trials","display","fribbleID","labelPresented","frequency","trialType","ShowProgressBar","list"
,,"instructions",,,,,,3
"",1,"task","31725.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,3
"",1,"task","30725.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,3
"",1,"task","33475.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,3
"",1,"task","30225.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,3
"",1,"task","33175.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,3
"",1,"task","21725.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,3
"",1,"task","31825.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,3
"",1,"task","30825.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,3
"",1,"task","31025.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,3
"",1,"task","21125.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,3
"",1,"task","22675.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,3
"",1,"task","10225.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,3
"",1,"task","10925.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,3
"",1,"task","31375.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,3
"",1,"task","32575.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,3
"",1,"task","20675.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,3
"",1,"task","31075.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,3
"",1,"task","11525.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,3
"",1,"task","33575.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,3
"",1,"task","20975.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,3
"",1,"task","20625.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,3
"",1,"task","22175.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,3
"",1,"task","22025.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,3
"",1,"task","13375.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,3
"",1,"task","11075.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,3
"",1,"task","21425.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,3
"",1,"task","23275.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,3
"",1,"task","30275.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,3
"",1,"task","10425.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,3
"",1,"task","11625.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,3
"",1,"task","22425.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,3
"",1,"task","10125.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,3
"",1,"task","20375.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,3
"",1,"task","31525.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,3
"",1,"task","30525.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,3
"",1,"task","20825.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,3
