"randomise_blocks","randomise_trials","display","fribbleID","labelPresented","frequency","trialType","ShowProgressBar","list"
,,"instructions",,,,,,2
"",1,"task","21975.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,2
"",1,"task","30575.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,2
"",1,"task","11275.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,2
"",1,"task","30625.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,2
"",1,"task","22425.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,2
"",1,"task","11475.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,2
"",1,"task","22025.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,2
"",1,"task","10225.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,2
"",1,"task","11025.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,2
"",1,"task","32175.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,2
"",1,"task","30325.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,2
"",1,"task","30275.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,2
"",1,"task","11375.jpg","<p style=""font-size: 500%;""> wug </p>","h","mismatch-type1",1,2
"",1,"task","12225.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,2
"",1,"task","30475.jpg","<p style=""font-size: 500%;""> tob </p>","h","match",1,2
"",1,"task","23475.jpg","<p style=""font-size: 500%;""> wug </p>","h","match",1,2
"",1,"task","20725.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,2
"",1,"task","21525.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,2
"",1,"task","20675.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,2
"",1,"task","32775.jpg","<p style=""font-size: 500%;""> dep </p>","h","mismatch-type1",1,2
"",1,"task","10925.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,2
"",1,"task","31325.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,2
"",1,"task","11875.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,2
"",1,"task","21175.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,2
"",1,"task","11975.jpg","<p style=""font-size: 500%;""> dep </p>","h","match",1,2
"",1,"task","22125.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,2
"",1,"task","21825.jpg","<p style=""font-size: 500%;""> dep </p>","l","mismatch-type1",1,2
"",1,"task","20425.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,2
"",1,"task","12425.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,2
"",1,"task","20475.jpg","<p style=""font-size: 500%;""> tob </p>","h","mismatch-type1",1,2
"",1,"task","12125.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,2
"",1,"task","20825.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,2
"",1,"task","11825.jpg","<p style=""font-size: 500%;""> dep </p>","l","match",1,2
"",1,"task","30525.jpg","<p style=""font-size: 500%;""> wug </p>","l","mismatch-type1",1,2
"",1,"task","32525.jpg","<p style=""font-size: 500%;""> tob </p>","l","match",1,2
"",1,"task","11125.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,2
"",1,"task","10725.jpg","<p style=""font-size: 500%;""> tob </p>","l","mismatch-type1",1,2
"",1,"task","21325.jpg","<p style=""font-size: 500%;""> wug </p>","l","match",1,2
