display,ID,label,frequency,ANSWER,leftLabel,rightLabel,centerLabel,buttonLeft,buttonRight,buttonCenter,randomise_blocks,randomise_trials,TimedSection,pause,list
screen calibration,,,,,,,,,,,,,,,2
instructions1,,,,,,,,,,,,,,,2
practice,31075.jpg,tob,,,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,2
practice,23075.jpg,wug,,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,2
practice,11375.jpg,dep,,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,,2
practice,11725.jpg,dep,,,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,,2
practice,30225.jpg,tob,,,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,2
practice,20125.jpg,wug,,,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,,,2
instructions2,,,,,,,,,,,,,,,2
experiment,12275.jpg,dep,h,l,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,2
experiment,11375.jpg,dep,h,l,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,2
experiment,11425.jpg,dep,l,l,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,2
experiment,22975.jpg,wug,h,r,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,2
experiment,bim7.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
experiment,22025.jpg,wug,l,r,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,2
experiment,11925.jpg,dep,l,l,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,2
experiment,31075.jpg,tob,h,c,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
experiment,bim4.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
experiment,bim22.jpg,bim,control,r,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,2
experiment,22475.jpg,wug,h,r,,"<p style=""font-size: 700%;"">wug</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,1,,,2
experiment,11975.jpg,dep,h,l,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,2
experiment,31975.jpg,tob,h,c,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
experiment,32775.jpg,tob,h,c,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
experiment,33275.jpg,tob,h,c,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
experiment,12075.jpg,dep,h,l,"<p style=""font-size: 700%;"">dep</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,,,1,,,2
experiment,31725.jpg,tob,l,c,,,"<p style=""font-size: 700%;"">tob</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
experiment,bim17.jpg,bim,control,c,,,"<p style=""font-size: 700%;"">bim</p>",,,"<p style=""font-size: 500%;"">Click for next trial</p>",,1,,,2
