Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Question Key,Response
1,1597269796996,12/08/2020 22:03:16,1597269797095,1,12/08/2020 23:03:17,15519,24,questionnaire-8f8c,,6474573,BLIND,1846352,,complete,,5f3463ade8ee3837d8651bb4,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1536x722,,Debrief,3,FL,BEGIN QUESTIONNAIRE,
2,1597269809030,12/08/2020 22:03:29,1597269809173,1,12/08/2020 23:03:29,15519,24,questionnaire-8f8c,,6474573,BLIND,1846352,,complete,,5f3463ade8ee3837d8651bb4,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,FL,response-3,
3,1597269809140,12/08/2020 22:03:29,1597269809175,1,12/08/2020 23:03:29,15519,24,questionnaire-8f8c,,6474573,BLIND,1846352,,complete,,5f3463ade8ee3837d8651bb4,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,FL,response-4,
4,1597269809140,12/08/2020 22:03:29,1597269809175,1,12/08/2020 23:03:29,15519,24,questionnaire-8f8c,,6474573,BLIND,1846352,,complete,,5f3463ade8ee3837d8651bb4,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,FL,response-5,
5,1597269809140,12/08/2020 22:03:29,1597269809176,1,12/08/2020 23:03:29,15519,24,questionnaire-8f8c,,6474573,BLIND,1846352,,complete,,5f3463ade8ee3837d8651bb4,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,FL,END QUESTIONNAIRE,12081
1,1597269810164,12/08/2020 22:03:30,1597269809083,1,12/08/2020 23:03:29,15519,24,questionnaire-8f8c,,6474577,BLIND,1846353,,complete,,5f3463b0103f6435e76a2cda,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1300x803,,Debrief,3,FL,BEGIN QUESTIONNAIRE,
2,1597269863726,12/08/2020 22:04:23,1597269862672,1,12/08/2020 23:04:22,15519,24,questionnaire-8f8c,,6474577,BLIND,1846353,,complete,,5f3463b0103f6435e76a2cda,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1300x803,,Debrief,3,FL,response-3,
3,1597269863803,12/08/2020 22:04:23,1597269862673,1,12/08/2020 23:04:22,15519,24,questionnaire-8f8c,,6474577,BLIND,1846353,,complete,,5f3463b0103f6435e76a2cda,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1300x803,,Debrief,3,FL,response-4,I got a headache from looking at the flashing images for so long - I don't think the white background helped
4,1597269863803,12/08/2020 22:04:23,1597269862675,1,12/08/2020 23:04:22,15519,24,questionnaire-8f8c,,6474577,BLIND,1846353,,complete,,5f3463b0103f6435e76a2cda,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1300x803,,Debrief,3,FL,response-5,
5,1597269863803,12/08/2020 22:04:23,1597269862675,1,12/08/2020 23:04:22,15519,24,questionnaire-8f8c,,6474577,BLIND,1846353,,complete,,5f3463b0103f6435e76a2cda,computer,Desktop or Laptop,Mac OS 10.15,Firefox 79.0,1440x900,1300x803,,Debrief,3,FL,END QUESTIONNAIRE,53592
