Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Question Key,Response
1,1597392564870,14/08/2020 08:09:24,1597392565230,1,14/08/2020 09:09:25,15519,25,questionnaire-mkjr,,6490434,BLIND,1851566,,complete,,5f3646ad0bfd1e696266fcc1,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1536x864,1536x750,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1597392651915,14/08/2020 08:10:51,1597392652382,1,14/08/2020 09:10:52,15519,25,questionnaire-mkjr,,6490434,BLIND,1851566,,complete,,5f3646ad0bfd1e696266fcc1,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1536x864,1536x750,,Consent,6,LF,q1,1
3,1597392652009,14/08/2020 08:10:52,1597392652386,1,14/08/2020 09:10:52,15519,25,questionnaire-mkjr,,6490434,BLIND,1851566,,complete,,5f3646ad0bfd1e696266fcc1,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1536x864,1536x750,,Consent,6,LF,q4,1
4,1597392652009,14/08/2020 08:10:52,1597392652386,1,14/08/2020 09:10:52,15519,25,questionnaire-mkjr,,6490434,BLIND,1851566,,complete,,5f3646ad0bfd1e696266fcc1,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1536x864,1536x750,,Consent,6,LF,q6,1
5,1597392652009,14/08/2020 08:10:52,1597392652386,1,14/08/2020 09:10:52,15519,25,questionnaire-mkjr,,6490434,BLIND,1851566,,complete,,5f3646ad0bfd1e696266fcc1,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1536x864,1536x750,,Consent,6,LF,END QUESTIONNAIRE,87156
1,1597392575248,14/08/2020 08:09:35,1597392571338,-4,14/08/2020 04:09:31,15519,25,questionnaire-mkjr,,6490437,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1853x977,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1597392589040,14/08/2020 08:09:49,1597392585193,-4,14/08/2020 04:09:45,15519,25,questionnaire-mkjr,,6490437,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1853x977,,Consent,6,LF,q1,1
3,1597392589181,14/08/2020 08:09:49,1597392585194,-4,14/08/2020 04:09:45,15519,25,questionnaire-mkjr,,6490437,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1853x977,,Consent,6,LF,q4,1
4,1597392589181,14/08/2020 08:09:49,1597392585194,-4,14/08/2020 04:09:45,15519,25,questionnaire-mkjr,,6490437,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1853x977,,Consent,6,LF,q6,1
5,1597392589181,14/08/2020 08:09:49,1597392585194,-4,14/08/2020 04:09:45,15519,25,questionnaire-mkjr,,6490437,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1853x977,,Consent,6,LF,END QUESTIONNAIRE,13856
1,1597392578227,14/08/2020 08:09:38,1597392578378,-4,14/08/2020 04:09:38,15519,25,questionnaire-mkjr,,6490438,BLIND,1851568,,complete,,5f3646b4e8ee380e28a7ecf7,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.125,2560x1440,2543x1279,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1597392718647,14/08/2020 08:11:58,1597392718871,-4,14/08/2020 04:11:58,15519,25,questionnaire-mkjr,,6490438,BLIND,1851568,,complete,,5f3646b4e8ee380e28a7ecf7,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.125,2560x1440,2560x1297,,Consent,6,LF,q1,1
3,1597392718788,14/08/2020 08:11:58,1597392718872,-4,14/08/2020 04:11:58,15519,25,questionnaire-mkjr,,6490438,BLIND,1851568,,complete,,5f3646b4e8ee380e28a7ecf7,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.125,2560x1440,2560x1297,,Consent,6,LF,q4,1
4,1597392718788,14/08/2020 08:11:58,1597392718872,-4,14/08/2020 04:11:58,15519,25,questionnaire-mkjr,,6490438,BLIND,1851568,,complete,,5f3646b4e8ee380e28a7ecf7,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.125,2560x1440,2560x1297,,Consent,6,LF,q6,1
5,1597392718788,14/08/2020 08:11:58,1597392718872,-4,14/08/2020 04:11:58,15519,25,questionnaire-mkjr,,6490438,BLIND,1851568,,complete,,5f3646b4e8ee380e28a7ecf7,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.125,2560x1440,2560x1297,,Consent,6,LF,END QUESTIONNAIRE,140494
1,1597392582103,14/08/2020 08:09:42,1597392590025,1,14/08/2020 09:09:50,15519,25,questionnaire-mkjr,,6490440,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,Consent,6,FL,BEGIN QUESTIONNAIRE,
2,1597392607327,14/08/2020 08:10:07,1597392615331,1,14/08/2020 09:10:15,15519,25,questionnaire-mkjr,,6490440,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,Consent,6,FL,q1,1
