Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Question Key,Response
2,1596474261470,03/08/2020 17:04:21,1596474261401,-4,03/08/2020 13:04:21,15519,20,questionnaire-mkjr,,6348222,BLIND,1799963,,complete,,5f283afee1f6e5103b9ab4ed,computer,Desktop or Laptop,Linux x86_64,Chrome 74.0.3729.108,1920x1080,1897x691,,Consent,6,FL,q1,1
3,1596474261642,03/08/2020 17:04:21,1596474261402,-4,03/08/2020 13:04:21,15519,20,questionnaire-mkjr,,6348222,BLIND,1799963,,complete,,5f283afee1f6e5103b9ab4ed,computer,Desktop or Laptop,Linux x86_64,Chrome 74.0.3729.108,1920x1080,1897x691,,Consent,6,FL,q4,1
4,1596474261642,03/08/2020 17:04:21,1596474261402,-4,03/08/2020 13:04:21,15519,20,questionnaire-mkjr,,6348222,BLIND,1799963,,complete,,5f283afee1f6e5103b9ab4ed,computer,Desktop or Laptop,Linux x86_64,Chrome 74.0.3729.108,1920x1080,1897x691,,Consent,6,FL,q6,1
5,1596474261642,03/08/2020 17:04:21,1596474261402,-4,03/08/2020 13:04:21,15519,20,questionnaire-mkjr,,6348222,BLIND,1799963,,complete,,5f283afee1f6e5103b9ab4ed,computer,Desktop or Laptop,Linux x86_64,Chrome 74.0.3729.108,1920x1080,1897x691,,Consent,6,FL,END QUESTIONNAIRE,6709
1,1596480033448,03/08/2020 18:40:33,1596480032896,-4,03/08/2020 14:40:32,15519,20,questionnaire-mkjr,,6349450,BLIND,1800330,,complete,,5f285a14fdc2e315916c6586,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,990x927,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596480043479,03/08/2020 18:40:43,1596480042957,-4,03/08/2020 14:40:42,15519,20,questionnaire-mkjr,,6349450,BLIND,1800330,,complete,,5f285a14fdc2e315916c6586,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,990x927,,Consent,6,LF,q1,1
3,1596480043604,03/08/2020 18:40:43,1596480042959,-4,03/08/2020 14:40:42,15519,20,questionnaire-mkjr,,6349450,BLIND,1800330,,complete,,5f285a14fdc2e315916c6586,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,990x927,,Consent,6,LF,q4,1
4,1596480043604,03/08/2020 18:40:43,1596480042959,-4,03/08/2020 14:40:42,15519,20,questionnaire-mkjr,,6349450,BLIND,1800330,,complete,,5f285a14fdc2e315916c6586,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,990x927,,Consent,6,LF,q6,1
5,1596480043604,03/08/2020 18:40:43,1596480042959,-4,03/08/2020 14:40:42,15519,20,questionnaire-mkjr,,6349450,BLIND,1800330,,complete,,5f285a14fdc2e315916c6586,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,990x927,,Consent,6,LF,END QUESTIONNAIRE,10064
1,1596480034682,03/08/2020 18:40:34,1596480034014,1,03/08/2020 19:40:34,15519,20,questionnaire-mkjr,,6349451,BLIND,1800331,,complete,,5f285a1bb78f0215dafe2977,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1416x937,,Consent,6,FL,BEGIN QUESTIONNAIRE,
2,1596480047979,03/08/2020 18:40:47,1596480047139,1,03/08/2020 19:40:47,15519,20,questionnaire-mkjr,,6349451,BLIND,1800331,,complete,,5f285a1bb78f0215dafe2977,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1416x937,,Consent,6,FL,q1,1
3,1596480048073,03/08/2020 18:40:48,1596480047141,1,03/08/2020 19:40:47,15519,20,questionnaire-mkjr,,6349451,BLIND,1800331,,complete,,5f285a1bb78f0215dafe2977,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1920x1080,1416x937,,Consent,6,FL,q4,1
