Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
1,1597392610570,14/08/2020 08:10:10,1597392606679,-4,14/08/2020 04:10:06,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,,,,,fullscreen,0,,,,,
2,1597392621083,14/08/2020 08:10:21,1597392617250,-4,14/08/2020 04:10:17,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,NA,,,instructions,,instructions,1,,,,,
3,1597392622114,14/08/2020 08:10:22,1597392618253,-4,14/08/2020 04:10:18,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,This is a tob:,,learningBlock1,,html-keyboard-response,2,,,,,
4,1597392622431,14/08/2020 08:10:22,1597392618581,-4,14/08/2020 04:10:18,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,/task/90393/14/asset/Slide1.JPG,,,,image-keyboard-response,3,,,,,
5,1597392623432,14/08/2020 08:10:23,1597392619584,-4,14/08/2020 04:10:19,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,4,,/task/90393/14/asset/Slide1.JPG,This is a tob:,LF,
6,1597392624417,14/08/2020 08:10:24,1597392620587,-4,14/08/2020 04:10:20,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,This is a wug:,,learningBlock1,,html-keyboard-response,5,,,,,
7,1597392624769,14/08/2020 08:10:24,1597392620915,-4,14/08/2020 04:10:20,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,/task/90393/14/asset/Slide2.JPG,,,,image-keyboard-response,6,,,,,
8,1597392625770,14/08/2020 08:10:25,1597392621917,-4,14/08/2020 04:10:21,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,7,,/task/90393/14/asset/Slide2.JPG,This is a wug:,LF,
9,1597392626758,14/08/2020 08:10:26,1597392622920,-4,14/08/2020 04:10:22,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,This is a bim:,,learningBlock1,,html-keyboard-response,8,,,,,
10,1597392627101,14/08/2020 08:10:27,1597392623249,-4,14/08/2020 04:10:23,15519,25,task-mmu4,,6490442,BLIND,1851567,,complete,,5f3646a5a7d5c668c11ca370,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.59,1920x1080,1920x1080,,exp2_visual,14,LF,,/task/90393/14/asset/Slide3.JPG,,,,image-keyboard-response,9,,,,,
