Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
16,1596621954886,05/08/2020 10:05:54,1596621954369,-4,05/08/2020 06:05:54,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide5.JPG,,,,image-keyboard-response,15,,,,,
17,1596621955886,05/08/2020 10:05:55,1596621955373,-4,05/08/2020 06:05:55,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,16,,/task/90393/10/asset/Slide5.JPG,This is a wug:,LF,
18,1596621956901,05/08/2020 10:05:56,1596621956375,-4,05/08/2020 06:05:56,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a dep:,,learningBlock1,,html-keyboard-response,17,,,,,
19,1596621957230,05/08/2020 10:05:57,1596621956706,-4,05/08/2020 06:05:56,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide6.JPG,,,,image-keyboard-response,18,,,,,
20,1596621958228,05/08/2020 10:05:58,1596621957712,-4,05/08/2020 06:05:57,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,19,,/task/90393/10/asset/Slide6.JPG,This is a dep:,LF,
21,1596621959248,05/08/2020 10:05:59,1596621958719,-4,05/08/2020 06:05:58,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a wug:,,learningBlock1,,html-keyboard-response,20,,,,,
22,1596621959591,05/08/2020 10:05:59,1596621959049,-4,05/08/2020 06:05:59,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide7.JPG,,,,image-keyboard-response,21,,,,,
23,1596621960575,05/08/2020 10:06:00,1596621960054,-4,05/08/2020 06:06:00,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,22,,/task/90393/10/asset/Slide7.JPG,This is a wug:,LF,
24,1596621961575,05/08/2020 10:06:01,1596621961056,-4,05/08/2020 06:06:01,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a bim:,,learningBlock1,,html-keyboard-response,23,,,,,
25,1596621961950,05/08/2020 10:06:01,1596621961387,-4,05/08/2020 06:06:01,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide8.JPG,,,,image-keyboard-response,24,,,,,
26,1596621962919,05/08/2020 10:06:02,1596621962391,-4,05/08/2020 06:06:02,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,25,,/task/90393/10/asset/Slide8.JPG,This is a bim:,LF,
27,1596621963919,05/08/2020 10:06:03,1596621963396,-4,05/08/2020 06:06:03,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a wug:,,learningBlock1,,html-keyboard-response,26,,,,,
28,1596621964247,05/08/2020 10:06:04,1596621963725,-4,05/08/2020 06:06:03,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide9.JPG,,,,image-keyboard-response,27,,,,,
