Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
1,1596621322524,05/08/2020 09:55:22,1596621321091,1,05/08/2020 10:55:21,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,,,,,fullscreen,0,,,,,
2,1596621333841,05/08/2020 09:55:33,1596621332490,1,05/08/2020 10:55:32,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,NA,,,instructions,,instructions,1,,,,,
3,1596621334063,05/08/2020 09:55:34,1596621332676,1,05/08/2020 10:55:32,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,/task/90393/10/asset/Slide1.JPG,,,,image-keyboard-response,2,,,,,
4,1596621335188,05/08/2020 09:55:35,1596621333836,1,05/08/2020 10:55:33,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,That was a tob.,,learningBlock1,,html-keyboard-response,3,,,,,
5,1596621336203,05/08/2020 09:55:36,1596621334842,1,05/08/2020 10:55:34,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,4,,/task/90393/10/asset/Slide1.JPG,That was a tob.,FL,
6,1596621336388,05/08/2020 09:55:36,1596621335023,1,05/08/2020 10:55:35,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,/task/90393/10/asset/Slide2.JPG,,,,image-keyboard-response,5,,,,,
7,1596621337607,05/08/2020 09:55:37,1596621336178,1,05/08/2020 10:55:36,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,That was a wug.,,learningBlock1,,html-keyboard-response,6,,,,,
8,1596621338549,05/08/2020 09:55:38,1596621337185,1,05/08/2020 10:55:37,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,7,,/task/90393/10/asset/Slide2.JPG,That was a wug.,FL,
9,1596621338720,05/08/2020 09:55:38,1596621337365,1,05/08/2020 10:55:37,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,/task/90393/10/asset/Slide3.JPG,,,,image-keyboard-response,8,,,,,
10,1596621339892,05/08/2020 09:55:39,1596621338522,1,05/08/2020 10:55:38,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,That was a bim.,,learningBlock1,,html-keyboard-response,9,,,,,
11,1596621340880,05/08/2020 09:55:40,1596621339527,1,05/08/2020 10:55:39,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,10,,/task/90393/10/asset/Slide3.JPG,That was a bim.,FL,
12,1596621341084,05/08/2020 09:55:41,1596621339711,1,05/08/2020 10:55:39,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,/task/90393/10/asset/Slide4.JPG,,,,image-keyboard-response,11,,,,,
13,1596621342227,05/08/2020 09:55:42,1596621340868,1,05/08/2020 10:55:40,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,That was a dep.,,learningBlock1,,html-keyboard-response,12,,,,,
14,1596621343245,05/08/2020 09:55:43,1596621341873,1,05/08/2020 10:55:41,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,13,,/task/90393/10/asset/Slide4.JPG,That was a dep.,FL,
15,1596621343417,05/08/2020 09:55:43,1596621342054,1,05/08/2020 10:55:42,15519,21,task-19t9,,6368724,BLIND,1805815,,complete,,5f2a81c5e01acb2956249822,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1500x1000,1500x1000,,exp2_visual,10,FL,,/task/90393/10/asset/Slide5.JPG,,,,image-keyboard-response,14,,,,,
