Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
1,1597402414129,14/08/2020 10:53:34,1597402414045,1,14/08/2020 11:53:34,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,2560x1440,,exp2_visual,14,LF,,,,,,fullscreen,0,,,,,
2,1597402430641,14/08/2020 10:53:50,1597402430610,1,14/08/2020 11:53:50,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,NA,,,instructions,,instructions,1,,,,,
3,1597402431628,14/08/2020 10:53:51,1597402431614,1,14/08/2020 11:53:51,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,This is a tob:,,learningBlock1,,html-keyboard-response,2,,,,,
4,1597402431956,14/08/2020 10:53:51,1597402431942,1,14/08/2020 11:53:51,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,/task/90393/14/asset/Slide1.JPG,,,,image-keyboard-response,3,,,,,
5,1597402432972,14/08/2020 10:53:52,1597402432944,1,14/08/2020 11:53:52,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,4,,/task/90393/14/asset/Slide1.JPG,This is a tob:,LF,
6,1597402433956,14/08/2020 10:53:53,1597402433948,1,14/08/2020 11:53:53,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,This is a wug:,,learningBlock1,,html-keyboard-response,5,,,,,
7,1597402434284,14/08/2020 10:53:54,1597402434276,1,14/08/2020 11:53:54,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,/task/90393/14/asset/Slide2.JPG,,,,image-keyboard-response,6,,,,,
8,1597402435284,14/08/2020 10:53:55,1597402435278,1,14/08/2020 11:53:55,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,7,,/task/90393/14/asset/Slide2.JPG,This is a wug:,LF,
9,1597402436550,14/08/2020 10:53:56,1597402436282,1,14/08/2020 11:53:56,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,This is a bim:,,learningBlock1,,html-keyboard-response,8,,,,,
10,1597402436628,14/08/2020 10:53:56,1597402436610,1,14/08/2020 11:53:56,15519,26,task-mmu4,,6492006,BLIND,1852241,,complete,,5f366d0f68720501413670c4,computer,Desktop or Laptop,Mac OS 10.13.6,Safari 13.1.2,2560x1440,1554x767,,exp2_visual,14,LF,,/task/90393/14/asset/Slide3.JPG,,,,image-keyboard-response,9,,,,,
