task,subjID,display,trial,fribblePresented,resp,labelPresented,frequency,rt,trialType,list,expeType
contingency,3481518,task,11,20825,-99,dep,l,3861.43,mismatch-type1,1,pilot1
contingency,3481518,task,12,30225,-87,wug,l,2617.485,mismatch-type1,1,pilot1
contingency,3481518,task,13,11875,95,dep,h,3837.44,match,1,pilot1
contingency,3481518,task,14,12075,-94,wug,h,5224.98,mismatch-type1,1,pilot1
contingency,3481518,task,15,20775,95,wug,h,1894.98,match,1,pilot1
contingency,3481518,task,16,30325,-97,wug,l,2337.375,mismatch-type1,1,pilot1
contingency,3481518,task,17,30725,96,tob,l,3095.5,match,1,pilot1
contingency,3481518,task,18,11425,-96,tob,l,2858.47,mismatch-type1,1,pilot1
contingency,3481518,task,19,20325,-88,dep,l,3901.45,mismatch-type1,1,pilot1
contingency,3481518,task,20,20625,98,wug,l,4444.825,match,1,pilot1
contingency,3481518,task,21,21575,92,wug,h,2499.46,match,1,pilot1
contingency,3481518,task,22,10175,93,dep,h,3968.63,match,1,pilot1
contingency,3481518,task,23,22325,-93,dep,l,1955.525,mismatch-type1,1,pilot1
contingency,3481518,task,24,32575,-75,dep,h,3714.285,mismatch-type1,1,pilot1
contingency,3481518,task,25,11375,-99,wug,h,5748.84,mismatch-type1,1,pilot1
contingency,3481518,task,26,33275,-98,dep,h,5770.44,mismatch-type1,1,pilot1
contingency,3481518,task,27,12275,96,dep,h,2176.36,match,1,pilot1
contingency,3481518,task,28,31425,96,tob,l,3311.405,match,1,pilot1
contingency,3481518,task,29,21975,-95,tob,h,2771.21,mismatch-type1,1,pilot1
contingency,3481518,task,30,11625,-91,tob,l,3096.41,mismatch-type1,1,pilot1
contingency,3481518,task,31,22125,83,wug,l,3488.84,match,1,pilot1
contingency,3481518,task,32,11325,-93,tob,l,4273.81,mismatch-type1,1,pilot1
contingency,3481518,task,33,30825,94,tob,l,2391.25,match,1,pilot1
contingency,3481518,task,34,12875,-89,wug,h,2475.93,mismatch-type1,1,pilot1
contingency,3481518,task,35,32775,-99,dep,h,3824.165,mismatch-type1,1,pilot1
contingency,3481518,task,36,23175,-83,tob,h,4054.32,mismatch-type1,1,pilot1
contingency,3481518,task,37,20425,90,wug,l,3923.825,match,1,pilot1
contingency,3481518,task,38,20925,62,wug,l,2519.87,match,1,pilot1
contingency,3481518,task,39,31475,97,tob,h,4364.155,match,1,pilot1
contingency,3481518,task,40,12325,-70,tob,l,3119.975,mismatch-type1,1,pilot1
contingency,3481518,task,41,32025,-99,wug,l,4480.01,mismatch-type1,1,pilot1
contingency,3481518,task,42,12225,98,dep,l,4226.82,match,1,pilot1
contingency,3481518,task,43,12125,94,dep,l,2091.42,match,1,pilot1
contingency,3481518,task,44,22375,91,wug,h,3511.6,match,1,pilot1
contingency,3481518,task,45,31575,98,tob,h,2104.3,match,1,pilot1
contingency,3481518,task,46,10975,75,dep,h,6295.42,match,1,pilot1
contingency,3481518,task,47,32275,95,tob,h,2477.85,match,1,pilot1
contingency,3481518,task,48,10675,-91,wug,h,2478.395,mismatch-type1,1,pilot1
contingency,3481518,task,49,32525,-93,wug,l,4421.26,mismatch-type1,1,pilot1
contingency,3481518,task,50,21025,96,wug,l,6887.91,match,1,pilot1
contingency,3481518,task,51,10925,-90,tob,l,3659.81,mismatch-type1,1,pilot1
contingency,3481518,task,52,33075,-88,dep,h,3222.66,mismatch-type1,1,pilot1
contingency,3481518,task,53,10625,98,dep,l,3275.705,match,1,pilot1
contingency,3481518,task,54,32225,56,tob,l,3174.41,match,1,pilot1
contingency,3481518,task,55,22225,-78,dep,l,4928.36,mismatch-type1,1,pilot1
contingency,3481518,task,56,11975,-60,wug,h,3044.925,mismatch-type1,1,pilot1
contingency,3481518,task,57,30275,79,tob,h,1956.52,match,1,pilot1
contingency,3481518,task,58,22175,-92,tob,h,3359.97,mismatch-type1,1,pilot1
contingency,3481518,task,59,31725,95,tob,l,3255.42,match,1,pilot1
contingency,3481518,task,60,20575,-97,tob,h,3000.325,mismatch-type1,1,pilot1
contingency,3473048,task,1,20375,50,wug,h,5659.4,match,1,pilot1
contingency,3473048,task,2,11025,-63,dep,l,7010.295,match,1,pilot1
contingency,3473048,task,3,21125,100,dep,l,3244.84,mismatch-type1,1,pilot1
contingency,3473048,task,4,22475,63,wug,h,4203.875,match,1,pilot1
contingency,3473048,task,5,13375,100,dep,h,2923.35,match,1,pilot1
contingency,3473048,task,6,21675,-100,tob,h,3084.285,mismatch-type1,1,pilot1
contingency,3473048,task,7,31525,100,wug,l,5150.52,mismatch-type1,1,pilot1
contingency,3473048,task,8,30875,100,tob,h,2787.085,match,1,pilot1
contingency,3473048,task,9,11725,-100,dep,l,4195.595,match,1,pilot1
contingency,3473048,task,10,30975,-100,dep,h,3526.795,mismatch-type1,1,pilot1
contingency,3473048,task,11,20825,52,dep,l,3638.57,mismatch-type1,1,pilot1
contingency,3473048,task,12,30225,35,wug,l,3783.065,mismatch-type1,1,pilot1
contingency,3473048,task,13,11875,100,dep,h,2625.875,match,1,pilot1
contingency,3473048,task,14,12075,100,wug,h,2890.69,mismatch-type1,1,pilot1
contingency,3473048,task,15,20775,51,wug,h,3385.33,match,1,pilot1
contingency,3473048,task,16,30325,33,wug,l,4532.3,mismatch-type1,1,pilot1
contingency,3473048,task,17,30725,-100,tob,l,2927.5,match,1,pilot1
contingency,3473048,task,18,11425,100,tob,l,3324.935,mismatch-type1,1,pilot1
contingency,3473048,task,19,20325,54,dep,l,4435.725,mismatch-type1,1,pilot1
contingency,3473048,task,20,20625,-100,wug,l,4722.78,match,1,pilot1
contingency,3473048,task,21,21575,56,wug,h,3657.755,match,1,pilot1
contingency,3473048,task,22,10175,100,dep,h,2881.445,match,1,pilot1
contingency,3473048,task,23,22325,53,dep,l,3265.645,mismatch-type1,1,pilot1
contingency,3473048,task,24,32575,-100,dep,h,3167.395,mismatch-type1,1,pilot1
contingency,3473048,task,25,11375,-100,wug,h,3938.88,mismatch-type1,1,pilot1
contingency,3473048,task,26,33275,-100,dep,h,3901.155,mismatch-type1,1,pilot1
contingency,3473048,task,27,12275,100,dep,h,2581.975,match,1,pilot1
contingency,3473048,task,28,31425,-100,tob,l,3427.99,match,1,pilot1
contingency,3473048,task,29,21975,-100,tob,h,4427.67,mismatch-type1,1,pilot1
contingency,3473048,task,30,11625,100,tob,l,4256.07,mismatch-type1,1,pilot1
contingency,3473048,task,31,22125,-58,wug,l,6532.92,match,1,pilot1
contingency,3473048,task,32,11325,100,tob,l,4309.39,mismatch-type1,1,pilot1
