subjID frequency learning testing trialType acc
19 l sx sx exp 0
19 l sx sx exp 0
19 l sx sx exp 0
19 l sx sx exp 0
19 l sx sx exp 0
19 l sx sx exp 1
19 l sx sx exp 1
19 l sx sx exp 1
19 l sx sx exp 1
19 l sx sx exp 1
19 l sx sx exp 1
19 l sx sx exp 0
18 h sx sx control 1
18 h sx sx control 1
18 h sx sx control 1
18 h sx sx control 1
18 h sx sx control 1
18 h sx sx control 1
18 h sx sx control 1
18 h sx sx control 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 0
18 h sx sx exp 0
18 h sx sx exp 0
18 h sx sx exp 0
18 h sx sx exp 0
18 h sx sx exp 0
18 h sx sx exp 0
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 1
18 h sx sx exp 0
18 h sx sx exp 1
18 h sx sx exp 1
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 1
18 l sx sx exp 1
18 l sx sx exp 0
18 l sx sx exp 1
18 l sx sx exp 1
18 l sx sx exp 1
18 l sx sx exp 0
18 l sx sx exp 1
18 l sx sx exp 1
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
18 l sx sx exp 0
17 h sx sx control 1
17 h sx sx control 1
17 h sx sx control 1
17 h sx sx control 1
17 h sx sx control 1
17 h sx sx control 1
17 h sx sx control 1
17 h sx sx control 1
17 h sx sx exp 0
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 h sx sx exp 1
17 l sx sx exp 0
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
17 l sx sx exp 1
