resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,list,acc,type_of_resp,expeType
10975,1,dep,2AFC - 4 pictures,3467073,14,bim,control_high,2965.66,1,0,errorControl,pilot1
11075,1,dep,2AFC - 4 pictures,3491839,13,wug,high,1642.94,1,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3475213,11,dep,low,2513.73,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3481518,24,wug,low,2532.175,1,0,mismatch-type2,pilot1
11125,1,dep,2AFC - 4 pictures,3394859,11,dep,low,3341.83,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3421453,11,dep,low,1925.665,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3421453,34,dep,low,1446.935,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3481518,34,dep,low,2097.595,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3491839,34,dep,low,1554.905,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3424063,11,dep,low,2918,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3424063,34,dep,low,2976,1,1,match,pilot1
11125,1,dep,2AFC - 4 pictures,3491839,52,tob,low,1050.155,1,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3473048,52,tob,low,1393.375,1,0,mismatch-type1,pilot1
11125,1,dep,2AFC - 4 pictures,3467073,52,tob,low,1225.035,1,0,mismatch-type1,pilot1
11275,1,dep,2AFC - 4 pictures,3491839,8,wug,high,2203.355,1,0,mismatch-type1,pilot1
11375,1,dep,2AFC - 4 pictures,3473048,15,dep,high,3012.195,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3394859,15,dep,high,3099.78,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3491839,15,dep,high,2897.115,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3481518,15,dep,high,1550.11,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3424063,15,dep,high,2121,1,1,match,pilot1
11375,1,dep,2AFC - 4 pictures,3475213,15,dep,high,2678.105,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3430836,56,dep,low,3178.615,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3424063,56,dep,low,2958,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,56,dep,low,1246,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3394859,56,dep,low,3188.485,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3424063,48,dep,low,2762,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,48,dep,low,2244.04,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,48,dep,low,1623.505,1,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,56,dep,low,2414.21,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3424063,45,dep,high,2589,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3475213,45,dep,high,2721.895,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3430836,45,dep,high,2012.275,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3421453,45,dep,high,1985.78,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3394859,45,dep,high,2627.08,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3467073,45,dep,high,1998.89,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3473048,45,dep,high,2467.48,1,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3481518,45,dep,high,2079.23,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3481518,3,dep,high,1624.225,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3424063,3,dep,high,2373,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3473048,3,dep,high,1959.13,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3475213,3,dep,high,1919.72,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3467073,3,dep,high,1965.56,1,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3394859,3,dep,high,2275.02,1,1,match,pilot1
11925,1,dep,2AFC - 4 pictures,3475213,20,tob,low,1791.34,1,0,mismatch-type1,pilot1
11925,1,dep,2AFC - 4 pictures,3467073,20,tob,low,1336.23,1,0,mismatch-type1,pilot1
11925,1,dep,2AFC - 4 pictures,3473048,20,tob,low,2326.855,1,0,mismatch-type1,pilot1
12075,1,dep,2AFC - 4 pictures,3475213,28,tob,high,2489.63,1,0,mismatch-type2,pilot1
12225,1,dep,2AFC - 4 pictures,3473048,10,tob,low,2345.975,1,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3467073,10,tob,low,1610.1,1,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3481518,10,tob,low,1177.49,1,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3491839,10,tob,low,1845.815,1,0,mismatch-type1,pilot1
12275,1,dep,2AFC - 4 pictures,3491839,49,wug,high,1778.215,1,0,mismatch-type1,pilot1
12375,1,dep,2AFC - 4 pictures,3473048,9,dep,high,2254.515,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3475213,9,dep,high,1954.905,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3481518,9,dep,high,1824.175,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3424063,9,dep,high,1929,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3430836,9,dep,high,2875.425,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3394859,9,dep,high,2230.5,1,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3467073,9,dep,high,2967.795,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3475213,39,dep,low,1651.94,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3467073,39,dep,low,2283.185,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3424063,39,dep,low,1808,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3421453,39,dep,low,1269.66,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3481518,39,dep,low,2213.43,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3430836,39,dep,low,2903.74,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3491839,39,dep,low,1789.515,1,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3491839,51,bim,control_low,942.06,1,0,errorControl,pilot1
12475,1,dep,2AFC - 4 pictures,3430836,17,dep,high,2229.75,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3473048,17,dep,high,1403.48,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3424063,17,dep,high,1400,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3467073,17,dep,high,2267.755,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3394859,17,dep,high,1805.035,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3421453,17,dep,high,2599.285,1,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3481518,17,dep,high,1450.475,1,1,match,pilot1
12525,1,dep,2AFC - 4 pictures,3473048,44,tob,low,1272.44,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3467073,35,tob,low,1236.33,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3475213,44,tob,low,2104.3,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3394859,44,tob,low,2286.765,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3430836,35,tob,low,1874.6,1,0,mismatch-type1,pilot1
12525,1,dep,2AFC - 4 pictures,3473048,35,tob,low,2061.385,1,0,mismatch-type1,pilot1
