N_subj N_obs dataParamsN alpha beta1 beta2 beta3 run model_grand_mean model_beta1 model_beta2 model_beta3 model_grand_mean_se model_beta1_se model_beta2_se model_beta3_se model_learninginLow_effect model_learninginLow_se singular conv_error CoefficientTested H1sd BF BF_cat pvalue
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N grandmean 1.60993490494602 6214317447677526 9 1.99985306988267e-18
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N grandmean 0.80496745247301 3162011560600648 9 1.99985306988267e-18
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N maineffectFreq 1.70245936802782 903978912391252 9 1.4278810536747e-17
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N maineffectFreq 0.851229684013909 302713822109586 9 1.4278810536747e-17
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N maineffectlearning 0.662575780505779 4.00517383632125 6 0.0281817559943441
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N maineffectlearning 0.33128789025289 5.85275781334897 6 0.0281817559943441
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N interaction 1.02645921376387 0.725960540438869 5 0.293455409805927
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N interaction 0.513229606881937 1.18829798753406 5 0.293455409805927
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N LearninginLow 1.17580521124627 14.9858271296361 7 0.0163024172367048
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 1 1.57508702267182 -1.9255471009842 0.299216282501322 0.286446297368831 0.179859918991938 0.225662882600903 0.136332931099559 0.272657578896282 0.442439431185737 0.15403931900114 N N LearninginLow 0.587902605623133 24.0393552893323 7 0.0163024172367048
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 2 1.7775803326534 -1.30084192590135 -0.104859290744883 0.536878551969386 0.140105722127051 0.22990068451324 0.139857772530808 0.279708745209338 0.16357998523981 0.15694265153928 N N grandmean 1.60993490494602 8.50692251405551e+33 9 6.94343691996347e-37
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 2 1.7775803326534 -1.30084192590135 -0.104859290744883 0.536878551969386 0.140105722127051 0.22990068451324 0.139857772530808 0.279708745209338 0.16357998523981 0.15694265153928 N N grandmean 0.80496745247301 2.89020299380921e+33 9 6.94343691996347e-37
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 2 1.7775803326534 -1.30084192590135 -0.104859290744883 0.536878551969386 0.140105722127051 0.22990068451324 0.139857772530808 0.279708745209338 0.16357998523981 0.15694265153928 N N maineffectFreq 1.70245936802782 1796403.76764066 9 1.52899557355192e-08
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 2 1.7775803326534 -1.30084192590135 -0.104859290744883 0.536878551969386 0.140105722127051 0.22990068451324 0.139857772530808 0.279708745209338 0.16357998523981 0.15694265153928 N N maineffectFreq 0.851229684013909 1570132.12083548 9 1.52899557355192e-08
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 2 1.7775803326534 -1.30084192590135 -0.104859290744883 0.536878551969386 0.140105722127051 0.22990068451324 0.139857772530808 0.279708745209338 0.16357998523981 0.15694265153928 N N maineffectlearning 0.662575780505779 0.123459324771075 4 0.453401300082949
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 2 1.7775803326534 -1.30084192590135 -0.104859290744883 0.536878551969386 0.140105722127051 0.22990068451324 0.139857772530808 0.279708745209338 0.16357998523981 0.15694265153928 N N maineffectlearning 0.33128789025289 0.240274053595985 4 0.453401300082949
40 48 1 1.60993490494602 -1.70245936802782 0 0.513229606881937 2 1.7775803326534 -1.30084192590135 -0.104859290744883 0.536878551969386 0.140105722127051 0.22990068451324 0.139857772530808 0.279708745209338 0.16357998523981 0.15694265153928 N N interaction 1.02645921376387 2.83122790776934 5 0.0549312053304116
