resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,list,acc,type_of_resp,expeType
10125,1,dep,2AFC - 4 pictures,3518198,30,dep,low,2195.000000006985,2,1,match,pilot2
10125,1,dep,2AFC - 4 pictures,3517616,48,wug,low,1426.2800000142306,2,0,mismatch-type2,pilot2
10225,1,dep,2AFC - 4 pictures,3528247,27,dep,low,3036.07999999076,3,1,match,pilot2
10225,1,dep,2AFC - 4 pictures,3528246,19,dep,low,3340.62500001164,3,1,match,pilot2
10225,1,dep,2AFC - 4 pictures,3502663,23,dep,low,2045.80500000021,3,1,match,pilot2
10325,1,dep,2AFC - 4 pictures,3528247,46,tob,low,1134.78000002215,3,0,mismatch-type1,pilot2
10325,1,dep,2AFC - 4 pictures,3518198,55,dep,low,2857.000000018161,2,1,match,pilot2
10425,1,dep,2AFC - 4 pictures,3528247,40,tob,low,1276.3799999957,3,0,mismatch-type1,pilot2
10475,1,dep,2AFC - 4 pictures,3528247,21,dep,high,2258.28000000911,3,1,match,pilot2
10475,1,dep,2AFC - 4 pictures,3528246,21,dep,high,3021.9250000082,3,1,match,pilot2
10475,1,dep,2AFC - 4 pictures,3528273,47,dep,high,1826.74500020221,1,1,match,pilot2
10475,1,dep,2AFC - 4 pictures,3517626,30,dep,high,3021.00000000792,1,1,match,pilot2
10475,1,dep,2AFC - 4 pictures,3502663,50,dep,high,2095.91999999975,3,1,match,pilot2
10475,1,dep,2AFC - 4 pictures,3502650,21,dep,high,2395.52000000003,1,1,match,pilot2
10525,1,dep,2AFC - 4 pictures,3528273,25,tob,low,2193.5049998574,1,0,mismatch-type1,pilot2
10525,1,dep,2AFC - 4 pictures,3528252,23,tob,low,1038.0850000074133,2,0,mismatch-type1,pilot2
10525,1,dep,2AFC - 4 pictures,3502650,55,tob,low,1440.31500000006,1,0,mismatch-type1,pilot2
10525,1,dep,2AFC - 4 pictures,3518198,28,tob,low,3125.99999998929,2,0,mismatch-type1,pilot2
10525,1,dep,2AFC - 4 pictures,3517616,42,tob,low,1620.7649999996647,2,0,mismatch-type1,pilot2
10525,1,dep,2AFC - 4 pictures,3517626,13,tob,low,1372.99999999232,1,0,mismatch-type1,pilot2
10625,1,dep,2AFC - 4 pictures,3528252,53,tob,low,1255.8749999734573,2,0,mismatch-type1,pilot2
10625,1,dep,2AFC - 4 pictures,3518198,50,tob,low,2853.000000002794,2,0,mismatch-type1,pilot2
10625,1,dep,2AFC - 4 pictures,3517616,16,tob,low,1419.6700000029523,2,0,mismatch-type1,pilot2
10675,1,dep,2AFC - 4 pictures,3528252,31,dep,high,1894.7899999911897,2,1,match,pilot2
10675,1,dep,2AFC - 4 pictures,3528247,11,dep,high,1720.44999999343,3,1,match,pilot2
10675,1,dep,2AFC - 4 pictures,3528246,45,dep,high,2346.72499999579,3,1,match,pilot2
10675,1,dep,2AFC - 4 pictures,3502663,13,dep,high,1368.79999999974,3,1,match,pilot2
10675,1,dep,2AFC - 4 pictures,3518198,37,dep,high,1513.0000000353903,2,1,match,pilot2
10725,1,dep,2AFC - 4 pictures,3517616,32,tob,low,1402.0500000042375,2,0,mismatch-type1,pilot2
10725,1,dep,2AFC - 4 pictures,3528252,26,tob,low,1283.5850000265054,2,0,mismatch-type1,pilot2
10725,1,dep,2AFC - 4 pictures,3518198,15,tob,low,2069.000000017695,2,0,mismatch-type1,pilot2
10825,1,dep,2AFC - 4 pictures,3518198,56,dep,low,1614.9999999906868,2,1,match,pilot2
10825,1,dep,2AFC - 4 pictures,3518198,21,dep,low,1734.9999999860302,2,1,match,pilot2
10925,1,dep,2AFC - 4 pictures,3502663,28,dep,low,2312.32000000001,3,1,match,pilot2
10925,1,dep,2AFC - 4 pictures,3518198,9,dep,low,2100.9999999660067,2,1,match,pilot2
10925,1,dep,2AFC - 4 pictures,3517616,56,dep,low,1146.115000010468,2,1,match,pilot2
10975,1,dep,2AFC - 4 pictures,3502663,39,dep,high,2006.02500000014,3,1,match,pilot2
10975,1,dep,2AFC - 4 pictures,3528247,10,dep,high,1777.40500000073,3,1,match,pilot2
10975,1,dep,2AFC - 4 pictures,3502663,32,wug,high,1603.45999999982,3,0,mismatch-type1,pilot2
10975,1,dep,2AFC - 4 pictures,3528246,2,dep,high,2782.79499999189,3,1,match,pilot2
11025,1,dep,2AFC - 4 pictures,3517616,51,tob,low,1122.090000018943,2,0,mismatch-type1,pilot2
