x1,x2,y1,y2,ROI,screen
0.0503472222222222,0.949652777777778,0.0983796296296296,0.920138888888889,fribble,2
0.349826388888889,0.659722222222222,0.599537037037037,1,cITI,3
0,0.309895833333333,0.149305555555556,0.549768518518518,lITI,3
0.690104166666667,1,0.159722222222222,0.560185185185185,rITI,3
0.349826388888889,0.659722222222222,0.599537037037037,1,cLabel,4
0,0.309895833333333,0.149305555555556,0.549768518518518,lLabel,4
0.690104166666667,1,0.159722222222222,0.560185185185185,rLabel,4
0.349826388888889,0.659722222222222,0.609953703703704,1,cButton,5
0,0.309895833333333,0.140046296296296,0.549768518518518,lButton,5
0.690104166666667,1,0.149305555555556,0.549768518518518,rButton,5
