,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
correctFrequencyhigh:learning.ct412,-0.5181,0.8817,-0.5876,0.5568,99,0.427661372,N,N,53
correctFrequencylow:learning.ct412,0.7454,0.9276,0.8035,0.4217,99,1.110744336,N,N,53
(Intercept)512,0.9106,0.4091,2.226,0.026,79,NA,N,N,53
correctFrequency.ct512,-3.276,0.7503,-4.3663,0,79,2359.582148,N,N,53
learning.ct512,0.2766,0.776,0.3565,0.7215,79,0.925357133,N,N,53
correctFrequency.ct:learning.ct512,1.0765,1.41,0.7635,0.4452,79,1.203865214,N,N,53
correctFrequencyhigh:learning.ct512,1.1807,1.2959,0.9111,0.3622,79,1.302737142,N,N,53
correctFrequencylow:learning.ct512,-0.9524,0.4894,-1.946,0.0517,79,0.140966722,N,N,53
(Intercept)612,0.5487,0.2904,1.8893,0.0589,59,NA,N,N,53
correctFrequency.ct612,-3.7466,0.5361,-6.9881,0,59,2669645370,N,N,53
learning.ct612,0.8791,0.5581,1.5751,0.1152,59,2.354398898,N,N,53
correctFrequency.ct:learning.ct612,-1.539,1.027,-1.4986,0.134,59,0.359122795,N,N,53
correctFrequencyhigh:learning.ct612,-0.2616,1.2721,-0.2056,0.8371,59,0.658690025,N,N,53
correctFrequencylow:learning.ct612,0.8149,0.7611,1.0706,0.2843,59,1.325137595,N,N,53
(Intercept)712,0.7166,0.4822,1.4861,0.1372,39,NA,N,N,53
correctFrequency.ct712,-4.7746,0.8853,-5.3935,0,39,86107.69068,N,N,53
learning.ct712,-0.076,0.9363,-0.0811,0.9353,39,0.788141334,N,N,53
correctFrequency.ct:learning.ct712,-1.4111,1.7079,-0.8262,0.4087,39,0.628790994,N,N,53
correctFrequencyhigh:learning.ct712,1.6486,0.9288,1.7751,0.0759,39,3.001040635,N,N,53
correctFrequencylow:learning.ct712,0.1096,0.5367,0.2042,0.8382,39,0.484378623,N,N,53
(Intercept)812,0.137,0.2718,0.5039,0.6144,19,NA,N,N,53
correctFrequency.ct812,-2.9348,0.7093,-4.1373,0,19,1131.608805,N,N,53
learning.ct812,0.7371,0.5388,1.3679,0.1714,19,1.895103655,N,N,53
correctFrequency.ct:learning.ct812,-1.5803,1.4126,-1.1187,0.2633,19,0.51286057,N,N,53
correctFrequencyhigh:learning.ct812,0.6296,1.0946,0.5752,0.5652,19,0.986221223,N,N,53
correctFrequencylow:learning.ct812,-0.7815,1.4189,-0.5508,0.5818,19,0.593661454,N,N,53
113,NA,NA,NA,NA,NA,NA,NA,NA,54
(Intercept)70,0.1734,0.251,0.6907,0.4898,179,NA,N,N,54
correctFrequency.ct70,-4.5432,0.6012,-7.5575,0,179,70294005214,N,N,54
learning.ct70,0.2926,0.4755,0.6154,0.5383,179,0.91551506,N,N,54
correctFrequency.ct:learning.ct70,0.4049,1.1597,0.3491,0.727,179,0.909047508,N,N,54
correctFrequencyhigh:learning.ct70,1.5272,0.8788,1.7378,0.0822,179,2.893807211,N,N,54
correctFrequencylow:learning.ct70,-0.0531,0.8977,-0.0591,0.9529,179,0.584209557,N,N,54
(Intercept)117,0.2642,0.2786,0.9485,0.3429,159,NA,N,N,54
correctFrequency.ct117,-3.7632,0.753,-4.998,0,159,27751.48834,N,N,54
learning.ct117,-0.5971,0.5245,-1.1383,0.255,159,0.346336285,N,N,54
correctFrequency.ct:learning.ct117,-1.2467,1.465,-0.851,0.3948,159,0.576748843,N,N,54
correctFrequencyhigh:learning.ct117,0.0902,0.8575,0.1051,0.9163,159,0.630744184,N,N,54
correctFrequencylow:learning.ct117,0.4951,0.6238,0.7936,0.4274,159,0.907122836,N,N,54
(Intercept)215,1.4003,0.5208,2.6886,0.0072,139,NA,N,N,54
correctFrequency.ct215,-3.992,0.8226,-4.8527,0,139,12153.30393,N,N,54
learning.ct215,-0.7408,0.9453,-0.7837,0.4332,139,0.593546364,N,N,54
correctFrequency.ct:learning.ct215,-0.6682,1.4065,-0.4751,0.6347,139,0.654393515,N,N,54
correctFrequencyhigh:learning.ct215,0.0263,1.1236,0.0234,0.9814,139,0.699613675,N,N,54
correctFrequencylow:learning.ct215,-1.2204,0.6003,-2.033,0.042,139,0.165538019,N,N,54
(Intercept)313,1.2931,0.3607,3.5848,3.00E-04,119,NA,N,N,54
correctFrequency.ct313,-3.8993,0.7326,-5.3227,0,119,122322.8302,N,N,54
learning.ct313,-0.5363,0.6627,-0.8093,0.4184,119,0.474743649,N,N,54
correctFrequency.ct:learning.ct313,0.3827,1.3514,0.2832,0.777,119,0.9173086,N,N,54
correctFrequencyhigh:learning.ct313,-0.4066,1.4943,-0.2721,0.7855,119,0.6900645,N,N,54
correctFrequencylow:learning.ct313,-1.0749,0.7363,-1.4599,0.1443,119,0.247172853,N,N,54
(Intercept)413,0.242,0.1994,1.2138,0.2248,99,NA,N,N,54
correctFrequency.ct413,-3.221,0.4868,-6.6173,0,99,337309674.5,N,N,54
learning.ct413,0.7342,0.3892,1.8863,0.0593,99,3.600492749,N,N,54
correctFrequency.ct:learning.ct413,-0.5662,0.9605,-0.5895,0.5555,99,0.499732179,N,N,54
correctFrequencyhigh:learning.ct413,-0.7277,1.1582,-0.6282,0.5298,99,0.507444662,N,N,54
correctFrequencylow:learning.ct413,-0.3449,0.671,-0.514,0.6072,99,0.359046716,N,N,54
(Intercept)513,0.8278,0.4336,1.9091,0.0563,79,NA,N,N,54
correctFrequency.ct513,-3.6397,0.6995,-5.2034,0,79,81303.13749,N,N,54
learning.ct513,-0.5611,0.8414,-0.6669,0.5048,79,0.583713549,N,N,54
correctFrequency.ct:learning.ct513,2.155,1.3349,1.6144,0.1064,79,2.155550789,N,N,54
correctFrequencyhigh:learning.ct513,1.0173,0.7481,1.3598,0.1739,79,1.809648484,N,N,54
correctFrequencylow:learning.ct513,0.451,0.4526,0.9966,0.319,79,0.909881749,N,N,54
(Intercept)613,0.6975,0.3373,2.0679,0.0386,59,NA,N,N,54
correctFrequency.ct613,-2.8573,0.434,-6.5839,0,59,339959729.8,N,N,54
learning.ct613,-0.5952,0.6659,-0.8938,0.3714,59,0.459229622,N,N,54
correctFrequency.ct:learning.ct613,0.8954,0.8459,1.0586,0.2898,59,1.40629139,N,N,54
correctFrequencyhigh:learning.ct613,-1.6386,1.0083,-1.6252,0.1041,59,0.303305092,N,N,54
correctFrequencylow:learning.ct613,0.5164,1.1361,0.4545,0.6494,59,0.919756155,N,N,54
(Intercept)713,0.7554,0.38,1.9882,0.0468,39,NA,N,N,54
correctFrequency.ct713,-4.0844,0.859,-4.7549,0,39,7360.248184,N,N,54
learning.ct713,-0.4622,0.7001,-0.6601,0.5092,39,0.525506282,N,N,54
correctFrequency.ct:learning.ct713,0.7637,1.6131,0.4734,0.6359,39,1.045649581,N,N,54
correctFrequencyhigh:learning.ct713,-1.0429,0.8061,-1.2937,0.1958,39,0.286264574,N,N,54
correctFrequencylow:learning.ct713,-0.1475,0.771,-0.1913,0.8483,39,0.484573925,N,N,54
(Intercept)813,1.5681,0.4817,3.2551,0.0011,19,NA,N,N,54
correctFrequency.ct813,-4.7087,0.7494,-6.2836,0,19,12180017.59,N,N,54
learning.ct813,0.3591,0.8783,0.4089,0.6826,19,0.983816065,N,N,54
correctFrequency.ct:learning.ct813,-1.1235,1.2725,-0.8829,0.3773,19,0.525672697,N,N,54
correctFrequencyhigh:learning.ct813,-0.844,1.376,-0.6134,0.5396,19,0.567842586,N,N,54
correctFrequencylow:learning.ct813,-0.0803,0.6221,-0.1291,0.8973,19,0.427880139,N,N,54
114,NA,NA,NA,NA,NA,NA,NA,NA,55
(Intercept)80,0.5102,0.249,2.0492,0.0404,179,NA,N,N,55
correctFrequency.ct80,-3.3563,0.579,-5.7965,0,179,2230680.932,N,N,55
learning.ct80,0.2669,0.4803,0.5557,0.5784,179,0.876883521,N,N,55
correctFrequency.ct:learning.ct80,0.4616,1.1297,0.4086,0.6829,179,0.934112274,N,N,55
correctFrequencyhigh:learning.ct80,0.9209,1.0109,0.9109,0.3623,179,1.248287787,N,N,55
correctFrequencylow:learning.ct80,-0.2026,1.1535,-0.1757,0.8606,179,0.634874145,N,N,55
(Intercept)118,1.4921,0.5733,2.6027,0.0092,159,NA,N,N,55
correctFrequency.ct118,-4.4251,0.9158,-4.832,0,159,8080.661935,N,N,55
learning.ct118,-0.1413,1.0297,-0.1372,0.8908,159,0.794790206,N,N,55
correctFrequency.ct:learning.ct118,-0.1866,1.5301,-0.1219,0.903,159,0.786762417,N,N,55
correctFrequencyhigh:learning.ct118,0.0361,0.8556,0.0422,0.9663,159,0.604149452,N,N,55
correctFrequencylow:learning.ct118,0.4977,0.6062,0.821,0.4117,159,0.915816317,N,N,55
(Intercept)216,0.2389,0.3978,0.6006,0.5481,139,NA,N,N,55
correctFrequency.ct216,-3.9863,0.7023,-5.6763,0,139,724147.2423,N,N,55
learning.ct216,-0.0779,0.7825,-0.0995,0.9207,139,0.727323718,N,N,55
correctFrequency.ct:learning.ct216,3.4222,1.3808,2.4785,0.0132,139,4.466946007,N,N,55
correctFrequencyhigh:learning.ct216,-0.048,1.3845,-0.0347,0.9723,139,0.74811368,N,N,55
correctFrequencylow:learning.ct216,-0.2346,1.1728,-0.2,0.8415,139,0.632465675,N,N,55
(Intercept)314,1.4503,0.4528,3.2029,0.0014,119,NA,N,N,55
correctFrequency.ct314,-4.2338,0.9252,-4.5759,0,119,3086.425556,N,N,55
learning.ct314,-1.1207,0.7604,-1.4738,0.1405,119,0.403428899,N,N,55
correctFrequency.ct:learning.ct314,-0.1791,1.5673,-0.1143,0.909,119,0.795843975,N,N,55
correctFrequencyhigh:learning.ct314,-1.7225,0.0011,-1630.1538,0,119,NA,N,N,55
correctFrequencylow:learning.ct314,1.5481,0.0011,1465.0833,0,119,Inf,N,N,55
(Intercept)414,0.7961,0.44,1.8093,0.0704,99,NA,N,N,55
correctFrequency.ct414,-4.3396,0.7834,-5.5391,0,99,262862.2941,N,N,55
learning.ct414,-1.2941,0.8344,-1.551,0.1209,99,0.419768385,N,N,55
correctFrequency.ct:learning.ct414,-1.0091,1.4928,-0.676,0.4991,99,0.621911306,N,N,55
correctFrequencyhigh:learning.ct414,-1.0311,1.4274,-0.7224,0.4701,99,0.55384649,N,N,55
correctFrequencylow:learning.ct414,-1.2102,0.589,-2.0546,0.0399,99,0.161411731,N,N,55
(Intercept)514,0.7324,0.3725,1.9662,0.0493,79,NA,N,N,55
correctFrequency.ct514,-4.4712,0.8453,-5.2894,0,79,66315.19481,N,N,55
learning.ct514,0.78,0.6443,1.2105,0.2261,79,1.639166932,N,N,55
correctFrequency.ct:learning.ct514,-0.3863,1.5254,-0.2532,0.8001,79,0.743294766,N,N,55
correctFrequencyhigh:learning.ct514,-0.7896,1.0332,-0.7642,0.4447,79,0.44045677,N,N,55
correctFrequencylow:learning.ct514,-1.7987,1.1996,-1.4994,0.1338,79,0.364379671,N,N,55
(Intercept)614,0.9513,0.3107,3.0623,0.0022,59,NA,N,N,55
correctFrequency.ct614,-3.3986,0.5714,-5.948,0,59,5097546.459,N,N,55
learning.ct614,0.7107,0.5924,1.1997,0.2302,59,1.618733039,N,N,55
correctFrequency.ct:learning.ct614,-1.5846,1.0803,-1.4669,0.1424,59,0.377471949,N,N,55
correctFrequencyhigh:learning.ct614,0.9731,1.2486,0.7794,0.4358,59,1.180233358,N,N,55
correctFrequencylow:learning.ct614,0.5868,0.6602,0.8888,0.3741,59,1.030328893,N,N,55
(Intercept)714,0.0728,0.2439,0.2986,0.7652,39,NA,N,N,55
correctFrequency.ct714,-2.9265,0.5244,-5.5807,0,39,884238.9079,N,N,55
learning.ct714,-0.3499,0.4807,-0.7279,0.4666,39,0.390606278,N,N,55
correctFrequency.ct:learning.ct714,-0.4275,1.0383,-0.4118,0.6805,39,0.572341438,N,N,55
correctFrequencyhigh:learning.ct714,1.503,1.0091,1.4895,0.1364,39,2.146757514,N,N,55
correctFrequencylow:learning.ct714,-0.0816,0.5171,-0.1578,0.8747,39,0.360252978,N,N,55
(Intercept)814,0.8651,0.3777,2.2907,0.022,19,NA,N,N,55
correctFrequency.ct814,-5.0559,0.7355,-6.8738,0,19,349818464.2,N,N,55
learning.ct814,0.8291,0.6919,1.1983,0.2308,19,1.620328224,N,N,55
correctFrequency.ct:learning.ct814,-0.2924,1.3342,-0.2191,0.8266,19,0.714174225,N,N,55
correctFrequencyhigh:learning.ct814,-0.1361,0.8501,-0.1602,0.8728,19,0.529496971,N,N,55
correctFrequencylow:learning.ct814,-0.5637,0.5275,-1.0686,0.2853,19,0.217838618,N,N,55
115,NA,NA,NA,NA,NA,NA,NA,NA,56
(Intercept)90,2.0763,0.6244,3.3252,9.00E-04,179,NA,N,N,56
correctFrequency.ct90,-4.7674,1.0191,-4.6782,0,179,3226.960419,N,N,56
learning.ct90,0.0532,1.0287,0.0517,0.9588,179,0.861029012,N,N,56
correctFrequency.ct:learning.ct90,0.9129,1.4598,0.6254,0.5317,179,1.117215428,N,N,56
correctFrequencyhigh:learning.ct90,0.9753,0.8919,1.0935,0.2742,179,1.425603713,N,N,56
correctFrequencylow:learning.ct90,0.683,1.0259,0.6657,0.5056,179,1.030620731,N,N,56
(Intercept)119,0.3452,0.3492,0.9887,0.3228,159,NA,N,N,56
correctFrequency.ct119,-4.5667,0.6323,-7.2223,0,159,6232208541,N,N,56
learning.ct119,-0.2545,0.6675,-0.3812,0.703,159,0.582147126,N,N,56
correctFrequency.ct:learning.ct119,0.7775,1.2001,0.6479,0.5171,159,1.100467049,N,N,56
correctFrequencyhigh:learning.ct119,-0.4033,1.5677,-0.2572,0.797,159,0.709749349,N,N,56
correctFrequencylow:learning.ct119,0.5096,0.8505,0.5992,0.5491,159,0.903727341,N,N,56
(Intercept)217,0.6761,0.2792,2.4217,0.0154,139,NA,N,N,56
correctFrequency.ct217,-3.7707,0.7253,-5.199,0,139,72582.96915,N,N,56
learning.ct217,-0.384,0.5204,-0.7379,0.4606,139,0.412963473,N,N,56
correctFrequency.ct:learning.ct217,-1.3729,1.3967,-0.9829,0.3256,139,0.534880725,N,N,56
correctFrequencyhigh:learning.ct217,-0.6432,0.6463,-0.9953,0.3196,139,0.270566826,N,N,56
correctFrequencylow:learning.ct217,0.1343,1.0924,0.1229,0.9022,139,0.73168216,N,N,56
(Intercept)315,0.5676,0.4173,1.3602,0.1738,119,NA,N,N,56
correctFrequency.ct315,-4.7999,0.8571,-5.6004,0,119,242765.5422,N,N,56
learning.ct315,0.5416,0.7734,0.7003,0.4837,119,1.138901865,N,N,56
correctFrequency.ct:learning.ct315,1.4643,1.6036,0.9131,0.3612,119,1.30926069,N,N,56
correctFrequencyhigh:learning.ct315,0.3069,1.19,0.2579,0.7965,119,0.826256439,N,N,56
correctFrequencylow:learning.ct315,-1.072,0.4773,-2.2459,0.0247,119,0.124068053,N,N,56
(Intercept)415,0.589,0.3255,1.8095,0.0704,99,NA,N,N,56
correctFrequency.ct415,-3.9022,0.7792,-5.0078,0,99,26434.22174,N,N,56
learning.ct415,-0.9404,0.6201,-1.5166,0.1294,99,0.340647911,N,N,56
correctFrequency.ct:learning.ct415,1.0982,1.5115,0.7266,0.4675,99,1.183488933,N,N,56
correctFrequencyhigh:learning.ct415,-0.1905,1.1506,-0.1656,0.8685,99,0.637436662,N,N,56
correctFrequencylow:learning.ct415,1.2738,1.0762,1.1836,0.2366,99,1.597126817,N,N,56
(Intercept)515,0.4557,0.2725,1.6725,0.0944,79,NA,N,N,56
correctFrequency.ct515,-2.7312,0.6386,-4.277,0,79,2131.927267,N,N,56
learning.ct515,-0.244,0.5381,-0.4534,0.6502,79,0.488504698,N,N,56
correctFrequency.ct:learning.ct515,0.5526,1.2655,0.4366,0.6624,79,0.980610594,N,N,56
correctFrequencyhigh:learning.ct515,-1.4895,1.0793,-1.3801,0.1675,79,0.351014297,N,N,56
correctFrequencylow:learning.ct515,-0.3913,0.8638,-0.453,0.6506,79,0.452430733,N,N,56
(Intercept)615,0.595,0.3287,1.8101,0.0703,59,NA,N,N,56
correctFrequency.ct615,-2.5948,0.6314,-4.1095,0,59,1165.328491,N,N,56
learning.ct615,0.5305,0.6518,0.8139,0.4157,59,1.194084993,N,N,56
correctFrequency.ct:learning.ct615,0.8961,1.2529,0.7152,0.4745,59,1.156106974,N,N,56
correctFrequencyhigh:learning.ct615,-0.5203,1.0187,-0.5107,0.6095,59,0.493268116,N,N,56
correctFrequencylow:learning.ct615,0.0323,0.5851,0.0552,0.956,59,0.463393334,N,N,56
(Intercept)715,0.9571,0.3643,2.627,0.0086,39,NA,N,N,56
correctFrequency.ct715,-4.1143,0.588,-6.9975,0,39,2049892455,N,N,56
learning.ct715,-0.6648,0.672,-0.9893,0.3225,39,0.443995553,N,N,56
correctFrequency.ct:learning.ct715,-0.1845,1.0367,-0.178,0.8587,39,0.64433666,N,N,56
correctFrequencyhigh:learning.ct715,0.0825,1.0198,0.0809,0.9356,39,0.687702128,N,N,56
correctFrequencylow:learning.ct715,0.9786,0.7713,1.2688,0.2045,39,1.644800723,N,N,56
(Intercept)815,0.2821,0.3253,0.8672,0.3858,19,NA,N,N,56
correctFrequency.ct815,-3.2296,0.4156,-7.7708,0,19,1.12E+12,N,N,56
learning.ct815,0.542,0.6401,0.8468,0.3971,19,1.21948339,N,N,56
correctFrequency.ct:learning.ct815,-1.3212,0.8031,-1.6452,0.0999,19,0.278914973,N,N,56
correctFrequencyhigh:learning.ct815,-0.5726,1.1197,-0.5114,0.6091,19,0.524964668,N,N,56
correctFrequencylow:learning.ct815,-0.7571,0.4321,-1.7522,0.0797,19,0.134717688,N,N,56
116,NA,NA,NA,NA,NA,NA,NA,NA,57
(Intercept)91,0.4295,0.3334,1.288,0.1977,179,NA,N,N,57
correctFrequency.ct91,-3.3925,0.5129,-6.6148,0,179,295162176,N,N,57
learning.ct91,0.0062,0.6591,0.0095,0.9924,179,0.710969149,N,N,57
correctFrequency.ct:learning.ct91,-1.2243,1.0096,-1.2127,0.2253,179,0.394835394,N,N,57
correctFrequencyhigh:learning.ct91,1.2027,0.6866,1.7515,0.0799,179,2.954794636,N,N,57
correctFrequencylow:learning.ct91,-0.1186,0.8186,-0.1449,0.8848,179,0.520613033,N,N,57
(Intercept)120,0.6807,0.3634,1.8732,0.061,159,NA,N,N,57
correctFrequency.ct120,-2.6269,0.4984,-5.2706,0,159,202301.3251,N,N,57
learning.ct120,0.5764,0.7082,0.8138,0.4157,159,1.21217178,N,N,57
correctFrequency.ct:learning.ct120,-1.8676,0.9478,-1.9704,0.0488,159,0.286345531,N,N,57
correctFrequencyhigh:learning.ct120,0.6184,0.8228,0.7516,0.4523,159,1.011512029,N,N,57
correctFrequencylow:learning.ct120,-0.6059,0.8376,-0.7233,0.4695,159,0.383716898,N,N,57
(Intercept)218,1.2065,0.4426,2.7257,0.0064,139,NA,N,N,57
correctFrequency.ct218,-4.2529,1.0811,-3.934,1.00E-04,139,265.5256534,N,N,57
learning.ct218,-0.9223,0.7367,-1.2519,0.2106,139,0.427169301,N,N,57
correctFrequency.ct:learning.ct218,1.5325,1.9318,0.7933,0.4276,139,1.220949463,N,N,57
correctFrequencyhigh:learning.ct218,1.5101,1.1207,1.3475,0.1778,139,1.853449593,N,N,57
correctFrequencylow:learning.ct218,-0.3574,0.4438,-0.8054,0.4206,139,0.212494194,N,N,57
(Intercept)316,1.0837,0.712,1.522,0.128,119,NA,N,N,57
correctFrequency.ct316,-7.6531,1.5979,-4.7895,0,119,605.4116287,N,N,57
learning.ct316,1.1714,1.0643,1.1006,0.2711,119,1.445218649,N,N,57
correctFrequency.ct:learning.ct316,-2.4117,2.5987,-0.928,0.3534,119,0.722405656,N,N,57
correctFrequencyhigh:learning.ct316,-1.6886,1.6224,-1.0408,0.298,119,0.528054411,N,N,57
correctFrequencylow:learning.ct316,-0.156,0.5634,-0.2769,0.7818,119,0.358098679,N,N,57
(Intercept)416,0.3928,0.2569,1.5293,0.1262,99,NA,N,N,57
correctFrequency.ct416,-3.3873,0.5822,-5.8185,0,99,2462246.207,N,N,57
learning.ct416,-0.0289,0.4996,-0.0578,0.9539,99,0.582798677,N,N,57
correctFrequency.ct:learning.ct416,-0.5197,1.1439,-0.4543,0.6496,99,0.593180637,N,N,57
correctFrequencyhigh:learning.ct416,2.3772,1.8795,1.2648,0.2059,99,1.590236943,N,N,57
correctFrequencylow:learning.ct416,-0.0344,1.4539,-0.0237,0.9811,99,0.767763733,N,N,57
(Intercept)516,1.9434,0.6402,3.0358,0.0024,79,NA,N,N,57
correctFrequency.ct516,-5.2309,1.0312,-5.0724,0,79,12629.02916,N,N,57
learning.ct516,-0.3869,1.0656,-0.3631,0.7165,79,0.735077823,N,N,57
correctFrequency.ct:learning.ct516,1.6563,1.5071,1.099,0.2718,79,1.464804023,N,N,57
correctFrequencyhigh:learning.ct516,0.231,0.6604,0.3497,0.7265,79,0.635098999,N,N,57
correctFrequencylow:learning.ct516,-0.2887,0.8471,-0.3408,0.7332,79,0.474838081,N,N,57
(Intercept)616,0.0049,0.1897,0.0259,0.9794,59,NA,N,N,57
correctFrequency.ct616,-4.0266,0.4765,-8.4505,0,59,1.29E+14,N,N,57
learning.ct616,0.1787,0.3573,0.5001,0.617,59,0.703286506,N,N,57
correctFrequency.ct:learning.ct616,0.821,0.9191,0.8932,0.3718,59,1.242355567,N,N,57
correctFrequencyhigh:learning.ct616,-1.215,1.5457,-0.7861,0.4318,59,0.564966532,N,N,57
correctFrequencylow:learning.ct616,0.4412,1.0081,0.4377,0.6616,59,0.865762056,N,N,57
(Intercept)716,0.978,0.3736,2.6175,0.0089,39,NA,N,N,57
correctFrequency.ct716,-3.7218,0.5286,-7.0412,0,39,3893183591,N,N,57
learning.ct716,-0.9028,0.7197,-1.2543,0.2097,39,0.419802167,N,N,57
correctFrequency.ct:learning.ct716,0.9289,0.9793,0.9485,0.3429,39,1.315544429,N,N,57
correctFrequencyhigh:learning.ct716,-0.2318,0.5658,-0.4096,0.6821,39,0.33082977,N,N,57
correctFrequencylow:learning.ct716,0.5892,0.598,0.9852,0.3245,39,1.07770799,N,N,57
(Intercept)816,0.9907,0.4505,2.1992,0.0279,19,NA,N,N,57
correctFrequency.ct816,-4.4501,0.87,-5.115,0,19,29020.20782,N,N,57
learning.ct816,-1.1147,0.7922,-1.407,0.1594,19,0.425038233,N,N,57
correctFrequency.ct:learning.ct816,1.2572,1.5203,0.827,0.4082,19,1.250738009,N,N,57
correctFrequencyhigh:learning.ct816,-1.3672,0.9913,-1.3792,0.1678,19,0.328199341,N,N,57
correctFrequencylow:learning.ct816,-0.4383,0.73,-0.6004,0.5482,19,0.366652384,N,N,57
117,NA,NA,NA,NA,NA,NA,NA,NA,58
(Intercept)92,0.4044,0.3475,1.1638,0.2445,179,NA,N,N,58
correctFrequency.ct92,-3.7769,0.5308,-7.115,0,179,6219453438,N,N,58
learning.ct92,-0.4503,0.6824,-0.6598,0.5094,179,0.517166712,N,N,58
correctFrequency.ct:learning.ct92,-0.6023,1.0315,-0.5839,0.5593,179,0.524811104,N,N,58
correctFrequencyhigh:learning.ct92,-1.7433,1.3343,-1.3066,0.1914,179,0.422498271,N,N,58
correctFrequencylow:learning.ct92,-0.4861,0.7944,-0.6119,0.5406,179,0.389819262,N,N,58
(Intercept)121,0.6811,0.3888,1.7516,0.0798,159,NA,N,N,58
correctFrequency.ct121,-3.5219,0.7259,-4.8519,0,159,16567.78607,N,N,58
learning.ct121,0.3035,0.7198,0.4217,0.6733,159,0.939912599,N,N,58
correctFrequency.ct:learning.ct121,-0.5279,1.3263,-0.398,0.6906,159,0.657440035,N,N,58
correctFrequencyhigh:learning.ct121,-0.1491,0.8004,-0.1863,0.8522,159,0.4994617,N,N,58
correctFrequencylow:learning.ct121,-0.7514,0.9072,-0.8283,0.4075,159,0.387925682,N,N,58
(Intercept)219,-0.0105,0.2862,-0.0366,0.9708,139,NA,N,N,58
correctFrequency.ct219,-3.9308,0.7532,-5.2186,0,139,71313.48727,N,N,58
learning.ct219,1.0408,0.5485,1.8977,0.0577,139,3.434979076,N,N,58
correctFrequency.ct:learning.ct219,-0.9598,1.4756,-0.6504,0.5154,139,0.62443481,N,N,58
correctFrequencyhigh:learning.ct219,0.5674,1.2678,0.4476,0.6545,139,0.95063842,N,N,58
correctFrequencylow:learning.ct219,0.0396,0.5568,0.0711,0.9433,139,0.450651335,N,N,58
(Intercept)317,0.3716,0.3626,1.0246,0.3055,119,NA,N,N,58
correctFrequency.ct317,-3.2888,0.6486,-5.0709,0,119,53404.83264,N,N,58
learning.ct317,-0.9016,0.7198,-1.2525,0.2104,119,0.420133301,N,N,58
correctFrequency.ct:learning.ct317,0.7124,1.2859,0.554,0.5796,119,1.053148633,N,N,58
correctFrequencyhigh:learning.ct317,1.5207,0.8962,1.6969,0.0897,119,2.744508957,N,N,58
correctFrequencylow:learning.ct317,0.5609,0.942,0.5955,0.5515,119,0.944447441,N,N,58
(Intercept)417,1.0419,0.369,2.8236,0.0047,99,NA,N,N,58
correctFrequency.ct417,-3.8785,0.7803,-4.9708,0,99,22566.86668,N,N,58
learning.ct417,0.1454,0.6548,0.2221,0.8242,99,0.802823484,N,N,58
correctFrequency.ct:learning.ct417,-0.2053,1.4086,-0.1458,0.8841,99,0.755153215,N,N,58
correctFrequencyhigh:learning.ct417,-1.2578,0.9619,-1.3076,0.191,99,0.329554809,N,N,58
correctFrequencylow:learning.ct417,-0.5453,0.9684,-0.5632,0.5733,99,0.463718535,N,N,58
(Intercept)517,1.1268,0.4438,2.5393,0.0111,79,NA,N,N,58
correctFrequency.ct517,-4.3195,1.0216,-4.2281,0,79,734.1463213,N,N,58
learning.ct517,0.1016,0.7699,0.1319,0.8951,79,0.814546308,N,N,58
correctFrequency.ct:learning.ct517,-0.7135,1.8441,-0.3869,0.6988,79,0.756217685,N,N,58
correctFrequencyhigh:learning.ct517,0.2481,1.1575,0.2143,0.8303,79,0.795086608,N,N,58
correctFrequencylow:learning.ct517,0.0428,0.7141,0.0599,0.9522,79,0.54054257,N,N,58
(Intercept)617,0.9246,0.2422,3.8169,1.00E-04,59,NA,N,N,58
correctFrequency.ct617,-4.105,0.5095,-8.057,0,59,4.94E+12,N,N,58
learning.ct617,0.2052,0.4447,0.4614,0.6445,59,0.780857357,N,N,58
correctFrequency.ct:learning.ct617,-0.4543,0.9453,-0.4806,0.6308,59,0.521651685,N,N,58
correctFrequencyhigh:learning.ct617,0.4583,1.5321,0.2991,0.7648,59,0.92239109,N,N,58
correctFrequencylow:learning.ct617,-0.2552,0.7364,-0.3465,0.729,59,0.426125466,N,N,58
(Intercept)717,0.5746,0.2919,1.9685,0.049,39,NA,N,N,58
correctFrequency.ct717,-3.3349,0.6231,-5.352,0,39,209970.0686,N,N,58
learning.ct717,-0.6589,0.5732,-1.1495,0.2503,39,0.369600398,N,N,58
correctFrequency.ct:learning.ct717,0.0401,1.2294,0.0326,0.974,39,0.779952425,N,N,58
correctFrequencyhigh:learning.ct717,0.4323,0.7817,0.5531,0.5802,39,0.83270754,N,N,58
correctFrequencylow:learning.ct717,-0.022,0.4809,-0.0457,0.9636,39,0.366242623,N,N,58
(Intercept)817,2.094,0.6845,3.0592,0.0022,19,NA,N,N,58
correctFrequency.ct817,-5.8237,1.1819,-4.9276,0,19,4098.584934,N,N,58
learning.ct817,-1.4552,1.1933,-1.2194,0.2227,19,0.578959677,N,N,58
correctFrequency.ct:learning.ct817,2.9921,1.9546,1.5308,0.1258,19,1.73842039,N,N,58
correctFrequencyhigh:learning.ct817,-0.679,0.9609,-0.7066,0.4798,19,0.429437206,N,N,58
correctFrequencylow:learning.ct817,-0.6389,0.6999,-0.9128,0.3613,19,0.301599418,N,N,58
118,NA,NA,NA,NA,NA,NA,NA,NA,59
