,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
correctFrequencyhigh:learning.ct87,1.2671,1.2362,1.025,0.3054,19,1.412417379,N,N,58
correctFrequencylow:learning.ct87,-0.9785,0.5559,-1.7601,0.0784,19,0.170201126,N,N,58
18,NA,NA,NA,NA,NA,NA,NA,NA,59
(Intercept)29,1.0526,0.415,2.5367,0.0112,179,NA,N,N,59
correctFrequency.ct29,-4.042,0.7232,-5.5889,0,179,434764.6735,N,N,59
learning.ct29,-1.5018,0.7898,-1.9016,0.0572,179,0.360696039,N,N,59
correctFrequency.ct:learning.ct29,0.0979,1.3572,0.0722,0.9425,179,0.825417597,N,N,59
correctFrequencyhigh:learning.ct29,-0.8897,0.9352,-0.9514,0.3414,179,0.375167718,N,N,59
correctFrequencylow:learning.ct29,-0.2001,0.5233,-0.3824,0.7022,179,0.314520532,N,N,59
(Intercept)112,1.2508,0.5723,2.1856,0.0288,159,NA,N,N,59
correctFrequency.ct112,-4.6328,1.0517,-4.405,0,159,1175.658015,N,N,59
learning.ct112,0.3805,0.9599,0.3965,0.6918,159,0.995234262,N,N,59
correctFrequency.ct:learning.ct112,0.5598,1.7059,0.3281,0.7428,159,0.985462721,N,N,59
correctFrequencyhigh:learning.ct112,-1.5508,1.1702,-1.3252,0.1851,159,0.38134597,N,N,59
correctFrequencylow:learning.ct112,-1.4529,0.894,-1.6252,0.1041,159,0.274213921,N,N,59
(Intercept)210,0.6305,0.3612,1.7458,0.0808,139,NA,N,N,59
correctFrequency.ct210,-4.2891,0.8174,-5.247,0,139,62354.39327,N,N,59
learning.ct210,0.5667,0.6999,0.8098,0.4181,139,1.206273276,N,N,59
correctFrequency.ct:learning.ct210,2.0863,1.5963,1.3069,0.1912,139,1.641957509,N,N,59
correctFrequencyhigh:learning.ct210,0.1007,1.6216,0.0621,0.9505,139,0.833036979,N,N,59
correctFrequencylow:learning.ct210,0.6604,0.8155,0.8098,0.418,139,1.060819062,N,N,59
(Intercept)38,0.1584,0.1745,0.9077,0.364,119,NA,N,N,59
correctFrequency.ct38,-3.1288,0.5123,-6.1069,0,119,15393601.67,N,N,59
learning.ct38,-0.2545,0.3285,-0.7747,0.4385,119,0.277986344,N,N,59
correctFrequency.ct:learning.ct38,-0.8985,1.0001,-0.8984,0.369,119,0.446305615,N,N,59
correctFrequencyhigh:learning.ct38,-0.4764,1.0734,-0.4438,0.6572,119,0.528364419,N,N,59
correctFrequencylow:learning.ct38,1.6099,1.0497,1.5336,0.1251,119,2.237818464,N,N,59
(Intercept)48,0.3976,0.3238,1.2279,0.2195,99,NA,N,N,59
correctFrequency.ct48,-4.1616,0.729,-5.7088,0,99,749670.6649,N,N,59
learning.ct48,-0.0121,0.6235,-0.0194,0.9845,99,0.679697726,N,N,59
correctFrequency.ct:learning.ct48,-0.6928,1.4241,-0.4865,0.6266,99,0.655179629,N,N,59
correctFrequencyhigh:learning.ct48,0.1948,0.6968,0.2795,0.7799,99,0.623743516,N,N,59
correctFrequencylow:learning.ct48,-0.7037,0.4804,-1.4648,0.143,99,0.167183293,N,N,59
(Intercept)58,1.2943,0.563,2.2991,0.0215,79,NA,N,N,59
correctFrequency.ct58,-4.6594,0.9387,-4.9638,0,79,12195.03878,N,N,59
learning.ct58,-0.8289,1.0089,-0.8216,0.4113,79,0.605294871,N,N,59
correctFrequency.ct:learning.ct58,0.3576,1.5996,0.2235,0.8231,79,0.928687066,N,N,59
correctFrequencyhigh:learning.ct58,0.3343,1.1254,0.297,0.7664,79,0.826855676,N,N,59
correctFrequencylow:learning.ct58,-0.3585,0.7251,-0.4944,0.621,79,0.386592061,N,N,59
(Intercept)68,0.7285,0.2142,3.4016,7.00E-04,59,NA,N,N,59
correctFrequency.ct68,-2.8652,0.4202,-6.8186,0,59,1573171279,N,N,59
learning.ct68,0.1307,0.4194,0.3115,0.7554,59,0.671048237,N,N,59
correctFrequency.ct:learning.ct68,-2.1221,0.8222,-2.5812,0.0098,59,0.209991934,N,N,59
correctFrequencyhigh:learning.ct68,-1.0077,1.6115,-0.6253,0.5318,59,0.61563048,N,N,59
correctFrequencylow:learning.ct68,-0.6501,0.8461,-0.7684,0.4423,59,0.37822516,N,N,59
(Intercept)78,0.8531,0.3288,2.5949,0.0095,39,NA,N,N,59
correctFrequency.ct78,-4.2161,0.5492,-7.6774,0,39,2.38E+11,N,N,59
learning.ct78,0.685,0.6115,1.1201,0.2627,39,1.51239384,N,N,59
correctFrequency.ct:learning.ct78,2.0002,0.9867,2.0272,0.0426,39,3.744573005,N,N,59
correctFrequencyhigh:learning.ct78,1.1917,0.7033,1.6946,0.0902,39,2.735006452,N,N,59
correctFrequencylow:learning.ct78,-0.9304,0.4418,-2.1059,0.0352,39,0.120881762,N,N,59
(Intercept)88,1.2352,0.5844,2.1138,0.0345,19,NA,N,N,59
correctFrequency.ct88,-4.8732,1.0424,-4.6752,0,19,2945.887229,N,N,59
learning.ct88,-1.4377,1.0297,-1.3963,0.1626,19,0.505514117,N,N,59
correctFrequency.ct:learning.ct88,-0.5626,1.7783,-0.3164,0.7517,19,0.766342197,N,N,59
correctFrequencyhigh:learning.ct88,-0.3151,0.9,-0.3501,0.7262,19,0.49318457,N,N,59
correctFrequencylow:learning.ct88,1.6851,0.6516,2.586,0.0097,19,12.36773837,N,N,59
19,NA,NA,NA,NA,NA,NA,NA,NA,60
(Intercept)30,0.6623,0.3612,1.8334,0.0667,179,NA,N,N,60
correctFrequency.ct30,-3.4285,0.5228,-6.5573,0,179,200479481.3,N,N,60
learning.ct30,0.6508,0.6884,0.9454,0.3444,179,1.328937416,N,N,60
correctFrequency.ct:learning.ct30,-0.1403,0.9558,-0.1468,0.8833,179,0.626282963,N,N,60
