Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,label,button1,button2,button3,button4,frequency
1,1617096209257,30/03/2021 09:23:29,1617096209663,1,30/03/2021 10:23:29,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1617096226130,30/03/2021 09:23:46,1617096226585,1,30/03/2021 10:23:46,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,16839.595000000372,,,,,0,1,0,,,,,,instructions,,,,,,,
3,1617096227121,30/03/2021 09:23:47,1617096227559,1,30/03/2021 10:23:47,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,fixation,fixation,1001,,,,,0,1,0,,,,,,task,,"<p style=""font-size: 700%;""> tob</p>",12375.jpg,33075.jpg,bim25.jpg,23375.jpg,high
4,1617096228650,30/03/2021 09:23:48,1617096229117,1,30/03/2021 10:23:49,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,buttonB,response_button_image,1512.604999999894,,,33075.jpg,1,0,1,0,,,,,,task,,"<p style=""font-size: 700%;""> tob</p>",12375.jpg,33075.jpg,bim25.jpg,23375.jpg,high
5,1617096229653,30/03/2021 09:23:49,1617096230112,1,30/03/2021 10:23:50,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,2,1,3,Screen 3,Zone1,timelimit_screen,1001.0200000000004,,,,,0,1,0,,,1,,,task,,"<p style=""font-size: 700%;""> tob</p>",12375.jpg,33075.jpg,bim25.jpg,23375.jpg,high
6,1617096230653,30/03/2021 09:23:50,1617096231112,1,30/03/2021 10:23:51,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,fixation,fixation,1001.0270000000019,,,,,0,1,0,,,,,,task,,"<p style=""font-size: 700%;""> tob</p>",23375.jpg,12875.jpg,bim6.jpg,31375.jpg,high
7,1617096232696,30/03/2021 09:23:52,1617096232832,1,30/03/2021 10:23:52,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,3,2,2,Screen 2,buttonD,response_button_image,1687.434999999823,,,31375.jpg,1,0,1,0,,,,,,task,,"<p style=""font-size: 700%;""> tob</p>",23375.jpg,12875.jpg,bim6.jpg,31375.jpg,high
8,1617096233368,30/03/2021 09:23:53,1617096233832,1,30/03/2021 10:23:53,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,3,2,3,Screen 3,Zone1,timelimit_screen,1000.9380000000019,,,,,0,1,0,,,1,,,task,,"<p style=""font-size: 700%;""> tob</p>",23375.jpg,12875.jpg,bim6.jpg,31375.jpg,high
9,1617096234371,30/03/2021 09:23:54,1617096234833,1,30/03/2021 10:23:54,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,4,3,1,Screen 1,fixation,fixation,1001.150999999998,,,,,0,1,0,,,,,,task,,"<p style=""font-size: 700%;""> dep</p>",bim13.jpg,11775.jpg,31375.jpg,23075.jpg,high
10,1617096236134,30/03/2021 09:23:56,1617096236532,1,30/03/2021 10:23:56,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,4,3,2,Screen 2,buttonD,response_button_image,1661.8750000006912,,,23075.jpg,1,0,1,0,,,,,,task,,"<p style=""font-size: 700%;""> dep</p>",bim13.jpg,11775.jpg,31375.jpg,23075.jpg,high
11,1617096237074,30/03/2021 09:23:57,1617096237519,1,30/03/2021 10:23:57,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,4,3,3,Screen 3,Zone1,timelimit_screen,1001.1779999999999,,,,,0,1,0,,,1,,,task,,"<p style=""font-size: 700%;""> dep</p>",bim13.jpg,11775.jpg,31375.jpg,23075.jpg,high
12,1617096238063,30/03/2021 09:23:58,1617096238519,1,30/03/2021 10:23:58,45245,3,task-hpz2,,11460097,BLIND,3491839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.90,1707x961,1707x770,,2AFC - 4 pictures,3,Spreadsheet1,Spreadsheet1,5,4,1,Screen 1,fixation,fixation,1001.0240000000013,,,,,0,1,0,,,,,,task,,"<p style=""font-size: 700%;""> wug</p>",31525.jpg,11425.jpg,bim7.jpg,20125.jpg,low
