,timeRel.bin,frequency,block3,datalgd,,control,low
154,1350,h,block34,3.132085899,,,
155,1400,h,block34,3.291033507,,,
156,1450,h,block34,3.241431051,,,
157,1500,h,block34,1.486106432,,,
158,0,l,block34,-0.135044504,,,
159,50,l,block34,-0.186187707,,,
160,100,l,block34,-0.061109137,,,
161,150,l,block34,-0.268014361,,,
162,200,l,block34,-0.463615492,,,
163,250,l,block34,-0.204124301,,,
164,300,l,block34,-0.017609757,,,
165,350,l,block34,-0.162693785,,,
166,400,l,block34,-0.141940901,,,
167,450,l,block34,-0.246336761,,,
168,500,l,block34,-0.220731561,,,
169,550,l,block34,-0.057930627,,,
170,600,l,block34,0.189717312,,,
171,650,l,block34,0.923794592,,,
172,700,l,block34,1.693688426,,,
173,750,l,block34,2.238038118,,,
174,800,l,block34,2.564692558,,,
175,850,l,block34,2.554911801,,,
176,900,l,block34,2.636560781,,,
177,950,l,block34,2.776252062,,,
178,1000,l,block34,2.942745886,,,
179,1050,l,block34,2.86223564,,,
180,1100,l,block34,2.635827734,,,
181,1150,l,block34,2.773260896,,,
182,1200,l,block34,3.000085847,,,
183,1250,l,block34,3.038207979,,,
184,1300,l,block34,2.828801833,,,
185,1350,l,block34,2.912470752,,,
186,1400,l,block34,3.061972983,,,
187,1450,l,block34,2.14995641,,,
188,1500,l,block34,1.500971767,,,
189,1550,l,block34,2.197224577,,,
190,0,control,block56,0.004677371,,,
191,50,control,block56,-0.121292106,,,
192,100,control,block56,-0.035167174,,,
193,150,control,block56,-0.129953187,,,
194,200,control,block56,0.006375429,,,
195,250,control,block56,0.062411437,,,
196,300,control,block56,-0.083426412,,,
197,350,control,block56,0.185213543,,,
198,400,control,block56,-0.056303771,,,
199,450,control,block56,0.039851878,,,
200,500,control,block56,-0.25926275,,,
201,550,control,block56,-0.109558069,,,
202,600,control,block56,0.264428501,,,
203,650,control,block56,0.972206268,,,
204,700,control,block56,1.592097824,,,
205,750,control,block56,2.224627368,,,
206,800,control,block56,2.571846931,,,
207,850,control,block56,2.440127254,,,
208,900,control,block56,2.706676988,,,
209,950,control,block56,2.929055438,,,
210,1000,control,block56,2.982196096,,,
211,1050,control,block56,3.000650183,,,
212,1100,control,block56,3.175442765,,,
213,1150,control,block56,2.84798085,,,
214,1200,control,block56,2.878585564,,,
215,1250,control,block56,2.977222223,,,
216,1300,control,block56,3.224846435,,,
217,1350,control,block56,3.09092452,,,
218,1400,control,block56,3.356432448,,,
219,1450,control,block56,2.82498289,,,
220,1500,control,block56,1.464816385,,,
221,0,h,block56,0.064200247,,,
222,50,h,block56,-0.067962168,,,
223,100,h,block56,0.091692506,,,
224,150,h,block56,0.278367385,,,
225,200,h,block56,0.260358777,,,
226,250,h,block56,0.888953586,,,
227,300,h,block56,1.117821227,,,
228,350,h,block56,1.097448979,,,
229,400,h,block56,1.189020846,,,
230,450,h,block56,1.467629017,,,
231,500,h,block56,1.784632849,,,
232,550,h,block56,1.786390474,,,
233,600,h,block56,2.236223638,,,
234,650,h,block56,2.644038173,,,
235,700,h,block56,2.884797762,,,
236,750,h,block56,3.324207514,,,
237,800,h,block56,3.433319973,,,
238,850,h,block56,3.530789781,,,
239,900,h,block56,3.443565997,,,
240,950,h,block56,3.44344608,,,
241,1000,h,block56,3.272640136,,,
242,1050,h,block56,3.424770415,,,
243,1100,h,block56,3.44308376,,,
244,1150,h,block56,3.336457489,,,
245,1200,h,block56,3.380100664,,,
246,1250,h,block56,3.774074538,,,
247,1300,h,block56,3.617292175,,,
248,1350,h,block56,3.348691537,,,
249,1400,h,block56,3.475983011,,,
250,1450,h,block56,3.242100229,,,
251,1500,h,block56,2.002062873,,,
252,1550,h,block56,2.197224577,,,
253,1800,h,block56,2.197224577,,,
254,0,l,block56,0.026606764,,,
255,50,l,block56,-0.080027433,,,
256,100,l,block56,0.036554855,,,
257,150,l,block56,-0.361326019,,,
258,200,l,block56,-0.260023495,,,
259,250,l,block56,-0.201506968,,,
260,300,l,block56,-0.087057484,,,
261,350,l,block56,-0.041990687,,,
262,400,l,block56,0.170808409,,,
263,450,l,block56,-0.149105501,,,
264,500,l,block56,0.23282299,,,
265,550,l,block56,0.396010417,,,
266,600,l,block56,0.497497494,,,
267,650,l,block56,1.035189585,,,
268,700,l,block56,1.642580223,,,
269,750,l,block56,1.945322763,,,
270,800,l,block56,2.502433645,,,
271,850,l,block56,2.955416479,,,
272,900,l,block56,2.975859622,,,
273,950,l,block56,3.049968976,,,
274,1000,l,block56,2.928071289,,,
275,1050,l,block56,2.678185471,,,
276,1100,l,block56,2.448232962,,,
277,1150,l,block56,2.500751112,,,
278,1200,l,block56,2.702568952,,,
279,1250,l,block56,2.910590956,,,
280,1300,l,block56,3.120957524,,,
281,1350,l,block56,2.711184341,,,
282,1400,l,block56,3.158099777,,,
283,1450,l,block56,2.817804964,,,
284,1500,l,block56,1.962109911,,,
