"","objectLookedAt","timeRel.bin","frequency","block3","proportionLooks"
"470","mismatch1LabelLk",1000,"l","block34",0.0115451388888889
"471","mismatch2LabelLk",1000,"l","block34",0.0268753815628816
"472","targetLabelLk",1000,"l","block34",0.528348272098272
"473","mismatch1LabelLk",1050,"l","block34",0.0222948347948348
"474","mismatch2LabelLk",1050,"l","block34",0.0254095441595442
"475","targetLabelLk",1050,"l","block34",0.53757124745028
"476","mismatch1LabelLk",1100,"l","block34",0.0236353923853924
"477","mismatch2LabelLk",1100,"l","block34",0.0145179473304473
"478","targetLabelLk",1100,"l","block34",0.4846303002553
"479","mismatch1LabelLk",1150,"l","block34",0.0199737762237762
"480","mismatch2LabelLk",1150,"l","block34",0.0240074502023031
"481","targetLabelLk",1150,"l","block34",0.501843904325522
"482","mismatch1LabelLk",1200,"l","block34",0.0126196311858077
"483","mismatch2LabelLk",1200,"l","block34",0.0237869769119769
"484","targetLabelLk",1200,"l","block34",0.53755817007418
"485","mismatch1LabelLk",1250,"l","block34",0.0159220987345987
"486","mismatch2LabelLk",1250,"l","block34",0.0153512286324786
"487","targetLabelLk",1250,"l","block34",0.54071765652648
"488","mismatch1LabelLk",1300,"l","block34",0.0167089854589855
"489","mismatch2LabelLk",1300,"l","block34",0.0145833333333333
"490","targetLabelLk",1300,"l","block34",0.501225279350279
"491","mismatch1LabelLk",1350,"l","block34",0.0180239898989899
"492","mismatch2LabelLk",1350,"l","block34",0.0246212121212121
"493","targetLabelLk",1350,"l","block34",0.515605998939332
"494","mismatch1LabelLk",1400,"l","block34",0.01171875
"495","mismatch2LabelLk",1400,"l","block34",0.0150106837606838
"496","targetLabelLk",1400,"l","block34",0.541297909266659
"497","mismatch1LabelLk",1450,"l","block34",0.025
"498","mismatch2LabelLk",1450,"l","block34",0.0133928571428571
"499","targetLabelLk",1450,"l","block34",0.529648919753086
"500","mismatch1LabelLk",1500,"l","block34",0
"501","mismatch2LabelLk",1500,"l","block34",0.25
"502","targetLabelLk",1500,"l","block34",0.625
"503","mismatch1LabelLk",1550,"l","block34",0
"504","mismatch2LabelLk",1550,"l","block34",0
"505","targetLabelLk",1550,"l","block34",1
"506","ControlOneFoilLk",0,"control","block56",0.109697420634921
"507","targetLabelLk",0,"control","block56",0.110168650793651
"508","ControlOneFoilLk",50,"control","block56",0.123627802473584
"509","targetLabelLk",50,"control","block56",0.108824264687268
"510","ControlOneFoilLk",100,"control","block56",0.1121439425891
"511","targetLabelLk",100,"control","block56",0.112661478185441
"512","ControlOneFoilLk",150,"control","block56",0.102054514705724
"513","targetLabelLk",150,"control","block56",0.0951880314279508
"514","ControlOneFoilLk",200,"control","block56",0.109749759680035
"515","targetLabelLk",200,"control","block56",0.125020046217428
"516","ControlOneFoilLk",250,"control","block56",0.113682517949991
"517","targetLabelLk",250,"control","block56",0.131312021794707
"518","ControlOneFoilLk",300,"control","block56",0.118633520594691
"519","targetLabelLk",300,"control","block56",0.117060100569826
"520","ControlOneFoilLk",350,"control","block56",0.0999612849103799
"521","targetLabelLk",350,"control","block56",0.132102838261779
"522","ControlOneFoilLk",400,"control","block56",0.120813130550498
"523","targetLabelLk",400,"control","block56",0.107564528512527
"524","ControlOneFoilLk",450,"control","block56",0.115048461003602
"525","targetLabelLk",450,"control","block56",0.132033393726942
"526","ControlOneFoilLk",500,"control","block56",0.127360927833002
"527","targetLabelLk",500,"control","block56",0.101085336842232
"528","ControlOneFoilLk",550,"control","block56",0.119244380012832
"529","targetLabelLk",550,"control","block56",0.120161385442762
"530","ControlOneFoilLk",600,"control","block56",0.105853328006061
"531","targetLabelLk",600,"control","block56",0.151839609636125
"532","ControlOneFoilLk",650,"control","block56",0.0859081191251299
"533","targetLabelLk",650,"control","block56",0.262403656557693
"534","ControlOneFoilLk",700,"control","block56",0.0648082988366369
"535","targetLabelLk",700,"control","block56",0.37186729772763
"536","ControlOneFoilLk",750,"control","block56",0.0430247784283438
"537","targetLabelLk",750,"control","block56",0.446725189961609
"538","ControlOneFoilLk",800,"control","block56",0.0392474133580521
"539","targetLabelLk",800,"control","block56",0.50950549413251
"540","ControlOneFoilLk",850,"control","block56",0.0345860063011101
"541","targetLabelLk",850,"control","block56",0.479085070070185
"542","ControlOneFoilLk",900,"control","block56",0.0293497415860999
"543","targetLabelLk",900,"control","block56",0.504778557172904
"544","ControlOneFoilLk",950,"control","block56",0.0334462099182494
"545","targetLabelLk",950,"control","block56",0.557575591154345
"546","ControlOneFoilLk",1000,"control","block56",0.026250276553985
"547","targetLabelLk",1000,"control","block56",0.537837614893782
"548","ControlOneFoilLk",1050,"control","block56",0.0232562474290415
"549","targetLabelLk",1050,"control","block56",0.540139000819158
"550","ControlOneFoilLk",1100,"control","block56",0.0269732381145425
"551","targetLabelLk",1100,"control","block56",0.54838304496495
"552","ControlOneFoilLk",1150,"control","block56",0.0337074383949384
"553","targetLabelLk",1150,"control","block56",0.524030350185241
"554","ControlOneFoilLk",1200,"control","block56",0.030743561993562
"555","targetLabelLk",1200,"control","block56",0.506949348457501
"556","ControlOneFoilLk",1250,"control","block56",0.026587332755811
"557","targetLabelLk",1250,"control","block56",0.544709952498751
"558","ControlOneFoilLk",1300,"control","block56",0.0197476512014555
"559","targetLabelLk",1300,"control","block56",0.566271294958817
"560","ControlOneFoilLk",1350,"control","block56",0.0225695776646864
"561","targetLabelLk",1350,"control","block56",0.560909217846137
"562","ControlOneFoilLk",1400,"control","block56",0.0182295713545714
"563","targetLabelLk",1400,"control","block56",0.606443915788278
"564","ControlOneFoilLk",1450,"control","block56",0.016691844035594
"565","targetLabelLk",1450,"control","block56",0.597599256453423
"566","ControlOneFoilLk",1500,"control","block56",0
"567","targetLabelLk",1500,"control","block56",0.666666666666667
"568","mismatch1LabelLk",0,"h","block56",0.0846348640466287
"569","mismatch2LabelLk",0,"h","block56",0.103466032877798
"570","targetLabelLk",0,"h","block56",0.0889355742296919
"571","mismatch1LabelLk",50,"h","block56",0.0988477330909035
"572","mismatch2LabelLk",50,"h","block56",0.0991481102994051
"573","targetLabelLk",50,"h","block56",0.0938124558846631
"574","mismatch1LabelLk",100,"h","block56",0.0771796701621244
"575","mismatch2LabelLk",100,"h","block56",0.0851895742556884
"576","targetLabelLk",100,"h","block56",0.0888651795135183
"577","mismatch1LabelLk",150,"h","block56",0.0793790556945946
"578","mismatch2LabelLk",150,"h","block56",0.0814974686838256
"579","targetLabelLk",150,"h","block56",0.10867970855963
"580","mismatch1LabelLk",200,"h","block56",0.125911557413027
"581","mismatch2LabelLk",200,"h","block56",0.0976278550487373
"582","targetLabelLk",200,"h","block56",0.118569614639957
"583","mismatch1LabelLk",250,"h","block56",0.0724068519303021
"584","mismatch2LabelLk",250,"h","block56",0.0831650252006912
"585","targetLabelLk",250,"h","block56",0.171357899911651
"586","mismatch1LabelLk",300,"h","block56",0.0617755418826044
"587","mismatch2LabelLk",300,"h","block56",0.0710003814967093
"588","targetLabelLk",300,"h","block56",0.199851631313103
"589","mismatch1LabelLk",350,"h","block56",0.0982010609366037
"590","mismatch2LabelLk",350,"h","block56",0.0981426702662028
"591","targetLabelLk",350,"h","block56",0.22710955363665
"592","mismatch1LabelLk",400,"h","block56",0.091243463635018
"593","mismatch2LabelLk",400,"h","block56",0.0813893213839932
"594","targetLabelLk",400,"h","block56",0.251757804718562
"595","mismatch1LabelLk",450,"h","block56",0.103612411703949
"596","mismatch2LabelLk",450,"h","block56",0.0840832822822881
"597","targetLabelLk",450,"h","block56",0.283436350930358
"598","mismatch1LabelLk",500,"h","block56",0.0747633427421076
"599","mismatch2LabelLk",500,"h","block56",0.0797227259493974
"600","targetLabelLk",500,"h","block56",0.302232878976251
"601","mismatch1LabelLk",550,"h","block56",0.0660099515582235
"602","mismatch2LabelLk",550,"h","block56",0.0664113734583705
"603","targetLabelLk",550,"h","block56",0.317252603500147
"604","mismatch1LabelLk",600,"h","block56",0.0626447943505345
"605","mismatch2LabelLk",600,"h","block56",0.0604452483170009
"606","targetLabelLk",600,"h","block56",0.361838025108024
"607","mismatch1LabelLk",650,"h","block56",0.0524907249602358
"608","mismatch2LabelLk",650,"h","block56",0.0473221995014617
"609","targetLabelLk",650,"h","block56",0.407955789382331
"610","mismatch1LabelLk",700,"h","block56",0.0502356310440764
"611","mismatch2LabelLk",700,"h","block56",0.0376891814640473
"612","targetLabelLk",700,"h","block56",0.465830601248399
"613","mismatch1LabelLk",750,"h","block56",0.0371070021985816
"614","mismatch2LabelLk",750,"h","block56",0.0284665022098515
"615","targetLabelLk",750,"h","block56",0.513539459160046
"616","mismatch1LabelLk",800,"h","block56",0.0348470839231894
"617","mismatch2LabelLk",800,"h","block56",0.029882866863373
"618","targetLabelLk",800,"h","block56",0.526128663329494
"619","mismatch1LabelLk",850,"h","block56",0.0397671648889008
"620","mismatch2LabelLk",850,"h","block56",0.0291120810431851
"621","targetLabelLk",850,"h","block56",0.534948119391524
"622","mismatch1LabelLk",900,"h","block56",0.0251004070074279
"623","mismatch2LabelLk",900,"h","block56",0.0306282732445343
"624","targetLabelLk",900,"h","block56",0.522967604328048
"625","mismatch1LabelLk",950,"h","block56",0.0305940307157346
"626","mismatch2LabelLk",950,"h","block56",0.0243023010027375
"627","targetLabelLk",950,"h","block56",0.534871382516884
"628","mismatch1LabelLk",1000,"h","block56",0.0289507780108803
"629","mismatch2LabelLk",1000,"h","block56",0.0270024462026526
"630","targetLabelLk",1000,"h","block56",0.502530751071786
"631","mismatch1LabelLk",1050,"h","block56",0.0237979984848095
"632","mismatch2LabelLk",1050,"h","block56",0.0328882271921936
"633","targetLabelLk",1050,"h","block56",0.516618204397131
"634","mismatch1LabelLk",1100,"h","block56",0.0260426618839097
"635","mismatch2LabelLk",1100,"h","block56",0.0272472267199771
"636","targetLabelLk",1100,"h","block56",0.52018944465312
"637","mismatch1LabelLk",1150,"h","block56",0.0239648904190388
"638","mismatch2LabelLk",1150,"h","block56",0.0306384751320905
"639","targetLabelLk",1150,"h","block56",0.513952839533781
"640","mismatch1LabelLk",1200,"h","block56",0.0563010911188483
"641","mismatch2LabelLk",1200,"h","block56",0.0345297590652453
"642","targetLabelLk",1200,"h","block56",0.532359656339514
"643","mismatch1LabelLk",1250,"h","block56",0.0178849344174005
"644","mismatch2LabelLk",1250,"h","block56",0.0261093261002203
"645","targetLabelLk",1250,"h","block56",0.562181885153219
"646","mismatch1LabelLk",1300,"h","block56",0.0237583585293631
"647","mismatch2LabelLk",1300,"h","block56",0.0204437142174233
"648","targetLabelLk",1300,"h","block56",0.540515043706273
"649","mismatch1LabelLk",1350,"h","block56",0.0371938921449979
"650","mismatch2LabelLk",1350,"h","block56",0.0307667220967707
"651","targetLabelLk",1350,"h","block56",0.540044745301726
"652","mismatch1LabelLk",1400,"h","block56",0.030905246790735
"653","mismatch2LabelLk",1400,"h","block56",0.0435066927239603
"654","targetLabelLk",1400,"h","block56",0.540378980403426
"655","mismatch1LabelLk",1450,"h","block56",0.0367024587612823
"656","mismatch2LabelLk",1450,"h","block56",0.0283152577270224
"657","targetLabelLk",1450,"h","block56",0.608629986571163
"658","mismatch1LabelLk",1500,"h","block56",0
"659","mismatch2LabelLk",1500,"h","block56",0.0625
"660","targetLabelLk",1500,"h","block56",0.744791666666667
"661","mismatch1LabelLk",1550,"h","block56",0
"662","mismatch2LabelLk",1550,"h","block56",0
"663","targetLabelLk",1550,"h","block56",1
"664","mismatch1LabelLk",1800,"h","block56",0
"665","mismatch2LabelLk",1800,"h","block56",0
"666","targetLabelLk",1800,"h","block56",1
"667","mismatch1LabelLk",0,"l","block56",0.0625
"668","mismatch2LabelLk",0,"l","block56",0.0729166666666667
"669","targetLabelLk",0,"l","block56",0.0763888888888889
"670","mismatch1LabelLk",50,"l","block56",0.0805555555555555
"671","mismatch2LabelLk",50,"l","block56",0.0738185425685426
"672","targetLabelLk",50,"l","block56",0.0705605158730159
"673","mismatch1LabelLk",100,"l","block56",0.0682821807821808
"674","mismatch2LabelLk",100,"l","block56",0.0987936223133592
"675","targetLabelLk",100,"l","block56",0.0859018874643875
"676","mismatch1LabelLk",150,"l","block56",0.090431556138793
"677","mismatch2LabelLk",150,"l","block56",0.0917110088985089
"678","targetLabelLk",150,"l","block56",0.0621234668109668
"679","mismatch1LabelLk",200,"l","block56",0.0839748214748215
"680","mismatch2LabelLk",200,"l","block56",0.083543771043771
"681","targetLabelLk",200,"l","block56",0.0605850168350168
"682","mismatch1LabelLk",250,"l","block56",0.114662577346401
"683","mismatch2LabelLk",250,"l","block56",0.0826058201058201
"684","targetLabelLk",250,"l","block56",0.0909242650051474
"685","mismatch1LabelLk",300,"l","block56",0.10039855977356
"686","mismatch2LabelLk",300,"l","block56",0.0906720594220594
"687","targetLabelLk",300,"l","block56",0.0976476648351648
"688","mismatch1LabelLk",350,"l","block56",0.107964713663243
"689","mismatch2LabelLk",350,"l","block56",0.079697875653758
"690","targetLabelLk",350,"l","block56",0.11270985958486
"691","mismatch1LabelLk",400,"l","block56",0.104035143097643
"692","mismatch2LabelLk",400,"l","block56",0.0633297258297258
"693","targetLabelLk",400,"l","block56",0.13827358983609
"694","mismatch1LabelLk",450,"l","block56",0.125685769518006
"695","mismatch2LabelLk",450,"l","block56",0.102346578251184
"696","targetLabelLk",450,"l","block56",0.120340307840308
"697","mismatch1LabelLk",500,"l","block56",0.118390555522908
"698","mismatch2LabelLk",500,"l","block56",0.0783618750530515
"699","targetLabelLk",500,"l","block56",0.183032663823105
"700","mismatch1LabelLk",550,"l","block56",0.0955868783993784
"701","mismatch2LabelLk",550,"l","block56",0.0876412938912939
"702","targetLabelLk",550,"l","block56",0.171149857087357
"703","mismatch1LabelLk",600,"l","block56",0.112307654577391
"704","mismatch2LabelLk",600,"l","block56",0.071768278018278
"705","targetLabelLk",600,"l","block56",0.232009739164344
"706","mismatch1LabelLk",650,"l","block56",0.0911101812417602
"707","mismatch2LabelLk",650,"l","block56",0.0649894087394087
"708","targetLabelLk",650,"l","block56",0.272769898838978
"709","mismatch1LabelLk",700,"l","block56",0.0749747377020984
"710","mismatch2LabelLk",700,"l","block56",0.0534406565656566
"711","targetLabelLk",700,"l","block56",0.376655776713826
"712","mismatch1LabelLk",750,"l","block56",0.076109559908902
"713","mismatch2LabelLk",750,"l","block56",0.0468253968253968
"714","targetLabelLk",750,"l","block56",0.431429343682633
"715","mismatch1LabelLk",800,"l","block56",0.0274733946608947
"716","mismatch2LabelLk",800,"l","block56",0.0424107142857143
"717","targetLabelLk",800,"l","block56",0.480986548174048
"718","mismatch1LabelLk",850,"l","block56",0.009375
"719","mismatch2LabelLk",850,"l","block56",0.0166005291005291
"720","targetLabelLk",850,"l","block56",0.530520320501938
"721","mismatch1LabelLk",900,"l","block56",0.0214781746031746
"722","mismatch2LabelLk",900,"l","block56",0.0275090939153439
"723","targetLabelLk",900,"l","block56",0.542466127622378
"724","mismatch1LabelLk",950,"l","block56",0.0265801039238539
"725","mismatch2LabelLk",950,"l","block56",0.039380787037037
"726","targetLabelLk",950,"l","block56",0.562225505975506
"727","mismatch1LabelLk",1000,"l","block56",0.0371515059015059
"728","mismatch2LabelLk",1000,"l","block56",0.034601393976394
"729","targetLabelLk",1000,"l","block56",0.550213270525771
"730","mismatch1LabelLk",1050,"l","block56",0.0196403133903134
"731","mismatch2LabelLk",1050,"l","block56",0.0126116071428571
"732","targetLabelLk",1050,"l","block56",0.508732211075961
"733","mismatch1LabelLk",1100,"l","block56",0.0213789682539683
"734","mismatch2LabelLk",1100,"l","block56",0.0334528318903319
"735","targetLabelLk",1100,"l","block56",0.46147374037999
"736","mismatch1LabelLk",1150,"l","block56",0.0147005772005772
"737","mismatch2LabelLk",1150,"l","block56",0.055982905982906
"738","targetLabelLk",1150,"l","block56",0.458212362077494
"739","mismatch1LabelLk",1200,"l","block56",0.0240109427609428
"740","mismatch2LabelLk",1200,"l","block56",0.0558849715099715
"741","targetLabelLk",1200,"l","block56",0.500209512709513
"742","mismatch1LabelLk",1250,"l","block56",0.0179743867243867
"743","mismatch2LabelLk",1250,"l","block56",0.0102693602693603
"744","targetLabelLk",1250,"l","block56",0.547476250601251
"745","mismatch1LabelLk",1300,"l","block56",0.0145502645502645
"746","mismatch2LabelLk",1300,"l","block56",0.0262731481481481
"747","targetLabelLk",1300,"l","block56",0.567354607198357
"748","mismatch1LabelLk",1350,"l","block56",0.0284647065897066
"749","mismatch2LabelLk",1350,"l","block56",0.0167824074074074
"750","targetLabelLk",1350,"l","block56",0.543931878306878
"751","mismatch1LabelLk",1400,"l","block56",0.00744949494949495
"752","mismatch2LabelLk",1400,"l","block56",0.00397727272727273
"753","targetLabelLk",1400,"l","block56",0.587395474895475
"754","mismatch1LabelLk",1450,"l","block56",0.00595238095238095
"755","mismatch2LabelLk",1450,"l","block56",0
"756","targetLabelLk",1450,"l","block56",0.654489087301587
"757","mismatch1LabelLk",1500,"l","block56",0
"758","mismatch2LabelLk",1500,"l","block56",0
"759","targetLabelLk",1500,"l","block56",0.8
