"","objectLookedAt","timeRel.bin","frequency","block3","proportionLooks"
"95","targetLabelLk",500,"h","block12",0.17073653021907
"96","mismatch1LabelLk",550,"h","block12",0.0991440212774411
"97","mismatch2LabelLk",550,"h","block12",0.0878478376283622
"98","targetLabelLk",550,"h","block12",0.186968146594521
"99","mismatch1LabelLk",600,"h","block12",0.0458701011250382
"100","mismatch2LabelLk",600,"h","block12",0.0830509150545516
"101","targetLabelLk",600,"h","block12",0.238646926406102
"102","mismatch1LabelLk",650,"h","block12",0.04166935160693
"103","mismatch2LabelLk",650,"h","block12",0.0460950095623834
"104","targetLabelLk",650,"h","block12",0.342697143759007
"105","mismatch1LabelLk",700,"h","block12",0.0356711665574621
"106","mismatch2LabelLk",700,"h","block12",0.0331564832992224
"107","targetLabelLk",700,"h","block12",0.384053492962912
"108","mismatch1LabelLk",750,"h","block12",0.0313879856460266
"109","mismatch2LabelLk",750,"h","block12",0.0218161320005226
"110","targetLabelLk",750,"h","block12",0.409835416808818
"111","mismatch1LabelLk",800,"h","block12",0.0286277243650887
"112","mismatch2LabelLk",800,"h","block12",0.0213736279631903
"113","targetLabelLk",800,"h","block12",0.473125263911099
"114","mismatch1LabelLk",850,"h","block12",0.0232562477065665
"115","mismatch2LabelLk",850,"h","block12",0.0226001564382964
"116","targetLabelLk",850,"h","block12",0.475080577452838
"117","mismatch1LabelLk",900,"h","block12",0.0211986678465637
"118","mismatch2LabelLk",900,"h","block12",0.0224303099684154
"119","targetLabelLk",900,"h","block12",0.468927034186573
"120","mismatch1LabelLk",950,"h","block12",0.0287509916332991
"121","mismatch2LabelLk",950,"h","block12",0.0324724020846423
"122","targetLabelLk",950,"h","block12",0.474044832419757
"123","mismatch1LabelLk",1000,"h","block12",0.0429254775548316
"124","mismatch2LabelLk",1000,"h","block12",0.0210385161486353
"125","targetLabelLk",1000,"h","block12",0.475972473679655
"126","mismatch1LabelLk",1050,"h","block12",0.0316984117941859
"127","mismatch2LabelLk",1050,"h","block12",0.0220817020403437
"128","targetLabelLk",1050,"h","block12",0.494268850446033
"129","mismatch1LabelLk",1100,"h","block12",0.0250130567731449
"130","mismatch2LabelLk",1100,"h","block12",0.0243256529902246
"131","targetLabelLk",1100,"h","block12",0.480220884747887
"132","mismatch1LabelLk",1150,"h","block12",0.0298893725548796
"133","mismatch2LabelLk",1150,"h","block12",0.0303835511380963
"134","targetLabelLk",1150,"h","block12",0.464081060455649
"135","mismatch1LabelLk",1200,"h","block12",0.0303642116293082
"136","mismatch2LabelLk",1200,"h","block12",0.0283241722601042
"137","targetLabelLk",1200,"h","block12",0.468299761898784
"138","mismatch1LabelLk",1250,"h","block12",0.0327625063703146
"139","mismatch2LabelLk",1250,"h","block12",0.0339407427178325
"140","targetLabelLk",1250,"h","block12",0.464025443089227
"141","mismatch1LabelLk",1300,"h","block12",0.0206527707748898
"142","mismatch2LabelLk",1300,"h","block12",0.0268148061197142
"143","targetLabelLk",1300,"h","block12",0.462586243090477
"144","mismatch1LabelLk",1350,"h","block12",0.0274032439334334
"145","mismatch2LabelLk",1350,"h","block12",0.0373360280953698
"146","targetLabelLk",1350,"h","block12",0.481783167116631
"147","mismatch1LabelLk",1400,"h","block12",0.0285699317636941
"148","mismatch2LabelLk",1400,"h","block12",0.0251841353164124
"149","targetLabelLk",1400,"h","block12",0.510503129155421
"150","mismatch1LabelLk",1450,"h","block12",0.0374833907922143
"151","mismatch2LabelLk",1450,"h","block12",0.0332430078044113
"152","targetLabelLk",1450,"h","block12",0.496470154104436
"153","mismatch1LabelLk",1500,"h","block12",0.0416666666666667
"154","mismatch2LabelLk",1500,"h","block12",0.0833333333333333
"155","targetLabelLk",1500,"h","block12",0.472222222222222
"156","mismatch1LabelLk",1550,"h","block12",0
"157","mismatch2LabelLk",1550,"h","block12",0.25
"158","targetLabelLk",1550,"h","block12",0
"159","mismatch1LabelLk",0,"l","block12",0.0753472222222222
"160","mismatch2LabelLk",0,"l","block12",0.0892361111111111
"161","targetLabelLk",0,"l","block12",0.0920138888888889
"162","mismatch1LabelLk",50,"l","block12",0.0496177048260382
"163","mismatch2LabelLk",50,"l","block12",0.106795114607615
"164","targetLabelLk",50,"l","block12",0.113733315295815
"165","mismatch1LabelLk",100,"l","block12",0.0734937516187516
"166","mismatch2LabelLk",100,"l","block12",0.083524346024346
