"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","27","0.0-0.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","","","","","","","","","","","","","","",""
"fullscreen","1","2688","0.0-1.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","true","","","","","","","","","","","","","","",""
"external-html","2","5345","0.0-2.0-0.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","2327.614999987418","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","15989","0.0-2.0-1.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","10402.51499999431","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","32200","0.0-3.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","NA","","[{""page_index"":0,""viewing_time"":4305.889999988722},{""page_index"":1,""viewing_time"":11904.060000000754}]","instructions","","","","","","","","","","",""
"resize","5","126226","0.0-4.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","","","","","","392","2.488888888888889","","","","","","","",""
"html-keyboard-response","6","127228","0.0-5.0-0.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","This is a tob:","null","","","","","",""
"image-keyboard-response","7","127557","0.0-5.0-1.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","8","128559","0.0-5.0-2.0","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","","",""
"html-keyboard-response","9","129561","0.0-5.0-0.1","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","10","129889","0.0-5.0-1.1","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","11","130891","0.0-5.0-2.1","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","","",""
"html-keyboard-response","12","131892","0.0-5.0-0.2","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","This is a bim:","null","","","","","",""
"image-keyboard-response","13","132221","0.0-5.0-1.2","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","14","133223","0.0-5.0-2.2","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","","",""
"html-keyboard-response","15","134225","0.0-5.0-0.3","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","This is a dep:","null","","","","","",""
"image-keyboard-response","16","134553","0.0-5.0-1.3","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","17","135555","0.0-5.0-2.3","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","","",""
"html-keyboard-response","18","136558","0.0-5.0-0.4","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","19","136884","0.0-5.0-1.4","LF","lpb8r8jcs5","1920","1080","0","1","0","5dc1e79c880a2915309a8ee3","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
