"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","65","0.0-0.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","","","","","","","","","","","","","","",""
"fullscreen","1","4235","0.0-1.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","true","","","","","","","","","","","","","","",""
"external-html","2","6856","0.0-2.0-0.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","2603.9049999963026","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","9425","0.0-2.0-1.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","2540.515000000596","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","15159","0.0-3.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","NA","","[{""page_index"":0,""viewing_time"":1279.0999999997439},{""page_index"":1,""viewing_time"":4439.534999997704}]","instructions","","","","","","","","","","",""
"resize","5","21890","0.0-4.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","","","","","","554","3.5174603174603174","","","","","","","",""
"image-keyboard-response","6","22071","0.0-5.0-0.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","7","23225","0.0-5.0-1.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","8","24227","0.0-5.0-2.0","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","","",""
"image-keyboard-response","9","24404","0.0-5.0-0.1","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","10","25558","0.0-5.0-1.1","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","11","26560","0.0-5.0-2.1","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","","",""
"image-keyboard-response","12","26738","0.0-5.0-0.2","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","13","27891","0.0-5.0-1.2","FL","55ovzw4068","2560","1440","0","1","0","5f830f1644cc14447b03305c","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
