"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","52","0.0-0.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","","","","","","","","","","","","","","",""
"fullscreen","1","16696","0.0-1.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","true","","","","","","","","","","","","","","",""
"external-html","2","40466","0.0-2.0-0.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","23516.255000024103","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","78266","0.0-2.0-1.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","37521.884999994654","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","102681","0.0-3.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","NA","","[{""page_index"":0,""viewing_time"":5925.685000023805},{""page_index"":1,""viewing_time"":18480.074999970384}]","instructions","","","","","","","","","","",""
"resize","5","175889","0.0-4.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","","","","","","332","2.107936507936508","","","","","","","",""
"image-keyboard-response","6","176071","0.0-5.0-0.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","7","177250","0.0-5.0-1.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","8","178253","0.0-5.0-2.0","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","","",""
"image-keyboard-response","9","178437","0.0-5.0-0.1","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","10","179601","0.0-5.0-1.1","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","11","180604","0.0-5.0-2.1","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","","",""
"image-keyboard-response","12","180786","0.0-5.0-0.2","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","13","181952","0.0-5.0-1.2","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","14","182960","0.0-5.0-2.2","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","","",""
"image-keyboard-response","15","183149","0.0-5.0-0.3","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","16","184307","0.0-5.0-1.3","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","17","185318","0.0-5.0-2.3","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","","",""
"image-keyboard-response","18","185496","0.0-5.0-0.4","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
"html-keyboard-response","19","186667","0.0-5.0-1.4","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","20","187683","0.0-5.0-2.4","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","","",""
"image-keyboard-response","21","187866","0.0-5.0-0.5","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","","","","","learning/Slide6.JPG","null","","","","","",""
"html-keyboard-response","22","189033","0.0-5.0-1.5","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","23","190037","0.0-5.0-2.5","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","","",""
"image-keyboard-response","24","190216","0.0-5.0-0.6","FL","371addqx7x","1366","768","0","1","0","5d8cd4be7bd5180017d887a3","","null","","","","","","","learning/Slide7.JPG","null","","","","","",""
