"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","6","0.0-0.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","","","","","","","","","","","","","","",""
"fullscreen","1","41641","0.0-1.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","true","","","","","","","","","","","","","","",""
"external-html","2","194676","0.0-2.0-0.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","152948","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","235292","0.0-2.0-1.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","40444","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","296743","0.0-3.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","NA","","[{""page_index"":0,""viewing_time"":2207},{""page_index"":1,""viewing_time"":59242}]","instructions","","","","","","","","","","",""
"resize","5","555856","0.0-4.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","","","","","","318","2.019047619047619","","","","","","","",""
"image-keyboard-response","6","556042","0.0-5.0-0.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","7","557209","0.0-5.0-1.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","8","558222","0.0-5.0-2.0","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","","",""
"image-keyboard-response","9","558412","0.0-5.0-0.1","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","10","559585","0.0-5.0-1.1","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","11","560595","0.0-5.0-2.1","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","","",""
"image-keyboard-response","12","560781","0.0-5.0-0.2","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","13","561950","0.0-5.0-1.2","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","14","562958","0.0-5.0-2.2","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","","",""
"image-keyboard-response","15","563149","0.0-5.0-0.3","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","16","564322","0.0-5.0-1.3","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","17","565331","0.0-5.0-2.3","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","","",""
"image-keyboard-response","18","565506","0.0-5.0-0.4","FL","ker7u0dhxt","1920","1080","0","1","0","5c87d68fe5bc060001ee8498","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
