"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","26","0.0-0.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","","","","","","","","","","","","","","",""
"fullscreen","1","2620","0.0-1.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","true","","","","","","","","","","","","","","",""
"external-html","2","38136","0.0-2.0-0.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","35459.71500000087","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","53608","0.0-2.0-1.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","15414.175000001705","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","95384","0.0-3.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","NA","","[{""page_index"":0,""viewing_time"":3878.0550000010408},{""page_index"":1,""viewing_time"":37895.989999997255}]","instructions","","","","","","","","","","",""
"resize","5","181849","0.0-4.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","","","","","","319","2.0253968253968253","","","","","","","",""
"image-keyboard-response","6","182026","0.0-5.0-0.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","7","183179","0.0-5.0-1.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","8","184181","0.0-5.0-2.0","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","","",""
"image-keyboard-response","9","184358","0.0-5.0-0.1","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","10","185509","0.0-5.0-1.1","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","11","186511","0.0-5.0-2.1","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","","",""
"image-keyboard-response","12","186687","0.0-5.0-0.2","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","13","187839","0.0-5.0-1.2","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","14","188841","0.0-5.0-2.2","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","","",""
"image-keyboard-response","15","189017","0.0-5.0-0.3","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","16","190170","0.0-5.0-1.3","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","17","191172","0.0-5.0-2.3","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","","",""
"image-keyboard-response","18","191349","0.0-5.0-0.4","FL","nsqbzarmrc","1920","1080","0","1","0","601e9d81606b8d337ab338e4","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
