"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","14","0.0-0.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","","","","","","","","","","","","","","",""
"fullscreen","1","7007","0.0-1.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","true","","","","","","","","","","","","","","",""
"external-html","2","23539","0.0-2.0-0.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","16370","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","42467","0.0-2.0-1.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","18841","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","59371","0.0-3.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","NA","","[{""page_index"":0,""viewing_time"":3291},{""page_index"":1,""viewing_time"":13610}]","instructions","","","","","","","","","","",""
"resize","5","135382","0.0-4.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","","","","","","380","2.4126984126984126","","","","","","","",""
"html-keyboard-response","6","136391","0.0-5.0-0.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","null","","","learningBlock1","","","","This is a tob:","null","","","","","",""
"image-keyboard-response","7","136731","0.0-5.0-1.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","8","137741","0.0-5.0-2.0","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","","",""
"html-keyboard-response","9","138751","0.0-5.0-0.1","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","10","139091","0.0-5.0-1.1","LF","sxbrz00bs5","1536","864","0","1","0","5ee7335388010f4c1b6bbdc2","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
