"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","26","0.0-0.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","","","","","","","","","","","","","","",""
"fullscreen","1","86562","0.0-1.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","true","","","","","","","","","","","","","","",""
"external-html","2","129112","0.0-2.0-0.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","42511.644999991404","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","133391","0.0-2.0-1.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","4238.084999989951","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","170423","0.0-3.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","NA","","[{""page_index"":0,""viewing_time"":5134.084999997867},{""page_index"":1,""viewing_time"":31895.695000013802}]","instructions","","","","","","","","","","",""
"resize","5","242791","0.0-4.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","","","","","","346","2.196825396825397","","","","","","","",""
"html-keyboard-response","6","243794","0.0-5.0-0.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","This is a tob:","null","","","","","",""
"image-keyboard-response","7","244121","0.0-5.0-1.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","8","245123","0.0-5.0-2.0","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","","",""
"html-keyboard-response","9","246124","0.0-5.0-0.1","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","10","246451","0.0-5.0-1.1","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","11","247453","0.0-5.0-2.1","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","","",""
"html-keyboard-response","12","248454","0.0-5.0-0.2","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","This is a bim:","null","","","","","",""
"image-keyboard-response","13","248781","0.0-5.0-1.2","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","14","249782","0.0-5.0-2.2","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","","",""
"html-keyboard-response","15","250784","0.0-5.0-0.3","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","This is a dep:","null","","","","","",""
"image-keyboard-response","16","251111","0.0-5.0-1.3","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","17","252113","0.0-5.0-2.3","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","","",""
"html-keyboard-response","18","253114","0.0-5.0-0.4","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","19","253441","0.0-5.0-1.4","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
"html-keyboard-response","20","254442","0.0-5.0-2.4","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","","",""
"html-keyboard-response","21","255443","0.0-5.0-0.5","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","This is a dep:","null","","","","","",""
"image-keyboard-response","22","255769","0.0-5.0-1.5","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","","","","","learning/Slide6.JPG","null","","","","","",""
"html-keyboard-response","23","256771","0.0-5.0-2.5","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","","",""
"html-keyboard-response","24","257772","0.0-5.0-0.6","LF","d1snyw7jw6","1920","1080","0","1","0","5fc13b486833fb13fef1720b","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
