"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","19","0.0-0.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","","","","","","","","","","","","","","",""
"fullscreen","1","4233","0.0-1.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","true","","","","","","","","","","","","","","",""
"external-html","2","7049","0.0-2.0-0.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","2777.009999990696","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","9956","0.0-2.0-1.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","2850.509999989299","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","57068","0.0-3.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","NA","","[{""page_index"":0,""viewing_time"":1287.7099999896018},{""page_index"":1,""viewing_time"":45818.95000000077}]","instructions","","","","","","","","","","",""
"resize","5","90183","0.0-4.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","","","","","","474","3.009523809523809","","","","","","","",""
"html-keyboard-response","6","91187","0.0-5.0-0.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","This is a tob:","null","","","","","",""
"image-keyboard-response","7","91516","0.0-5.0-1.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","8","92518","0.0-5.0-2.0","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","","",""
"html-keyboard-response","9","93519","0.0-5.0-0.1","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","10","93847","0.0-5.0-1.1","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","11","94848","0.0-5.0-2.1","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","","",""
"html-keyboard-response","12","95850","0.0-5.0-0.2","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","This is a bim:","null","","","","","",""
"image-keyboard-response","13","96178","0.0-5.0-1.2","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","14","97180","0.0-5.0-2.2","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","","",""
"html-keyboard-response","15","98181","0.0-5.0-0.3","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","This is a dep:","null","","","","","",""
"image-keyboard-response","16","98509","0.0-5.0-1.3","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","17","99510","0.0-5.0-2.3","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","","",""
"html-keyboard-response","18","100512","0.0-5.0-0.4","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","19","100839","0.0-5.0-1.4","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
"html-keyboard-response","20","101841","0.0-5.0-2.4","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","","",""
"html-keyboard-response","21","102842","0.0-5.0-0.5","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","This is a dep:","null","","","","","",""
"image-keyboard-response","22","103171","0.0-5.0-1.5","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","","","","","learning/Slide6.JPG","null","","","","","",""
"html-keyboard-response","23","104173","0.0-5.0-2.5","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","","",""
"html-keyboard-response","24","105175","0.0-5.0-0.6","LF","9y1b9uh65r","1920","1080","0","0","0","5daca079bf590700167f704d","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
