"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","110","0.0-0.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","","","","","","","","","","","","","","",""
"fullscreen","1","5330","0.0-1.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","true","","","","","","","","","","","","","","",""
"external-html","2","8611","0.0-2.0-0.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","3261.145000025863","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","12059","0.0-2.0-1.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","3428.7899999762885","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","14577","0.0-3.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","NA","","[{""page_index"":0,""viewing_time"":1389.7050000086892},{""page_index"":1,""viewing_time"":1123.185000004014}]","instructions","","","","","","","","","","",""
"resize","5","22425","0.0-4.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","","","","","","1034","6.565079365079366","","","","","","","",""
"html-keyboard-response","6","23438","0.0-5.0-0.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a tob:","null","","","","","",""
"image-keyboard-response","7","23780","0.0-5.0-1.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","8","24792","0.0-5.0-2.0","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","","",""
"html-keyboard-response","9","25795","0.0-5.0-0.1","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","10","26139","0.0-5.0-1.1","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","11","27147","0.0-5.0-2.1","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","","",""
"html-keyboard-response","12","28158","0.0-5.0-0.2","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a bim:","null","","","","","",""
"image-keyboard-response","13","28500","0.0-5.0-1.2","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","14","29503","0.0-5.0-2.2","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","","",""
"html-keyboard-response","15","30514","0.0-5.0-0.3","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a dep:","null","","","","","",""
"image-keyboard-response","16","30862","0.0-5.0-1.3","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","17","31867","0.0-5.0-2.3","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","","",""
"html-keyboard-response","18","32871","0.0-5.0-0.4","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","19","33218","0.0-5.0-1.4","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
"html-keyboard-response","20","34224","0.0-5.0-2.4","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","","",""
"html-keyboard-response","21","35231","0.0-5.0-0.5","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a dep:","null","","","","","",""
"image-keyboard-response","22","35576","0.0-5.0-1.5","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide6.JPG","null","","","","","",""
"html-keyboard-response","23","36594","0.0-5.0-2.5","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","","",""
"html-keyboard-response","24","37610","0.0-5.0-0.6","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a wug:","null","","","","","",""
"image-keyboard-response","25","37962","0.0-5.0-1.6","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide7.JPG","null","","","","","",""
"html-keyboard-response","26","38976","0.0-5.0-2.6","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","","",""
"html-keyboard-response","27","39991","0.0-5.0-0.7","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","This is a bim:","null","","","","","",""
"image-keyboard-response","28","40338","0.0-5.0-1.7","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","","","","","learning/Slide8.JPG","null","","","","","",""
"html-keyboard-response","29","41341","0.0-5.0-2.7","LF","cjpw7y8c1k","1366","768","0","1","0","5efdc12f5d69f622915a97a1","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","","",""
