"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","23","0.0-0.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","","","","","","","","","","","","","","",""
"fullscreen","1","61332","0.0-1.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","true","","","","","","","","","","","","","","",""
"external-html","2","82891","0.0-2.0-0.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","21355.610000000073","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","88964","0.0-2.0-1.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","5870.920000000304","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","114988","0.0-3.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","NA","","[{""page_index"":0,""viewing_time"":8242.835000000021},{""page_index"":1,""viewing_time"":17776.014999999912}]","instructions","","","","","","","","","","",""
"resize","5","204939","0.0-4.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","","","","","","352","2.234920634920635","","","","","","","",""
"image-keyboard-response","6","205118","0.0-5.0-0.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","7","206275","0.0-5.0-1.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","8","207291","0.0-5.0-2.0","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","","",""
"image-keyboard-response","9","207468","0.0-5.0-0.1","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","10","208622","0.0-5.0-1.1","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","11","209624","0.0-5.0-2.1","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","","",""
"image-keyboard-response","12","209801","0.0-5.0-0.2","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","13","210981","0.0-5.0-1.2","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","14","211984","0.0-5.0-2.2","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","","",""
"image-keyboard-response","15","212169","0.0-5.0-0.3","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","16","213324","0.0-5.0-1.3","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","17","214340","0.0-5.0-2.3","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","","",""
"image-keyboard-response","18","214518","0.0-5.0-0.4","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
"html-keyboard-response","19","215672","0.0-5.0-1.4","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","20","216676","0.0-5.0-2.4","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","","",""
"image-keyboard-response","21","216853","0.0-5.0-0.5","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide6.JPG","null","","","","","",""
"html-keyboard-response","22","218005","0.0-5.0-1.5","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","23","219010","0.0-5.0-2.5","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","","",""
"image-keyboard-response","24","219193","0.0-5.0-0.6","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide7.JPG","null","","","","","",""
"html-keyboard-response","25","220363","0.0-5.0-1.6","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","26","221377","0.0-5.0-2.6","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","","",""
"image-keyboard-response","27","221557","0.0-5.0-0.7","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide8.JPG","null","","","","","",""
"html-keyboard-response","28","222711","0.0-5.0-1.7","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","29","223726","0.0-5.0-2.7","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","","",""
"image-keyboard-response","30","223911","0.0-5.0-0.8","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide9.JPG","null","","","","","",""
"html-keyboard-response","31","225075","0.0-5.0-1.8","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","32","226078","0.0-5.0-2.8","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","","",""
"image-keyboard-response","33","226263","0.0-5.0-0.9","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide10.JPG","null","","","","","",""
"html-keyboard-response","34","227432","0.0-5.0-1.9","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","35","228434","0.0-5.0-2.9","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","","",""
"image-keyboard-response","36","228611","0.0-5.0-0.10","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide11.JPG","null","","","","","",""
"html-keyboard-response","37","229781","0.0-5.0-1.10","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","38","230797","0.0-5.0-2.10","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","","",""
"image-keyboard-response","39","230982","0.0-5.0-0.11","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide12.JPG","null","","","","","",""
"html-keyboard-response","40","232152","0.0-5.0-1.11","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","41","233169","0.0-5.0-2.11","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","","",""
"image-keyboard-response","42","233361","0.0-5.0-0.12","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide13.JPG","null","","","","","",""
"html-keyboard-response","43","234526","0.0-5.0-1.12","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","44","235528","0.0-5.0-2.12","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","","",""
"image-keyboard-response","45","235712","0.0-5.0-0.13","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide14.JPG","null","","","","","",""
"html-keyboard-response","46","236867","0.0-5.0-1.13","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","47","237877","0.0-5.0-2.13","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","","",""
"image-keyboard-response","48","238062","0.0-5.0-0.14","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide15.JPG","null","","","","","",""
"html-keyboard-response","49","239230","0.0-5.0-1.14","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","50","240246","0.0-5.0-2.14","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","","",""
"image-keyboard-response","51","240434","0.0-5.0-0.15","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide16.JPG","null","","","","","",""
"html-keyboard-response","52","241596","0.0-5.0-1.15","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","53","242619","0.0-5.0-2.15","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","","",""
"image-keyboard-response","54","242797","0.0-5.0-0.16","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide17.JPG","null","","","","","",""
"html-keyboard-response","55","243966","0.0-5.0-1.16","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","56","244977","0.0-5.0-2.16","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","","",""
"image-keyboard-response","57","245162","0.0-5.0-0.17","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","","","","","learning/Slide18.JPG","null","","","","","",""
"html-keyboard-response","58","246326","0.0-5.0-1.17","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","59","247330","0.0-5.0-2.17","FL","x8lrz32hbv","1920","1080","0","1","0","5e7b899a6b890e0659e5e82e","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide18.JPG","That was a tob.","","",""
