"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","16","0.0-0.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","","","","","","","","","","","","","","",""
"fullscreen","1","8475","0.0-1.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","true","","","","","","","","","","","","","","",""
"external-html","2","44093","0.0-2.0-0.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","35571.83000000032","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","60683","0.0-2.0-1.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","16544.630000000325","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","83261","0.0-3.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","NA","","[{""page_index"":0,""viewing_time"":6663.555000000088},{""page_index"":1,""viewing_time"":15909.879999999699}]","instructions","","","","","","","","","","",""
"resize","5","129609","0.0-4.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","","","","","","382","2.425396825396825","","","","","","","",""
"image-keyboard-response","6","129792","0.0-5.0-0.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","7","130949","0.0-5.0-1.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","8","131962","0.0-5.0-2.0","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","","",""
"image-keyboard-response","9","132150","0.0-5.0-0.1","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","10","133308","0.0-5.0-1.1","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","11","134309","0.0-5.0-2.1","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","","",""
"image-keyboard-response","12","134495","0.0-5.0-0.2","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","13","135650","0.0-5.0-1.2","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","14","136652","0.0-5.0-2.2","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","","",""
"image-keyboard-response","15","136829","0.0-5.0-0.3","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","16","138010","0.0-5.0-1.3","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","17","139026","0.0-5.0-2.3","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","","",""
"image-keyboard-response","18","139213","0.0-5.0-0.4","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
"html-keyboard-response","19","140386","0.0-5.0-1.4","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","20","141401","0.0-5.0-2.4","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","","",""
"image-keyboard-response","21","141588","0.0-5.0-0.5","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","","","","","learning/Slide6.JPG","null","","","","","",""
"html-keyboard-response","22","142761","0.0-5.0-1.5","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","23","143777","0.0-5.0-2.5","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","","",""
"image-keyboard-response","24","143961","0.0-5.0-0.6","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","","","","","learning/Slide7.JPG","null","","","","","",""
"html-keyboard-response","25","145135","0.0-5.0-1.6","FL","zq33udleq5","1536","864","0","1","0","5ec527351fc19046fdd6cd59","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
