resp,category,fribbleSelected,task,subjID,trial,labelPresented,frequency,rt,acc,type_of_resp,expeType
11425,1,dep,2AFC - 4 pictures,3424063,56,dep,low,2958,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,56,dep,low,1245.99999999919,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3394859,56,dep,low,3188.48499999149,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3424063,48,dep,low,2762,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,48,dep,low,2244.0400000196,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3421453,48,dep,low,1623.50500000321,1,match,pilot1
11425,1,dep,2AFC - 4 pictures,3481518,56,dep,low,2414.20999998809,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3424063,45,dep,high,2589,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3475213,45,dep,high,2721.89499996603,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3430836,45,dep,high,2012.27499999982,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3421453,45,dep,high,1985.78000000271,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3394859,45,dep,high,2627.08000000566,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3467073,45,dep,high,1998.88999999987,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3473048,45,dep,high,2467.48000000115,1,match,pilot1
11475,1,dep,2AFC - 4 pictures,3481518,45,dep,high,2079.2299999739,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3481518,3,dep,high,1624.22500000685,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3424063,3,dep,high,2372.99999999999,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3473048,3,dep,high,1959.13000000019,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3475213,3,dep,high,1919.72000012174,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3467073,3,dep,high,1965.55999999964,1,match,pilot1
11775,1,dep,2AFC - 4 pictures,3394859,3,dep,high,2275.02000000095,1,match,pilot1
11925,1,dep,2AFC - 4 pictures,3475213,20,tob,low,1791.33999999613,0,mismatch-type1,pilot1
11925,1,dep,2AFC - 4 pictures,3467073,20,tob,low,1336.22999999988,0,mismatch-type1,pilot1
11925,1,dep,2AFC - 4 pictures,3473048,20,tob,low,2326.85499999934,0,mismatch-type1,pilot1
12075,1,dep,2AFC - 4 pictures,3475213,28,tob,high,2489.62999996729,0,mismatch-type2,pilot1
12225,1,dep,2AFC - 4 pictures,3473048,10,tob,low,2345.97500000018,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3467073,10,tob,low,1610.09999999987,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3481518,10,tob,low,1177.48999997275,0,mismatch-type1,pilot1
12225,1,dep,2AFC - 4 pictures,3491839,10,tob,low,1845.81499999967,0,mismatch-type1,pilot1
12275,1,dep,2AFC - 4 pictures,3491839,49,wug,high,1778.21500000026,0,mismatch-type1,pilot1
12375,1,dep,2AFC - 4 pictures,3473048,9,dep,high,2254.51499999963,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3475213,9,dep,high,1954.90500004962,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3481518,9,dep,high,1824.17500001611,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3424063,9,dep,high,1929,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3430836,9,dep,high,2875.42499999994,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3394859,9,dep,high,2230.50000000512,1,match,pilot1
12375,1,dep,2AFC - 4 pictures,3467073,9,dep,high,2967.79500000002,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3475213,39,dep,low,1651.94000001065,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3467073,39,dep,low,2283.18500000023,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3424063,39,dep,low,1808,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3421453,39,dep,low,1269.65999999811,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3481518,39,dep,low,2213.42999997432,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3430836,39,dep,low,2903.73999999999,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3491839,39,dep,low,1789.51500000042,1,match,pilot1
12425,1,dep,2AFC - 4 pictures,3491839,51,bim,control_low,942.060000000318,0,errorControl,pilot1
12475,1,dep,2AFC - 4 pictures,3430836,17,dep,high,2229.74999999997,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3473048,17,dep,high,1403.47999999995,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3424063,17,dep,high,1400,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3467073,17,dep,high,2267.75499999984,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3394859,17,dep,high,1805.03499999759,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3421453,17,dep,high,2599.2849999966,1,match,pilot1
12475,1,dep,2AFC - 4 pictures,3481518,17,dep,high,1450.47499999055,1,match,pilot1
