Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,ShowProgressBar,frequency,trialType,list
1,1617182580696,31/03/2021 09:23:00,1617182580466,1,31/03/2021 10:23:00,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1617182594400,31/03/2021 09:23:14,1617182594208,1,31/03/2021 10:23:14,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,1,1,1,Screen 1,advancementZone,continue_button,13277.610000000095,,,,,0,1,0,,,,,,instructions,,,,,,1
3,1617182607674,31/03/2021 09:23:27,1617182607515,1,31/03/2021 10:23:27,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,1,1,2,Screen 2,advancementZone,continue_button,13295.449999999846,,,,,0,1,0,,,,,,instructions,,,,,,1
4,1617182608990,31/03/2021 09:23:28,1617182608805,1,31/03/2021 10:23:28,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,1,1,3,Screen 3,advancementZone,continue_button,1279.8650000002017,,,,,0,1,0,,,,,,instructions,,,,,,1
5,1617182609861,31/03/2021 09:23:29,1617182609501,1,31/03/2021 10:23:29,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,1,1,4,Screen 4,advancementZone,continue_button,685.4650000000256,,,,,0,1,0,,,,,,instructions,,,,,,1
6,1617182610709,31/03/2021 09:23:30,1617182610590,1,31/03/2021 10:23:30,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,1,1,5,Screen 5,advancementZone,continue_button,1078.544999999849,,,,,0,1,0,,,,,,instructions,,,,,,1
7,1617182611977,31/03/2021 09:23:31,1617182611848,1,31/03/2021 10:23:31,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,1,1,6,Screen 6,advancementZone,continue_button,1248.0949999999211,,,,,0,1,0,,,,,,instructions,,,,,,1
8,1617182615082,31/03/2021 09:23:35,1617182614835,1,31/03/2021 10:23:34,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,1,1,7,Screen 7,Zone1,timelimit_screen,3000.640999999996,,,,,0,1,0,,,1,,,instructions,,,,,,1
9,1617182615394,31/03/2021 09:23:35,1617182615283,1,31/03/2021 10:23:35,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,43,1,1,Screen 1,fixation,fixation,450.00900000000547,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
10,1617182615551,31/03/2021 09:23:35,1617182615306,1,31/03/2021 10:23:35,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,43,1,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
11,1617182632089,31/03/2021 09:23:52,1617182631968,1,31/03/2021 10:23:51,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,43,1,2,Screen 2,slider,response_slider_endValue,16661.549999999814,,,0,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
12,1617182632201,31/03/2021 09:23:52,1617182631970,1,31/03/2021 10:23:51,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,43,1,2,Screen 2,continueButton,continue_button,16661.549999999814,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> tob </p>",1,l,match,1
13,1617182632514,31/03/2021 09:23:52,1617182632401,1,31/03/2021 10:23:52,45245,6,task-jyd3,,11503247,BLIND,3502650,,complete,,60643883d32706cb15a5838c,computer,Desktop or Laptop,Mac OS 11.1.0,Chrome 89.0.4389.90,1440x900,1440x821,,contingency,3,listA,listA,listA,44,2,1,Screen 1,fixation,fixation,450.4050000000061,,,,,0,1,0,,,,,1,task,,"<p style=""font-size: 500%;""> wug </p>",1,l,match,1
