Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-gazk,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fribbleID,labelPresented,ShowProgressBar,frequency,trialType,list
12,1617182608720,31/03/2021 09:23:28,1617182607746,1,31/03/2021 10:23:27,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,42,1,2,Screen 2,continueButton,continue_button,6878.369999999908,,,,,0,1,0,,,,,1,task,10625.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,mismatch-type1,3
13,1617182609033,31/03/2021 09:23:29,1617182608192,1,31/03/2021 10:23:28,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,16,2,1,Screen 1,fixation,fixation,449.98199999999633,,,,,0,1,0,,,,,1,task,32575.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
14,1617182609193,31/03/2021 09:23:29,1617182608213,1,31/03/2021 10:23:28,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,16,2,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,32575.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
15,1617182612321,31/03/2021 09:23:32,1617182611486,1,31/03/2021 10:23:31,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,16,2,2,Screen 2,slider,response_slider_endValue,3273.105000000214,,,-100,,0,1,0,,,,,1,task,32575.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
16,1617182612399,31/03/2021 09:23:32,1617182611488,1,31/03/2021 10:23:31,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,16,2,2,Screen 2,continueButton,continue_button,3273.105000000214,,,,,0,1,0,,,,,1,task,32575.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
17,1617182612764,31/03/2021 09:23:32,1617182611928,1,31/03/2021 10:23:31,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,5,3,1,Screen 1,fixation,fixation,449.98199999999633,,,,,0,1,0,,,,,1,task,30225.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
18,1617182612844,31/03/2021 09:23:32,1617182611949,1,31/03/2021 10:23:31,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,5,3,2,Screen 2,slider,response_slider_initialValue,0,,,0,,0,1,0,,,,,1,task,30225.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
19,1617182619681,31/03/2021 09:23:39,1617182618833,1,31/03/2021 10:23:38,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,5,3,2,Screen 2,slider,response_slider_endValue,6883.239999999656,,,100,,0,1,0,,,,,1,task,30225.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
20,1617182619760,31/03/2021 09:23:39,1617182618835,1,31/03/2021 10:23:38,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,5,3,2,Screen 2,continueButton,continue_button,6883.239999999656,,,,,0,1,0,,,,,1,task,30225.jpg,"<p style=""font-size: 500%;""> tob </p>",1,l,match,3
21,1617182620120,31/03/2021 09:23:40,1617182619278,1,31/03/2021 10:23:39,45245,6,task-tiwi,,11503215,BLIND,3502663,,complete,,606439db325d6e64917f7cee,computer,Desktop or Laptop,Mac OS 11.2.3,Chrome 89.0.4389.114,1440x900,1440x821,,contingency,3,listC,listC,listC,18,4,1,Screen 1,fixation,fixation,449.9820000000036,,,,,0,1,0,,,,,1,task,31075.jpg,"<p style=""font-size: 500%;""> dep </p>",1,h,mismatch-type1,3
