N_subj N_obs dataParamsN alpha beta1 beta2 beta3 run model_grand_mean model_beta1 model_beta2 model_beta3 model_grand_mean_se model_beta1_se model_beta2_se model_beta3_se model_learninginLow_effect model_learninginLow_se singular conv_error CoefficientTested H1sd BF BF_cat pvalue
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N grandmean 1.60993490494602 1.16471763241874e+71 9 2.48434824522151e-74
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N grandmean 0.80496745247301 4.96016766785558e+70 9 2.48434824522151e-74
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N maineffectFreq 1.70245936802782 3.89155529731439e+49 9 1.05876941247409e-52
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N maineffectFreq 0.851229684013909 1.7418801777215e+49 9 1.05876941247409e-52
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N maineffectlearning 0.662575780505779 6311070.70552413 9 3.94044567050418e-09
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N maineffectlearning 0.33128789025289 5991527.81959118 9 3.94044567050418e-09
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N interaction 1.02645921376387 174338.507071414 9 1.9091476108801e-07
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N interaction 0.513229606881937 136781.138920793 9 1.9091476108801e-07
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N LearninginLow 1.17580521124627 5.71631698878764e+20 9 1.58066698076656e-23
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 1 1.64516219440203 -1.71549887700617 0.477257783218157 0.844406893828399 0.0901952701432781 0.112279707560355 0.0810742658224341 0.162137342886335 0.899462615243949 0.0899788152452317 N N LearninginLow 0.587902605623133 4.83130484156451e+20 9 1.58066698076656e-23
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 2 1.71203809168302 -1.64928127832409 0.386911864650801 1.25736077064624 0.0835145277644408 0.13881943382554 0.0816752410470849 0.163342783113514 1.01559090597281 0.0917809365867076 N N grandmean 1.60993490494602 1.05856849459402e+90 9 2.15809369687918e-93
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 2 1.71203809168302 -1.64928127832409 0.386911864650801 1.25736077064624 0.0835145277644408 0.13881943382554 0.0816752410470849 0.163342783113514 1.01559090597281 0.0917809365867076 N N grandmean 0.80496745247301 3.95473305080699e+89 9 2.15809369687918e-93
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 2 1.71203809168302 -1.64928127832409 0.386911864650801 1.25736077064624 0.0835145277644408 0.13881943382554 0.0816752410470849 0.163342783113514 1.01559090597281 0.0917809365867076 N N maineffectFreq 1.70245936802782 4.55566520868975e+29 9 1.48994811908685e-32
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 2 1.71203809168302 -1.64928127832409 0.386911864650801 1.25736077064624 0.0835145277644408 0.13881943382554 0.0816752410470849 0.163342783113514 1.01559090597281 0.0917809365867076 N N maineffectFreq 0.851229684013909 2.31053703592743e+29 9 1.48994811908685e-32
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 2 1.71203809168302 -1.64928127832409 0.386911864650801 1.25736077064624 0.0835145277644408 0.13881943382554 0.0816752410470849 0.163342783113514 1.01559090597281 0.0917809365867076 N N maineffectlearning 0.662575780505779 15472.1564880668 9 2.16692431968117e-06
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 2 1.71203809168302 -1.64928127832409 0.386911864650801 1.25736077064624 0.0835145277644408 0.13881943382554 0.0816752410470849 0.163342783113514 1.01559090597281 0.0917809365867076 N N maineffectlearning 0.33128789025289 18826.2701786007 9 2.16692431968117e-06
120 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 1.02645921376387 2 1.71203809168302 -1.64928127832409 0.386911864650801 1.25736077064624 0.0835145277644408 0.13881943382554 0.0816752410470849 0.163342783113514 1.01559090597281 0.0917809365867076 N N interaction 1.02645921376387 1115196482930.66 9 1.38556867141932e-14
