N_subj N_obs dataParamsN alpha beta1 beta2 beta3 run model_grand_mean model_beta1 model_beta2 model_beta3 model_grand_mean_se model_beta1_se model_beta2_se model_beta3_se model_learninginLow_effect model_learninginLow_se singular conv_error CoefficientTested H1sd BF BF_cat pvalue
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N grandmean 1.60993490494602 129627203045118 9 1.05918134382426e-16
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N grandmean 0.80496745247301 48123058177042.7 9 1.05918134382426e-16
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N maineffectFreq 1.70245936802782 514928.891809689 9 6.20336044134131e-08
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N maineffectFreq 0.851229684013909 262218.184499422 9 6.20336044134131e-08
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N maineffectlearning 0.662575780505779 2.28517092942724 5 0.081815508887113
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N maineffectlearning 0.33128789025289 2.93464933364204 5 0.081815508887113
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N interaction 1.02645921376387 66.373598199271 8 0.00122830442373799
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N interaction 0.513229606881937 28.5614189904001 7 0.00122830442373799
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N LearninginLow 1.17580521124627 10976.769335219 9 1.56427914479133e-05
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 1 1.76652096699616 -1.73605472734368 0.367078880276581 1.36354089401552 0.21288628498107 0.320729111610711 0.210934829053363 0.421858328151846 1.04884932728434 0.227216807379002 N N LearninginLow 0.587902605623133 7664.33902221814 9 1.56427914479133e-05
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 2 1.21376877409385 -2.17178283102165 0.734744333424401 0.203631893197941 0.179230985727113 0.250354890458977 0.189994693519567 0.380002912084634 0.836560280023371 0.20553266600851 Y N grandmean 1.60993490494602 1516418651.23439 9 1.26933132309171e-11
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 2 1.21376877409385 -2.17178283102165 0.734744333424401 0.203631893197941 0.179230985727113 0.250354890458977 0.189994693519567 0.380002912084634 0.836560280023371 0.20553266600851 Y N grandmean 0.80496745247301 1335196785.38032 9 1.26933132309171e-11
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 2 1.21376877409385 -2.17178283102165 0.734744333424401 0.203631893197941 0.179230985727113 0.250354890458977 0.189994693519567 0.380002912084634 0.836560280023371 0.20553266600851 Y N maineffectFreq 1.70245936802782 2870557818680350 9 4.14216454336263e-18
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 2 1.21376877409385 -2.17178283102165 0.734744333424401 0.203631893197941 0.179230985727113 0.250354890458977 0.189994693519567 0.380002912084634 0.836560280023371 0.20553266600851 Y N maineffectFreq 0.851229684013909 617392261969619 9 4.14216454336263e-18
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 2 1.21376877409385 -2.17178283102165 0.734744333424401 0.203631893197941 0.179230985727113 0.250354890458977 0.189994693519567 0.380002912084634 0.836560280023371 0.20553266600851 Y N maineffectlearning 0.662575780505779 553.248483276043 9 0.000110099607081021
20 48 1 1.60993490494602 -1.70245936802782 0.662575780505779 0.513229606881937 2 1.21376877409385 -2.17178283102165 0.734744333424401 0.203631893197941 0.179230985727113 0.250354890458977 0.189994693519567 0.380002912084634 0.836560280023371 0.20553266600851 Y N maineffectlearning 0.33128789025289 276.834228053395 9 0.000110099607081021
