task,subjID,trial,resp,labelPresented,frequency,acc
2AFC Generalization,3568637,31,wug,tob,low,0
2AFC Generalization,3568637,32,wug,wug,high,1
2AFC Generalization,3568637,33,tob,wug,low,0
2AFC Generalization,3568637,34,NA,wug,high,NA
2AFC Generalization,3568637,35,wug,wug,high,1
2AFC Generalization,3568637,36,wug,wug,low,1
2AFC Generalization,3568637,37,tob,wug,high,0
2AFC Generalization,3568637,38,tob,wug,high,0
2AFC Generalization,3568637,39,wug,tob,high,0
2AFC Generalization,3568637,40,wug,tob,high,0
2AFC Generalization,3568681,1,wug,tob,high,0
2AFC Generalization,3568681,2,wug,tob,low,0
2AFC Generalization,3568681,3,wug,wug,low,1
2AFC Generalization,3568681,4,tob,tob,high,1
2AFC Generalization,3568681,5,tob,tob,high,1
2AFC Generalization,3568681,6,wug,tob,high,0
2AFC Generalization,3568681,7,wug,wug,high,1
2AFC Generalization,3568681,8,wug,wug,high,1
2AFC Generalization,3568681,9,wug,wug,high,1
2AFC Generalization,3568681,10,wug,wug,high,1
2AFC Generalization,3568681,11,wug,wug,low,1
2AFC Generalization,3568681,12,wug,tob,low,0
2AFC Generalization,3568681,13,tob,wug,low,0
2AFC Generalization,3568681,14,tob,wug,low,0
2AFC Generalization,3568681,15,tob,tob,high,1
2AFC Generalization,3568681,16,tob,tob,low,1
2AFC Generalization,3568681,17,tob,wug,high,0
2AFC Generalization,3568681,18,tob,tob,high,1
2AFC Generalization,3568681,19,tob,wug,low,0
2AFC Generalization,3568681,20,tob,tob,high,1
2AFC Generalization,3568681,21,tob,wug,high,0
2AFC Generalization,3568681,22,tob,tob,high,1
2AFC Generalization,3568681,23,tob,wug,low,0
2AFC Generalization,3568681,24,tob,tob,low,1
2AFC Generalization,3568681,25,tob,tob,low,1
2AFC Generalization,3568681,26,tob,tob,high,1
2AFC Generalization,3568681,27,tob,tob,low,1
2AFC Generalization,3568681,28,tob,wug,low,0
2AFC Generalization,3568681,29,wug,tob,low,0
2AFC Generalization,3568681,30,wug,wug,low,1
2AFC Generalization,3568681,31,wug,wug,low,1
2AFC Generalization,3568681,32,tob,wug,high,0
2AFC Generalization,3568681,33,tob,tob,low,1
2AFC Generalization,3568681,34,tob,tob,low,1
2AFC Generalization,3568681,35,tob,wug,low,0
2AFC Generalization,3568681,36,tob,wug,high,0
2AFC Generalization,3568681,37,tob,tob,high,1
2AFC Generalization,3568681,38,wug,tob,low,0
2AFC Generalization,3568681,39,wug,wug,high,1
2AFC Generalization,3568681,40,wug,wug,high,1
2AFC Generalization,3468157,1,wug,wug,high,1
2AFC Generalization,3468157,2,wug,tob,low,0
2AFC Generalization,3468157,3,tob,tob,high,1
2AFC Generalization,3468157,4,wug,wug,low,1
2AFC Generalization,3468157,5,tob,tob,high,1
2AFC Generalization,3468157,6,tob,tob,high,1
2AFC Generalization,3468157,7,tob,tob,high,1
2AFC Generalization,3468157,8,NA,wug,low,NA
2AFC Generalization,3468157,9,tob,tob,high,1
2AFC Generalization,3468157,10,wug,tob,low,0
2AFC Generalization,3468157,11,wug,wug,high,1
2AFC Generalization,3468157,12,wug,wug,high,1
2AFC Generalization,3468157,13,tob,wug,low,0
2AFC Generalization,3468157,14,tob,tob,high,1
2AFC Generalization,3468157,15,wug,wug,low,1
2AFC Generalization,3468157,16,tob,wug,low,0
2AFC Generalization,3468157,17,NA,tob,low,NA
2AFC Generalization,3468157,18,NA,wug,low,NA
2AFC Generalization,3468157,19,wug,tob,low,0
2AFC Generalization,3468157,20,wug,tob,low,0
2AFC Generalization,3468157,21,tob,tob,high,1
2AFC Generalization,3468157,22,wug,wug,high,1
2AFC Generalization,3468157,23,NA,wug,low,NA
2AFC Generalization,3468157,24,wug,wug,high,1
2AFC Generalization,3468157,25,tob,tob,high,1
2AFC Generalization,3468157,26,NA,tob,low,NA
2AFC Generalization,3468157,27,tob,wug,low,0
2AFC Generalization,3468157,28,tob,tob,high,1
2AFC Generalization,3468157,29,wug,wug,high,1
2AFC Generalization,3468157,30,tob,tob,low,1
2AFC Generalization,3468157,31,tob,tob,high,1
2AFC Generalization,3468157,32,tob,wug,low,0
2AFC Generalization,3468157,33,tob,wug,low,0
2AFC Generalization,3468157,34,wug,wug,high,1
2AFC Generalization,3468157,35,wug,wug,high,1
2AFC Generalization,3468157,36,wug,tob,low,0
2AFC Generalization,3468157,37,wug,wug,high,1
2AFC Generalization,3468157,38,wug,tob,low,0
2AFC Generalization,3468157,39,wug,tob,low,0
2AFC Generalization,3468157,40,wug,wug,high,1
2AFC Generalization,3496435,1,NA,tob,low,NA
2AFC Generalization,3496435,2,wug,wug,low,1
2AFC Generalization,3496435,3,NA,tob,high,NA
2AFC Generalization,3496435,4,wug,tob,low,0
2AFC Generalization,3496435,5,wug,tob,high,0
2AFC Generalization,3496435,6,tob,wug,high,0
2AFC Generalization,3496435,7,tob,wug,high,0
2AFC Generalization,3496435,8,wug,tob,low,0
2AFC Generalization,3496435,9,wug,wug,high,1
2AFC Generalization,3496435,10,tob,tob,high,1
2AFC Generalization,3496435,11,tob,tob,high,1
2AFC Generalization,3496435,12,wug,wug,high,1
2AFC Generalization,3496435,13,wug,wug,high,1
2AFC Generalization,3496435,14,wug,wug,low,1
2AFC Generalization,3496435,15,tob,wug,high,0
2AFC Generalization,3496435,16,wug,wug,low,1
2AFC Generalization,3496435,17,tob,tob,low,1
2AFC Generalization,3496435,18,NA,wug,low,NA
2AFC Generalization,3496435,19,wug,tob,low,0
2AFC Generalization,3496435,20,wug,wug,low,1
2AFC Generalization,3496435,21,tob,wug,low,0
2AFC Generalization,3496435,22,tob,wug,low,0
2AFC Generalization,3496435,23,tob,tob,low,1
2AFC Generalization,3496435,24,wug,tob,high,0
2AFC Generalization,3496435,25,tob,tob,high,1
2AFC Generalization,3496435,26,tob,wug,high,0
2AFC Generalization,3496435,27,wug,wug,high,1
2AFC Generalization,3496435,28,wug,tob,low,0
2AFC Generalization,3496435,29,tob,tob,high,1
2AFC Generalization,3496435,30,wug,tob,high,0
2AFC Generalization,3496435,31,tob,wug,high,0
2AFC Generalization,3496435,32,tob,tob,low,1
2AFC Generalization,3496435,33,wug,wug,low,1
2AFC Generalization,3496435,34,wug,wug,high,1
2AFC Generalization,3496435,35,tob,tob,high,1
2AFC Generalization,3496435,36,tob,wug,low,0
2AFC Generalization,3496435,37,wug,tob,low,0
2AFC Generalization,3496435,38,wug,wug,low,1
2AFC Generalization,3496435,39,tob,tob,high,1
2AFC Generalization,3496435,40,wug,tob,low,0
2AFC Generalization,3510628,1,wug,tob,low,0
2AFC Generalization,3510628,2,tob,wug,low,0
2AFC Generalization,3510628,3,tob,tob,high,1
2AFC Generalization,3510628,4,wug,wug,high,1
2AFC Generalization,3510628,5,wug,tob,low,0
2AFC Generalization,3510628,6,wug,wug,high,1
2AFC Generalization,3510628,7,wug,wug,high,1
2AFC Generalization,3510628,8,tob,tob,high,1
2AFC Generalization,3510628,9,wug,tob,low,0
2AFC Generalization,3510628,10,tob,wug,low,0
2AFC Generalization,3510628,11,wug,tob,low,0
2AFC Generalization,3510628,12,wug,wug,low,1
2AFC Generalization,3510628,13,tob,tob,high,1
2AFC Generalization,3510628,14,tob,tob,high,1
2AFC Generalization,3510628,15,wug,tob,low,0
2AFC Generalization,3510628,16,wug,tob,low,0
2AFC Generalization,3510628,17,tob,tob,high,1
2AFC Generalization,3510628,18,NA,wug,high,NA
2AFC Generalization,3510628,19,wug,tob,low,0
2AFC Generalization,3510628,20,wug,wug,high,1
2AFC Generalization,3510628,21,tob,wug,low,0
2AFC Generalization,3510628,22,tob,wug,low,0
2AFC Generalization,3510628,23,tob,tob,high,1
2AFC Generalization,3510628,24,tob,tob,high,1
2AFC Generalization,3510628,25,tob,wug,low,0
2AFC Generalization,3510628,26,wug,wug,high,1
2AFC Generalization,3510628,27,tob,tob,high,1
2AFC Generalization,3510628,28,wug,wug,high,1
2AFC Generalization,3510628,29,tob,wug,low,0
2AFC Generalization,3510628,30,wug,tob,low,0
2AFC Generalization,3510628,31,tob,wug,low,0
2AFC Generalization,3510628,32,wug,wug,high,1
2AFC Generalization,3510628,33,tob,wug,low,0
2AFC Generalization,3510628,34,tob,tob,high,1
2AFC Generalization,3510628,35,wug,wug,high,1
2AFC Generalization,3510628,36,wug,tob,low,0
2AFC Generalization,3510628,37,wug,tob,low,0
2AFC Generalization,3510628,38,tob,tob,high,1
2AFC Generalization,3510628,39,tob,wug,low,0
2AFC Generalization,3510628,40,wug,wug,high,1
