task,subjID,trial,resp,labelPresented,frequency,trialType
Contingency judgement test ,3568681,24,0,wug,high,mismatch
Contingency judgement test ,3568681,25,-4,tob,high,mismatch
Contingency judgement test ,3568681,26,0,tob,high,match
Contingency judgement test ,3568681,27,0,wug,low,mismatch
Contingency judgement test ,3568681,28,0,tob,low,match
Contingency judgement test ,3568681,29,0,tob,low,mismatch
Contingency judgement test ,3568681,30,-2,wug,low,mismatch
Contingency judgement test ,3568681,31,0,tob,low,match
Contingency judgement test ,3568681,32,0,tob,low,mismatch
Contingency judgement test ,3568681,33,0,wug,low,match
Contingency judgement test ,3568681,34,0,wug,high,mismatch
Contingency judgement test ,3568681,35,-2,wug,low,match
Contingency judgement test ,3568681,36,-8,wug,high,match
Contingency judgement test ,3568681,37,-4,wug,high,match
Contingency judgement test ,3568681,38,0,tob,high,mismatch
Contingency judgement test ,3568681,39,0,tob,high,match
Contingency judgement test ,3568681,40,0,tob,low,mismatch
Contingency judgement test ,3568694,1,5,wug,low,match
Contingency judgement test ,3568694,2,9,tob,high,mismatch
Contingency judgement test ,3568694,3,-7,tob,low,mismatch
Contingency judgement test ,3568694,4,-6,wug,high,match
Contingency judgement test ,3568694,5,4,wug,high,match
Contingency judgement test ,3568694,6,-8,wug,low,mismatch
Contingency judgement test ,3568694,7,-10,tob,low,mismatch
Contingency judgement test ,3568694,8,6,wug,high,mismatch
Contingency judgement test ,3568694,9,7,tob,low,match
Contingency judgement test ,3568694,10,-9,wug,high,match
Contingency judgement test ,3568694,11,9,tob,high,mismatch
Contingency judgement test ,3568694,12,9,tob,low,match
Contingency judgement test ,3568694,13,10,wug,high,mismatch
Contingency judgement test ,3568694,14,-6,tob,high,match
Contingency judgement test ,3568694,15,-7,wug,low,mismatch
Contingency judgement test ,3568694,16,10,wug,low,match
Contingency judgement test ,3568694,17,-8,tob,high,match
Contingency judgement test ,3568694,18,9,tob,low,match
Contingency judgement test ,3568694,19,-8,tob,high,match
Contingency judgement test ,3568694,20,-8,wug,low,mismatch
Contingency judgement test ,3568694,21,8,tob,high,mismatch
Contingency judgement test ,3568694,22,9,wug,high,mismatch
Contingency judgement test ,3568694,23,6,tob,high,mismatch
Contingency judgement test ,3568694,24,9,wug,low,match
Contingency judgement test ,3568694,25,-8,wug,high,match
Contingency judgement test ,3568694,26,9,wug,low,match
Contingency judgement test ,3568694,27,-8,tob,low,mismatch
Contingency judgement test ,3568694,28,-9,tob,low,mismatch
Contingency judgement test ,3568694,29,8,tob,low,match
Contingency judgement test ,3568694,30,8,tob,low,match
Contingency judgement test ,3568694,31,-8,wug,high,match
Contingency judgement test ,3568694,32,-10,tob,high,match
Contingency judgement test ,3568694,33,-8,wug,low,mismatch
Contingency judgement test ,3568694,34,6,wug,high,mismatch
Contingency judgement test ,3568694,35,6,wug,high,mismatch
Contingency judgement test ,3568694,36,-8,tob,high,mismatch
Contingency judgement test ,3568694,37,-8,wug,low,mismatch
Contingency judgement test ,3568694,38,9,wug,low,match
Contingency judgement test ,3568694,39,-8,tob,low,mismatch
Contingency judgement test ,3568694,40,-9,tob,high,match
Contingency judgement test ,3468157,1,3,wug,low,mismatch
Contingency judgement test ,3468157,2,7,tob,high,match
Contingency judgement test ,3468157,3,3,tob,low,match
Contingency judgement test ,3468157,4,-2,wug,low,match
Contingency judgement test ,3468157,5,-1,wug,low,mismatch
Contingency judgement test ,3468157,6,7,tob,high,match
Contingency judgement test ,3468157,7,-9,wug,high,mismatch
Contingency judgement test ,3468157,8,8,wug,high,match
Contingency judgement test ,3468157,9,-6,tob,low,match
Contingency judgement test ,3468157,10,3,wug,low,mismatch
Contingency judgement test ,3468157,11,7,wug,high,match
Contingency judgement test ,3468157,12,-5,wug,low,match
Contingency judgement test ,3468157,13,5,wug,low,mismatch
Contingency judgement test ,3468157,14,-7,tob,high,mismatch
Contingency judgement test ,3468157,15,-5,wug,low,match
Contingency judgement test ,3468157,16,-9,wug,high,mismatch
Contingency judgement test ,3468157,17,8,wug,high,match
Contingency judgement test ,3468157,18,-8,tob,high,mismatch
Contingency judgement test ,3468157,19,-7,tob,low,match
Contingency judgement test ,3468157,20,-8,tob,high,mismatch
Contingency judgement test ,3468157,21,-10,wug,high,mismatch
Contingency judgement test ,3468157,22,6,tob,low,mismatch
Contingency judgement test ,3468157,23,8,tob,high,match
Contingency judgement test ,3468157,24,-7,tob,low,match
Contingency judgement test ,3468157,25,-8,tob,low,match
Contingency judgement test ,3468157,26,8,wug,high,match
Contingency judgement test ,3468157,27,8,tob,high,match
Contingency judgement test ,3468157,28,-8,tob,high,mismatch
Contingency judgement test ,3468157,29,-8,tob,high,mismatch
Contingency judgement test ,3468157,30,5,wug,low,mismatch
Contingency judgement test ,3468157,31,9,tob,high,match
Contingency judgement test ,3468157,32,4,tob,low,mismatch
Contingency judgement test ,3468157,33,-4,wug,low,match
Contingency judgement test ,3468157,34,-3,wug,low,match
Contingency judgement test ,3468157,35,3,tob,low,mismatch
Contingency judgement test ,3468157,36,3,tob,low,mismatch
Contingency judgement test ,3468157,37,9,wug,high,match
Contingency judgement test ,3468157,38,3,tob,low,mismatch
Contingency judgement test ,3468157,39,-7,wug,high,mismatch
Contingency judgement test ,3468157,40,-9,wug,high,mismatch
Contingency judgement test ,3496435,1,-6,tob,low,mismatch
Contingency judgement test ,3496435,2,5,wug,low,match
Contingency judgement test ,3496435,3,3,tob,high,mismatch
Contingency judgement test ,3496435,4,-2,tob,low,match
Contingency judgement test ,3496435,5,4,tob,high,match
Contingency judgement test ,3496435,6,-4,wug,high,mismatch
Contingency judgement test ,3496435,7,9,wug,low,mismatch
Contingency judgement test ,3496435,8,3,wug,low,mismatch
Contingency judgement test ,3496435,9,10,wug,high,mismatch
Contingency judgement test ,3496435,10,4,tob,high,mismatch
Contingency judgement test ,3496435,11,-3,tob,high,match
Contingency judgement test ,3496435,12,3,wug,low,match
Contingency judgement test ,3496435,13,-4,tob,low,mismatch
Contingency judgement test ,3496435,14,5,wug,high,mismatch
Contingency judgement test ,3496435,15,3,tob,high,mismatch
Contingency judgement test ,3496435,16,3,wug,low,match
Contingency judgement test ,3496435,17,4,wug,low,mismatch
Contingency judgement test ,3496435,18,2,tob,low,mismatch
Contingency judgement test ,3496435,19,-4,tob,high,match
Contingency judgement test ,3496435,20,-6,wug,high,match
Contingency judgement test ,3496435,21,2,tob,low,match
Contingency judgement test ,3496435,22,-3,wug,high,mismatch
Contingency judgement test ,3496435,23,-8,wug,high,match
Contingency judgement test ,3496435,24,2,tob,low,mismatch
Contingency judgement test ,3496435,25,9,wug,high,mismatch
Contingency judgement test ,3496435,26,4,tob,low,match
Contingency judgement test ,3496435,27,-2,wug,low,match
Contingency judgement test ,3496435,28,5,wug,high,match
Contingency judgement test ,3496435,29,-5,tob,low,match
Contingency judgement test ,3496435,30,4,tob,high,mismatch
Contingency judgement test ,3496435,31,2,tob,low,mismatch
Contingency judgement test ,3496435,32,-9,wug,high,match
Contingency judgement test ,3496435,33,2,wug,low,mismatch
Contingency judgement test ,3496435,34,-3,wug,low,match
Contingency judgement test ,3496435,35,3,tob,high,mismatch
Contingency judgement test ,3496435,36,3,wug,high,match
Contingency judgement test ,3496435,37,4,tob,high,match
Contingency judgement test ,3496435,38,-4,tob,low,match
Contingency judgement test ,3496435,39,2,tob,high,match
Contingency judgement test ,3496435,40,-4,wug,low,mismatch
Contingency judgement test ,3510628,1,0,wug,low,match
Contingency judgement test ,3510628,2,0,wug,high,mismatch
Contingency judgement test ,3510628,3,-2,wug,high,match
Contingency judgement test ,3510628,4,-4,wug,low,match
Contingency judgement test ,3510628,5,-10,tob,low,match
Contingency judgement test ,3510628,6,-5,wug,low,mismatch
Contingency judgement test ,3510628,7,-10,tob,high,mismatch
Contingency judgement test ,3510628,8,-10,wug,low,match
Contingency judgement test ,3510628,9,-10,tob,high,mismatch
Contingency judgement test ,3510628,10,10,wug,low,mismatch
Contingency judgement test ,3510628,11,-10,tob,low,match
Contingency judgement test ,3510628,12,-10,wug,low,match
Contingency judgement test ,3510628,13,-10,tob,high,mismatch
Contingency judgement test ,3510628,14,10,tob,low,mismatch
Contingency judgement test ,3510628,15,-7,tob,high,mismatch
Contingency judgement test ,3510628,16,5,tob,high,match
Contingency judgement test ,3510628,17,-6,tob,low,match
Contingency judgement test ,3510628,18,7,tob,high,match
Contingency judgement test ,3510628,19,4,wug,high,match
Contingency judgement test ,3510628,20,-4,wug,high,mismatch
Contingency judgement test ,3510628,21,-3,wug,high,mismatch
Contingency judgement test ,3510628,22,-3,wug,high,mismatch
Contingency judgement test ,3510628,23,6,wug,low,mismatch
Contingency judgement test ,3510628,24,-6,tob,low,mismatch
Contingency judgement test ,3510628,25,0,tob,low,mismatch
Contingency judgement test ,3510628,26,-3,wug,low,mismatch
Contingency judgement test ,3510628,27,-7,tob,high,mismatch
Contingency judgement test ,3510628,28,5,wug,high,match
Contingency judgement test ,3510628,29,6,tob,low,mismatch
Contingency judgement test ,3510628,30,1,tob,low,match
Contingency judgement test ,3510628,31,6,wug,high,match
Contingency judgement test ,3510628,32,-5,tob,high,match
Contingency judgement test ,3510628,33,-5,wug,low,match
Contingency judgement test ,3510628,34,2,wug,high,match
Contingency judgement test ,3510628,35,1,wug,low,mismatch
Contingency judgement test ,3510628,36,5,tob,low,mismatch
Contingency judgement test ,3510628,37,-7,tob,low,match
Contingency judgement test ,3510628,38,4,tob,high,match
Contingency judgement test ,3510628,39,-10,wug,high,mismatch
Contingency judgement test ,3510628,40,4,tob,high,match
