resp,subjID,trial_index,plugin,rt,prolificID,task,learning,fribbleID,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
10,d1c4anqfzp,566,html-button-response,1786,5c5d6b55b7ce2100011fa04e,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,3b8h3oor4p,498,html-button-response,1858.330000017304,5f61bbe3c18cc915aac68b32,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,b00qxzsc7o,504,html-button-response,2199.899999999674,5ffc250201d8312c325a16a5,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,kyb3lzn0xx,584,html-button-response,75.85999998264015,5ee9cbbbdcf662000932fb78,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,r4145wj5y7,542,html-button-response,1968.9049999996787,5f78b0e3b43f410c88d3af45,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,53gv7n4gtu,514,html-button-response,2781.4499999985565,601fd3cd92f028532a257baf,labelPictures,LF,14_10_6_12,bim,100275,2,high,wug,purple,control,0
10,daqg5rc8xw,562,html-button-response,1168.9450000412762,5eadc934201643479a185e59,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,5qj7var04h,528,html-button-response,1176.7199999995064,5f4f835cea1e870397a4d295,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,5urksolxqo,498,html-button-response,1204.6599999885075,5d10fe33fbbf3d001a56d936,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,b00qxzsc7o,530,html-button-response,1389.004999997327,5ffc250201d8312c325a16a5,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,371addqx7x,556,html-button-response,2658.755000040401,5d8cd4be7bd5180017d887a3,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,371addqx7x,562,html-button-response,2706.56500000041,5d8cd4be7bd5180017d887a3,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,nsqbzarmrc,494,html-button-response,1350.1849999993574,601e9d81606b8d337ab338e4,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,s0xp76sxy4,582,html-button-response,1046.4200000278652,5f68a907efe6b000080540be,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,jxvpkh0u3z,496,html-button-response,725.0749999657273,5fd74512393436000a1a7323,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,rhglzajksw,524,html-button-response,2032.3649999918416,5ea98f445ef6ee093f4f05ec,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,2n2kv71sum,500,html-button-response,1323.7799999769777,5e67d9ed33e6a60542f4dfd7,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,6j0z0b0c72,494,html-button-response,1986.1849999870174,5ea44104a980d23d4f21f7ad,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,x8lrz32hbv,546,html-button-response,1708.7199999996228,5e7b899a6b890e0659e5e82e,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,581oqcuhue,564,html-button-response,1740.8449999997392,6009c2eda21be3026447d80e,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,32gxlbaw1s,520,html-button-response,868.6849999940023,5ea2381ad0a4b71481c298e7,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,r4145wj5y7,562,html-button-response,2016.2650000002468,5f78b0e3b43f410c88d3af45,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,f208my9c1t,590,html-button-response,1141,5d920df12b679a00182bbc73,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,yc8mkz3uaa,490,html-button-response,1855.1399999996647,5eaeb8b513f83a57d35db285,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,gqq2p40hu9,510,html-button-response,1218.9800000013784,5d41aa9ec61bc300012c73f6,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,ssktzegauz,580,html-button-response,989.0050003305078,5edba672293f3b028b70eb25,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,26fmzvup9c,540,html-button-response,2564.8099998943508,5e94262948e806768dfa43ed,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,jxvpkh0u3z,590,html-button-response,2052.490000030957,5fd74512393436000a1a7323,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,xtbpfv8d5p,588,html-button-response,789.1650000233203,5fbade0c4594d6b7c7d96ca9,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,823tgxfuz7,596,html-button-response,1420.249999999185,5f632ea32e85353d93872c67,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,f208my9c1t,556,html-button-response,1383,5d920df12b679a00182bbc73,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,xtbpfv8d5p,518,html-button-response,829.6350000021048,5fbade0c4594d6b7c7d96ca9,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,daqg5rc8xw,526,html-button-response,1025.4900001455098,5eadc934201643479a185e59,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,yc8mkz3uaa,502,html-button-response,1028.455000021495,5eaeb8b513f83a57d35db285,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,s52728tqhv,538,html-button-response,1579,6014777b8a88c449408352c5,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,0tf06g8uzp,568,html-button-response,1788.4199999999255,5b98223fbdb1df0001f1e684,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,zq33udleq5,586,html-button-response,843.8700000001118,5ec527351fc19046fdd6cd59,labelPictures,FL,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,sxbrz00bs5,540,html-button-response,1214,5ee7335388010f4c1b6bbdc2,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,vkybhfxevw,584,html-button-response,1720.9399999992456,5f9d4170f629422451ac7fd8,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
10,5urksolxqo,546,html-button-response,2548.429999995278,5d10fe33fbbf3d001a56d936,labelPictures,LF,14_53_10_37,wug,100275,2,high,wug,purple,exp,1
