fribbleID,subjID,trial_index,plugin,rt,prolificID,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
1,hc4uh4u04h,490,image-button-response,1505,5f5d6c3cbacc025bf0a03440,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,pmz1eqhg0u,490,image-button-response,3489,5f1bfe98441e2743f34fa16a,pictureLabels,bim,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,cjpw7y8c1k,490,image-button-response,2076,5efdc12f5d69f622915a97a1,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,kfhtlqkth4,490,image-button-response,2974,5edf8803c008532459792282,pictureLabels,bim,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,67zqwpqc3v,490,image-button-response,1339,5ea3066769713007dfc5f1c3,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,3a2waojqmg,490,image-button-response,1252,5e6a2c7c5b057b08e930e89d,pictureLabels,wug,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,o7w146d4yj,490,image-button-response,1584,5f343de4d0c07630b7f90b92,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,1e9hhup9lf,490,image-button-response,1826,5cbc680bfb8dfe0001839ba2,pictureLabels,bim,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,mvqchu948c,490,image-button-response,2024,5b421b9ac2e3810001763252,pictureLabels,tob,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,71bdswcm9k,490,image-button-response,1415,5f591a5a9a49e211efead835,pictureLabels,tob,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,1gynr5ywqp,490,image-button-response,1269,5db1bba0e20f58000b8717f6,pictureLabels,bim,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,ym6cxam2f3,490,image-button-response,1386,5ee87dba82ed8101333c7744,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,e4s1gf870t,490,image-button-response,NA,5f677b748c011837e12cba61,pictureLabels,NA,FL,tobdepwugbim,10375,3,high,dep,blue,exp,NA
1,8706z1pc24,490,image-button-response,1693,5c916456ec114b0016418dca,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,85gul0f7qh,490,image-button-response,2695,5e4ab1b4ca765d000edebd15,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,wod6ma11s3,490,image-button-response,1827,5f8228f40afba53534e6f583,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,pbt3n7l1gj,490,image-button-response,1368,5f63d70e4e460f141abccbc1,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,ek1v85vere,490,image-button-response,1877,5bdcd99964215c0001282b34,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,4euvjgbfcc,490,image-button-response,2010,600355394a113e408f54cce5,pictureLabels,bim,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,uyc3tp4v50,490,image-button-response,2646,6017d6a23bdebea5e9062e9d,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,ufb4y7bj2f,490,image-button-response,1208,5c2ce112f422870001fcab1f,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,qfloq0vkd1,490,image-button-response,2220,5acb896da3ba7a0001b4e99f,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,9q76krfydn,490,image-button-response,1159,5f3d9a9f10a5f219cfe0b404,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,5g2fbehb04,490,image-button-response,2441,591a1f4800a5650001276188,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,j07stgzsr2,490,image-button-response,2219,5d77c0eb4a666c0019561a80,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,g8ez0w4wvj,490,image-button-response,3336,5ec32348079dcc17451cac16,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,t2ubvm70lv,490,image-button-response,2261,5f858743256d25036d9fa693,pictureLabels,wug,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,jlov66vr8s,490,image-button-response,2513,5fc65eb000091528ea745f65,pictureLabels,tob,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,t8qovvqyjq,490,image-button-response,1635,5f89cbc45b38f5016101011c,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,3mctt6t3lt,490,image-button-response,3470,5b3cb17b6779080001fe88c1,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,rl7z98kzoa,490,image-button-response,1893,5faa8121f8f5533a5c7f7a20,pictureLabels,wug,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,pusqm5jv5t,490,image-button-response,2391,5f477a85d919ec03cadfaddd,pictureLabels,wug,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,e9dxj57s6l,490,image-button-response,2031,5eb58476f88d4008fa483809,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,q963ed16o4,490,image-button-response,1487,6006cf1238099707863fc7b4,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,w2brxm7ay2,490,image-button-response,2272,5f60713e595007000a8e1da7,pictureLabels,wug,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,y20qp8dcxo,490,image-button-response,3167,5f578563765fec223eb51594,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,hcnkaylepg,490,image-button-response,NA,5ce8ebe9c9379d0019898681,pictureLabels,NA,FL,tobdepwugbim,10375,3,high,dep,blue,exp,NA
1,163k2z1uov,490,image-button-response,1535,5f11ccbc1a1a2c08b4a99efb,pictureLabels,tob,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,fggxxfkvfo,490,image-button-response,2115,5fbfb86436a5de31c546f37b,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,8k7ujzqkju,490,image-button-response,599,5e8b2e599abd417d9512a877,pictureLabels,wug,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,aj9q5o0gf2,490,image-button-response,2278,5b01e69aa496b300013d5b9b,pictureLabels,bim,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,ol68ft1h8h,490,image-button-response,2370,5e5e17c97593e912e086c640,pictureLabels,wug,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,ker7u0dhxt,490,image-button-response,NA,5c87d68fe5bc060001ee8498,pictureLabels,NA,FL,tobdepwugbim,10375,3,high,dep,blue,exp,NA
1,yj9gmh2tyv,490,image-button-response,3037,5e8dcc81e6686e035680594e,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,ffbjr4pqha,490,image-button-response,2141,6009c27b9e9b700266fd52b5,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,xekfnorue1,490,image-button-response,NA,5a11a7d0f2e3460001edbe35,pictureLabels,NA,FL,tobdepwugbim,10375,3,high,dep,blue,exp,NA
1,psp3bt1vuy,490,image-button-response,1868,5933d3c4ed2e9a0001d37ab4,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,xu8vthdm2k,490,image-button-response,1581,5f85eb74d99dd00d735c107f,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,o0xz7vf2yt,490,image-button-response,NA,5f2b196c0c610f4ec3eb5451,pictureLabels,NA,LF,tobdepwugbim,10375,3,high,dep,blue,exp,NA
10,67zqwpqc3v,508,image-button-response,766,5ea3066769713007dfc5f1c3,pictureLabels,tob,LF,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,3a2waojqmg,508,image-button-response,1210,5e6a2c7c5b057b08e930e89d,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,o7w146d4yj,508,image-button-response,881,5f343de4d0c07630b7f90b92,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,yj9gmh2tyv,508,image-button-response,3018,5e8dcc81e6686e035680594e,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,q963ed16o4,508,image-button-response,1117,6006cf1238099707863fc7b4,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,rl7z98kzoa,508,image-button-response,815,5faa8121f8f5533a5c7f7a20,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,pusqm5jv5t,508,image-button-response,1779,5f477a85d919ec03cadfaddd,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,e9dxj57s6l,508,image-button-response,1685,5eb58476f88d4008fa483809,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,163k2z1uov,508,image-button-response,1077,5f11ccbc1a1a2c08b4a99efb,pictureLabels,dep,LF,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,w2brxm7ay2,508,image-button-response,755,5f60713e595007000a8e1da7,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,y20qp8dcxo,508,image-button-response,1389,5f578563765fec223eb51594,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,hcnkaylepg,508,image-button-response,1505,5ce8ebe9c9379d0019898681,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,t8qovvqyjq,508,image-button-response,872,5f89cbc45b38f5016101011c,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,3mctt6t3lt,508,image-button-response,1060,5b3cb17b6779080001fe88c1,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,kfhtlqkth4,508,image-button-response,3143,5edf8803c008532459792282,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ek1v85vere,508,image-button-response,1656,5bdcd99964215c0001282b34,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,4euvjgbfcc,508,image-button-response,878,600355394a113e408f54cce5,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,psp3bt1vuy,508,image-button-response,1074,5933d3c4ed2e9a0001d37ab4,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,uyc3tp4v50,508,image-button-response,767,6017d6a23bdebea5e9062e9d,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,1e9hhup9lf,508,image-button-response,1343,5cbc680bfb8dfe0001839ba2,pictureLabels,dep,LF,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,mvqchu948c,508,image-button-response,1251,5b421b9ac2e3810001763252,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,1gynr5ywqp,508,image-button-response,558,5db1bba0e20f58000b8717f6,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ym6cxam2f3,508,image-button-response,1098,5ee87dba82ed8101333c7744,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,e4s1gf870t,508,image-button-response,755,5f677b748c011837e12cba61,pictureLabels,dep,FL,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,hc4uh4u04h,508,image-button-response,1251,5f5d6c3cbacc025bf0a03440,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,pmz1eqhg0u,508,image-button-response,2850,5f1bfe98441e2743f34fa16a,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,cjpw7y8c1k,508,image-button-response,747,5efdc12f5d69f622915a97a1,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,pbt3n7l1gj,508,image-button-response,2080,5f63d70e4e460f141abccbc1,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,wod6ma11s3,508,image-button-response,981,5f8228f40afba53534e6f583,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,8k7ujzqkju,508,image-button-response,1248,5e8b2e599abd417d9512a877,pictureLabels,tob,LF,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,ffbjr4pqha,508,image-button-response,948,6009c27b9e9b700266fd52b5,pictureLabels,tob,FL,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,5g2fbehb04,508,image-button-response,2726,591a1f4800a5650001276188,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ufb4y7bj2f,508,image-button-response,838,5c2ce112f422870001fcab1f,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,qfloq0vkd1,508,image-button-response,1036,5acb896da3ba7a0001b4e99f,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,9q76krfydn,508,image-button-response,557,5f3d9a9f10a5f219cfe0b404,pictureLabels,dep,FL,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,ker7u0dhxt,508,image-button-response,679,5c87d68fe5bc060001ee8498,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,j07stgzsr2,508,image-button-response,1501,5d77c0eb4a666c0019561a80,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,8706z1pc24,508,image-button-response,986,5c916456ec114b0016418dca,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,jlov66vr8s,508,image-button-response,1234,5fc65eb000091528ea745f65,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,t2ubvm70lv,508,image-button-response,920,5f858743256d25036d9fa693,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ol68ft1h8h,508,image-button-response,2024,5e5e17c97593e912e086c640,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,o0xz7vf2yt,508,image-button-response,1135,5f2b196c0c610f4ec3eb5451,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,xekfnorue1,508,image-button-response,1843,5a11a7d0f2e3460001edbe35,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,71bdswcm9k,508,image-button-response,1481,5f591a5a9a49e211efead835,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,85gul0f7qh,508,image-button-response,945,5e4ab1b4ca765d000edebd15,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,fggxxfkvfo,508,image-button-response,1105,5fbfb86436a5de31c546f37b,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,aj9q5o0gf2,508,image-button-response,1293,5b01e69aa496b300013d5b9b,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,xu8vthdm2k,508,image-button-response,1073,5f85eb74d99dd00d735c107f,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
