subjID learning task fribbleID label rt resp trialType trialIndex acc Experiment.Version category frequency
1414937 FL learningBlock2 31225 FLtob NA NA audio-keyboard-response 238 NA 14 3 25
1414937 FL learningBlock2 22075 FLbim NA NA audio-keyboard-response 241 NA 14 2 75
1414937 FL learningBlock2 10325 FLdep NA NA audio-keyboard-response 244 NA 14 1 25
1414937 FL learningBlock2 10675 FLdep NA NA audio-keyboard-response 247 NA 14 1 75
1414937 FL learningBlock3 32475 FLtob NA NA audio-keyboard-response 256 NA 14 3 75
1414937 FL learningBlock3 20375 FLbim NA NA audio-keyboard-response 259 NA 14 2 75
1414937 FL learningBlock3 31125 FLtob NA NA audio-keyboard-response 262 NA 14 3 25
1414937 FL learningBlock3 12525 FLdep NA NA audio-keyboard-response 265 NA 14 1 25
1414937 FL learningBlock3 21075 FLbim NA NA audio-keyboard-response 268 NA 14 2 75
1414937 FL learningBlock3 12775 FLdep NA NA audio-keyboard-response 271 NA 14 1 75
1414937 FL learningBlock3 22275 FLbim NA NA audio-keyboard-response 274 NA 14 2 75
1414937 FL learningBlock3 11775 FLdep NA NA audio-keyboard-response 277 NA 14 1 75
1414937 FL learningBlock3 32575 FLtob NA NA audio-keyboard-response 280 NA 14 3 75
1414937 FL learningBlock3 23075 FLbim NA NA audio-keyboard-response 283 NA 14 2 75
1414937 FL learningBlock3 21825 FLbim NA NA audio-keyboard-response 286 NA 14 2 25
1414937 FL learningBlock3 32075 FLtob NA NA audio-keyboard-response 289 NA 14 3 75
1414937 FL learningBlock3 11675 FLdep NA NA audio-keyboard-response 292 NA 14 1 75
1414937 FL learningBlock3 31175 FLtob NA NA audio-keyboard-response 295 NA 14 3 75
1414937 FL learningBlock3 30525 FLtob NA NA audio-keyboard-response 298 NA 14 3 25
1414937 FL learningBlock3 31775 FLtob NA NA audio-keyboard-response 301 NA 14 3 75
1414937 FL learningBlock3 20575 FLbim NA NA audio-keyboard-response 304 NA 14 2 75
1414937 FL learningBlock3 31525 FLtob NA NA audio-keyboard-response 307 NA 14 3 25
1414937 FL learningBlock3 22325 FLbim NA NA audio-keyboard-response 310 NA 14 2 25
1414937 FL learningBlock3 22975 FLbim NA NA audio-keyboard-response 313 NA 14 2 75
1414937 FL learningBlock3 32075 FLtob NA NA audio-keyboard-response 316 NA 14 3 75
1414937 FL learningBlock3 10875 FLdep NA NA audio-keyboard-response 319 NA 14 1 75
1414937 FL learningBlock3 20775 FLbim NA NA audio-keyboard-response 322 NA 14 2 75
1414937 FL learningBlock3 12175 FLdep NA NA audio-keyboard-response 325 NA 14 1 75
1414937 FL learningBlock3 11825 FLdep NA NA audio-keyboard-response 328 NA 14 1 25
1414937 FL learningBlock4 31175 FLtob NA NA audio-keyboard-response 337 NA 14 3 75
1414937 FL learningBlock4 10475 FLdep NA NA audio-keyboard-response 340 NA 14 1 75
1414937 FL learningBlock4 22075 FLbim NA NA audio-keyboard-response 343 NA 14 2 75
1414937 FL learningBlock4 22225 FLbim NA NA audio-keyboard-response 346 NA 14 2 25
1414937 FL learningBlock4 22475 FLbim NA NA audio-keyboard-response 349 NA 14 2 75
1414937 FL learningBlock4 11975 FLdep NA NA audio-keyboard-response 352 NA 14 1 75
1414937 FL learningBlock4 30975 FLtob NA NA audio-keyboard-response 355 NA 14 3 75
1414937 FL learningBlock4 31275 FLtob NA NA audio-keyboard-response 358 NA 14 3 75
