subjID learning task fribbleID label rt resp trialType trialIndex acc Experiment.Version
1414937 FL learningBlock2 /task/70033/56/asset/13475.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 145 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/31225.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 148 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/32775.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 151 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/11975.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 154 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/31275.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 157 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/32575.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 160 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/11175.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 163 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/30525.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 166 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/13575.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 169 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/31125.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 172 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/21125.jpg /task/70033/56/asset/FLbim.mp3 NA NA audio-keyboard-response 175 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/21575.jpg /task/70033/56/asset/FLbim.mp3 NA NA audio-keyboard-response 178 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/31775.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 181 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/30725.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 184 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/12525.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 187 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/11575.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 190 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/30725.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 193 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/21275.jpg /task/70033/56/asset/FLbim.mp3 NA NA audio-keyboard-response 196 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/13275.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 199 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/23075.jpg /task/70033/56/asset/FLbim.mp3 NA NA audio-keyboard-response 202 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/30175.jpg /task/70033/56/asset/FLtob.mp3 NA NA audio-keyboard-response 205 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/22475.jpg /task/70033/56/asset/FLbim.mp3 NA NA audio-keyboard-response 208 NA 14
1414937 FL learningBlock2 /task/70033/56/asset/11675.jpg /task/70033/56/asset/FLdep.mp3 NA NA audio-keyboard-response 211 NA 14
