fribbleID subjID learning task label rt resp trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10275 1459025 LF generalizationPL bim_tob_dep_ 1306.23999983072 tob audio-button-response 503 NA 15 1 75 abbb jar
10275 1459701 LF generalizationPL bim_tob_dep_ NA NA audio-button-response 463 NA 15 1 75 abbb jar
10275 1458997 LF generalizationPL dep_tob_bim_ 1832.42500002962 bim audio-button-response 463 NA 15 1 75 abbb jar
10275 1459024 FL generalizationPL dep_tob_bim_ 210.464999981923 dep audio-button-response 550 NA 15 1 75 abbb jar
10275 1459706 FL generalizationPL bim_dep_tob_ 755.004999984521 bim audio-button-response 500 NA 15 1 75 abbb jar
10275 1431968 LF generalizationPL dep_tob_bim_ 676.044999971054 dep audio-button-response 523 NA 14 1 75 abbb jar
10275 1432301 LF generalizationPL dep_tob_bim_ 762.925000002724 dep audio-button-response 503 NA 14 1 75 abbb jar
10275 1459078 LF generalizationPL dep_bim_tob_ NA NA audio-button-response 463 NA 15 1 75 abbb jar
10275 1420577 LF generalizationPL bim_tob_dep_ NA NA audio-button-response 413 NA 14 1 75 abbb jar
10275 1431972 FL generalizationPL tob_bim_dep_ 582.379999978002 bim audio-button-response 500 NA 14 1 75 abbb jar
10275 1422477 FL generalizationPL dep_bim_tob_ 831.825000001118 dep audio-button-response 550 NA 14 1 75 abbb jar
10275 1459697 FL generalizationPL tob_bim_dep_ 401.5 bim audio-button-response 520 NA 15 1 75 abbb jar
10275 1431944 FL generalizationPL bim_tob_dep_ 404.490000000689 dep audio-button-response 550 NA 14 1 75 abbb jar
10325 1459696 FL generalizationPL bim_dep_tob_ 84.6650000021327 bim audio-button-response 484 NA 15 1 25 efgf barrel
10325 1459057 FL generalizationPL bim_dep_tob_ 561.74999999709 bim audio-button-response 525 NA 15 1 25 efgf barrel
10325 1459024 FL generalizationPL dep_tob_bim_ 436.239999980899 tob audio-button-response 465 NA 15 1 25 efgf barrel
10325 1432301 LF generalizationPL dep_bim_tob_ 516.385000009905 tob audio-button-response 478 NA 14 1 25 efgf barrel
10325 1420199 FL generalizationPL bim_dep_tob_ 1325.70999997552 tob audio-button-response 505 NA 14 1 25 efgf barrel
10325 1459007 FL generalizationPL bim_tob_dep_ 792.339999694377 tob audio-button-response 555 NA 15 1 25 efgf barrel
10325 1431953 FL generalizationPL tob_bim_dep_ 1409.20500003267 dep audio-button-response 505 NA 14 1 25 efgf barrel
10325 1432011 FL generalizationPL bim_tob_dep_ 598.405000288039 bim audio-button-response 475 NA 14 1 25 efgf barrel
10325 1422689 FL generalizationPL bim_dep_tob_ 1656.66999999667 tob audio-button-response 415 NA 14 1 25 efgf barrel
10325 1459025 LF generalizationPL dep_tob_bim_ 902.995000127703 bim audio-button-response 478 NA 15 1 25 efgf barrel
10325 1422716 FL generalizationPL dep_tob_bim_ 1962.50499994494 tob audio-button-response 415 NA 14 1 25 efgf barrel
10325 1431960 LF generalizationPL bim_tob_dep_ 1338.39499996975 dep audio-button-response 498 NA 14 1 25 efgf barrel
10325 1420177 FL generalizationPL tob_dep_bim_ 634.34000001871 dep audio-button-response 475 NA 14 1 25 efgf barrel
