subjID learning task fribbleID label rt resp trialType trialIndex acc Experiment.Version
1415040 NA randomDot NA NA 639 37 rdk 261 1 14
1415040 NA randomDot NA NA 554 39 rdk 262 1 14
1415040 NA randomDot NA NA 559 39 rdk 263 1 14
1415040 NA randomDot NA NA 506 39 rdk 264 1 14
1415040 NA randomDot NA NA 862 39 rdk 398 1 14
1415040 NA randomDot NA NA 536 37 rdk 399 1 14
1415040 NA randomDot NA NA 576 39 rdk 400 1 14
1415040 NA randomDot NA NA 562 39 rdk 401 1 14
1415040 NA randomDot NA NA 504 39 rdk 402 1 14
1431949 NA randomDot NA NA 1402.78499998385 37 rdk 12 1 14
1431949 NA randomDot NA NA 786.100000026636 39 rdk 13 1 14
1431949 NA randomDot NA NA 1053.49500000011 39 rdk 14 1 14
1431949 NA randomDot NA NA 853.625000047032 39 rdk 15 1 14
1431949 NA randomDot NA NA 575.259999954142 37 rdk 16 1 14
1431949 NA randomDot NA NA 738.490000017919 37 rdk 17 1 14
1431949 NA randomDot NA NA 1405.83999996306 37 rdk 80 1 14
1431949 NA randomDot NA NA 643.619999988005 39 rdk 81 1 14
1431949 NA randomDot NA NA 578.054999990854 37 rdk 82 1 14
1431949 NA randomDot NA NA 811.485000012908 37 rdk 83 1 14
1431949 NA randomDot NA NA 578.56500003254 39 rdk 84 1 14
1431949 NA randomDot NA NA 1588.4949999745 37 rdk 179 1 14
1431949 NA randomDot NA NA 560.445000010077 39 rdk 180 1 14
1431949 NA randomDot NA NA 757.710000034422 37 rdk 181 1 14
1431949 NA randomDot NA NA 680.649999994785 37 rdk 182 1 14
1431949 NA randomDot NA NA 554.029999999329 39 rdk 183 1 14
1431949 NA randomDot NA NA 1574.76500002667 37 rdk 263 1 14
1431949 NA randomDot NA NA 473.479999986012 39 rdk 264 1 14
1431949 NA randomDot NA NA 1060.67500001518 37 rdk 265 1 14
1431949 NA randomDot NA NA 682.375000033062 37 rdk 266 1 14
1431949 NA randomDot NA NA 570.00499998685 39 rdk 267 1 14
1431949 NA randomDot NA NA -1 -1 rdk 398 0 14
1431949 NA randomDot NA NA 465.945000003558 39 rdk 399 1 14
1431949 NA randomDot NA NA 541.009999986272 37 rdk 400 1 14
1431949 NA randomDot NA NA 694.580000010319 37 rdk 401 1 14
