fribbleID subjID learning task label rt resp trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10325 1431942 LF contingencyJudgement tob 4219 75 audio-slider-response 585 0 14 1 25 efgf barrel
10325 1431989 LF contingencyJudgement bim 3499 -47 audio-slider-response 623 0 14 1 25 efgf barrel
10325 1459052 FL contingencyJudgement tob 2040 -27 audio-slider-response 622 0 15 1 25 efgf barrel
10325 1458998 LF contingencyJudgement dep 2740 -53 audio-slider-response 617 1 15 1 25 efgf barrel
10325 1459706 FL contingencyJudgement tob 2270 13 audio-slider-response 594 0 15 1 25 efgf barrel
10375 1431972 FL contingencyJudgement tob 4830 67 audio-slider-response 578 0 14 1 75 aaac jar
10375 1431992 FL contingencyJudgement tob 2731 -100 audio-slider-response 602 0 14 1 75 aaac jar
10375 1422715 LF contingencyJudgement dep 3669 100 audio-slider-response 605 1 14 1 75 aaac jar
10375 1422679 FL contingencyJudgement tob 2554 -100 audio-slider-response 604 0 14 1 75 aaac jar
10375 1420622 FL contingencyJudgement tob 2349 -100 audio-slider-response 602 0 14 1 75 aaac jar
10375 1432030 LF contingencyJudgement dep 2869 100 audio-slider-response 585 1 14 1 75 aaac jar
10375 1459003 FL contingencyJudgement tob 3899 -5 audio-slider-response 590 0 15 1 75 aaac jar
10375 1459036 LF contingencyJudgement tob 4149 -100 audio-slider-response 581 0 15 1 75 aaac jar
10375 1459064 FL contingencyJudgement dep 2640 26 audio-slider-response 592 1 15 1 75 aaac jar
10375 1459767 FL contingencyJudgement bim 2221 -100 audio-slider-response 598 0 15 1 75 aaac jar
10375 1459052 FL contingencyJudgement tob 3051 -43 audio-slider-response 592 0 15 1 75 aaac jar
10425 1432011 FL contingencyJudgement dep 2304 78 audio-slider-response 618 1 14 1 25 fgfg barrel
10425 1432007 LF contingencyJudgement tob 2171 100 audio-slider-response 621 0 14 1 25 fgfg barrel
10425 1432009 FL contingencyJudgement bim 2345 -100 audio-slider-response 620 0 14 1 25 fgfg barrel
10425 1459047 FL contingencyJudgement bim 3111 -55 audio-slider-response 604 0 15 1 25 fgfg barrel
10425 1422472 FL contingencyJudgement dep 3147 3 audio-slider-response 612 1 14 1 25 fgfg barrel
10425 1432301 LF contingencyJudgement bim 2699 -43 audio-slider-response 617 0 14 1 25 fgfg barrel
10425 1414933 LF contingencyJudgement dep 2824 100 audio-slider-response 621 1 14 1 25 fgfg barrel
10425 1431970 LF contingencyJudgement tob 1422 100 audio-slider-response 607 0 14 1 25 fgfg barrel
10425 1458992 FL contingencyJudgement dep 3360 29 audio-slider-response 588 1 15 1 25 fgfg barrel
10425 1422679 FL contingencyJudgement tob 3692 100 audio-slider-response 620 0 14 1 25 fgfg barrel
10425 1431978 FL contingencyJudgement bim 2990 -57 audio-slider-response 604 0 14 1 25 fgfg barrel
10425 1420573 LF contingencyJudgement dep 2426 57 audio-slider-response 627 1 14 1 25 fgfg barrel
10425 1422463 FL contingencyJudgement bim 4516 -58 audio-slider-response 600 0 14 1 25 fgfg barrel
10425 1459003 FL contingencyJudgement tob 3400 1 audio-slider-response 586 0 15 1 25 fgfg barrel
10425 1422466 FL contingencyJudgement bim 1811 29 audio-slider-response 600 0 14 1 25 fgfg barrel
10425 1422677 FL contingencyJudgement bim 1878 -9 audio-slider-response 610 0 14 1 25 fgfg barrel
10425 1458998 LF contingencyJudgement dep 2299 -40 audio-slider-response 611 1 15 1 25 fgfg barrel
10425 1431948 LF contingencyJudgement bim 2499 -100 audio-slider-response 623 0 14 1 25 fgfg barrel
10425 1422477 FL contingencyJudgement bim 2541 67 audio-slider-response 592 0 14 1 25 fgfg barrel
10475 1459029 FL contingencyJudgement tob 2415 -100 audio-slider-response 582 0 15 1 75 bcbc jar
10475 1431954 LF contingencyJudgement bim 1852 -48 audio-slider-response 605 0 14 1 75 bcbc jar
10475 1422679 FL contingencyJudgement tob 2502 -100 audio-slider-response 622 0 14 1 75 bcbc jar
10475 1432323 LF contingencyJudgement tob 2331 -74 audio-slider-response 607 0 14 1 75 bcbc jar
10475 1422476 LF contingencyJudgement dep 2000 100 audio-slider-response 583 1 14 1 75 bcbc jar
10475 1431942 LF contingencyJudgement tob 3301 -100 audio-slider-response 607 0 14 1 75 bcbc jar
10475 1431978 FL contingencyJudgement bim 4029 91 audio-slider-response 624 0 14 1 75 bcbc jar
10475 1431952 LF contingencyJudgement bim 2027 8 audio-slider-response 615 0 14 1 75 bcbc jar
10475 1459708 FL contingencyJudgement bim 2932 -100 audio-slider-response 586 0 15 1 75 bcbc jar
10475 1422463 FL contingencyJudgement bim 3106 -100 audio-slider-response 608 0 14 1 75 bcbc jar
10475 1458997 LF contingencyJudgement dep 3619 -61 audio-slider-response 609 1 15 1 75 bcbc jar
10475 1431968 LF contingencyJudgement tob 2162 -45 audio-slider-response 611 0 14 1 75 bcbc jar
10475 1459697 FL contingencyJudgement dep 3692 -100 audio-slider-response 616 1 15 1 75 bcbc jar
10525 1414937 FL contingencyJudgement dep 2669 22 audio-slider-response 586 1 14 1 25 hfee barrel
10525 1422476 LF contingencyJudgement dep 2448 25 audio-slider-response 585 1 14 1 25 hfee barrel
10525 1459024 FL contingencyJudgement dep 2606 47 audio-slider-response 594 1 15 1 25 hfee barrel
10525 1420180 FL contingencyJudgement dep 3692 -76 audio-slider-response 592 1 14 1 25 hfee barrel
10525 1431999 LF contingencyJudgement dep 3280 -23 audio-slider-response 605 1 14 1 25 hfee barrel
10525 1422470 LF contingencyJudgement tob 2859 76 audio-slider-response 623 0 14 1 25 hfee barrel
10525 1431998 LF contingencyJudgement tob 4531 -66 audio-slider-response 613 0 14 1 25 hfee barrel
10525 1459048 FL contingencyJudgement tob 2377 -12 audio-slider-response 618 0 15 1 25 hfee barrel
10525 1431949 FL contingencyJudgement dep 3211 100 audio-slider-response 602 1 14 1 25 hfee barrel
10525 1422678 LF contingencyJudgement bim 2972 -71 audio-slider-response 621 0 14 1 25 hfee barrel
10525 1459025 LF contingencyJudgement tob 2400 -31 audio-slider-response 619 0 15 1 25 hfee barrel
10525 1432301 LF contingencyJudgement bim 2635 -51 audio-slider-response 619 0 14 1 25 hfee barrel
10575 1422716 FL contingencyJudgement bim 3509 -100 audio-slider-response 610 0 14 1 75 baac jar
10575 1431963 LF contingencyJudgement dep 1980 57 audio-slider-response 605 1 14 1 75 baac jar
10575 1459699 LF contingencyJudgement dep 2612 76 audio-slider-response 625 1 15 1 75 baac jar
10575 1459025 LF contingencyJudgement tob 1691 24 audio-slider-response 599 0 15 1 75 baac jar
10575 1420573 LF contingencyJudgement dep 1890 24 audio-slider-response 591 1 14 1 75 baac jar
10575 1458998 LF contingencyJudgement dep 2844 100 audio-slider-response 605 1 15 1 75 baac jar
10575 1432003 LF contingencyJudgement dep 2981 90 audio-slider-response 623 1 14 1 75 baac jar
10575 1459700 LF contingencyJudgement tob 3021 -100 audio-slider-response 613 0 15 1 75 baac jar
10575 1431970 LF contingencyJudgement tob 888 100 audio-slider-response 623 0 14 1 75 baac jar
10575 1414957 FL contingencyJudgement tob 2865 -65 audio-slider-response 620 0 14 1 75 baac jar
10625 1459009 FL contingencyJudgement bim 3531 -69 audio-slider-response 586 0 15 1 25 hffe barrel
10625 1422681 LF contingencyJudgement tob 3796 44 audio-slider-response 603 0 14 1 25 hffe barrel
