fribbleID,subjID,language,plugin,codeword,rt,task,resp,learning,label,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType,acc
1,c7w24j9nfq,de,image-button-response,ck05ng18,3460,pictureLabels,wug,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,ltyqe11amm,de,image-button-response,er05in25,1767,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,w1htsndwg2,en,image-button-response,bo05ou27,1483,pictureLabels,tob,LF,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,ptl3djnzo5,de,image-button-response,el06nd29,2300,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,mj8qhhm23d,de,image-button-response,va08im28,1312,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,w6nynz57oc,en,image-button-response,tz03as24,2144,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,ty0rq2vzkd,en,image-button-response,eh06in06,2239,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,td2t8o9pe4,de,image-button-response,HL06IN19,1824,pictureLabels,wug,FL,tobdepwugbim,10375,3,high,dep,blue,exp,0
1,wuvcv75zvq,de,image-button-response,VA04RD11,2772,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,zm0cozjsh6,en,image-button-response,al05rt16,2365,pictureLabels,dep,FL,tobdepwugbim,10375,3,high,dep,blue,exp,1
1,ulvf1nlewe,de,image-button-response,ia04an16,NA,pictureLabels,NA,LF,tobdepwugbim,10375,3,high,dep,blue,exp,NA
1,u9vce3hluj,de,image-button-response,ne05ar22,2420,pictureLabels,dep,LF,tobdepwugbim,10375,3,high,dep,blue,exp,1
10,5baebfz1ea,en,image-button-response,Ya05an03,2682,pictureLabels,tob,FL,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,tbo3kx7lyg,de,image-button-response,ke06ng04,1231,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,f0xfptzqrg,de,image-button-response,ay05em02,906,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,nav0ha06h4,en,image-button-response,TZ07ER11,1369,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,wuvcv75zvq,de,image-button-response,VA04RD11,1051,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,5jpxbwcfh4,de,image-button-response,el06as26,1013,pictureLabels,dep,FL,tobdepwugbim,100275,2,high,wug,purple,exp,0
10,0e2jb9zq47,en,image-button-response,UAJIIN24,687,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,9dovdyxkak,de,image-button-response,er09us26,1485,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,g6wblx1ehg,en,image-button-response,aj05er02,1986,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,1nbemfkd3a,de,image-button-response,KE05KO08,1795,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,9zuef86ced,de,image-button-response,rz06as26,1085,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,kbwv2blq88,de,image-button-response,el09rd31,1078,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,td2t8o9pe4,de,image-button-response,HL06IN19,1043,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,75db5dymcw,de,image-button-response,er05en16,1156,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,f64ncrzxu3,en,image-button-response,NS08US09,1750,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,owwgbas786,en,image-button-response,ke09im08,1214,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,zgrkqwru88,en,image-button-response,as04co18,1430,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,3zzac4tx1p,en,image-button-response,on03as29,1212,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,bhjyudy7kq,de,image-button-response,IC06IR09,1652,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,8vhxe9t9g0,en,image-button-response,ke05us31,1146,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,g4m3kbu4rq,en,image-button-response,ER04LF09,1513,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ptl3djnzo5,de,image-button-response,el06nd29,1729,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,dt4f26xnjv,en,image-button-response,ER04LF09,1074,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,mn35br66m1,de,image-button-response,IS05RY26,1824,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,wmv7c0r6c5,en,image-button-response,va04ik29,1860,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,2z8ekchs9g,en,image-button-response,rt08ed02,963,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,asumwjv4nj,en,image-button-response,ne06je04,1556,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,khlkyd4sl5,en,image-button-response,en04az24,1169,pictureLabels,wug,FL,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,ty0rq2vzkd,en,image-button-response,eh06in06,856,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
10,7acm8wjh3r,en,image-button-response,na09ay17,1132,pictureLabels,wug,LF,tobdepwugbim,100275,2,high,wug,purple,exp,1
