x1,x2,y1,y2,ROI
0,0.330078125,0.670572916666667,1,A
0.66015625,1,0.670572916666667,1,B
0.330078125,0.66015625,0.33984375,0.670572916666667,C
0,0.330078125,0,0.33984375,D
0.66015625,1,0,0.33984375,E
0,0.33984375,0.350260416666667,0.609375,left
0.66015625,1,0.350260416666667,0.609375,right
