task,subjID,trial,resp,labelPresented,frequency,trialType,list
Contingency judgement test ,3752844,26,-2,wug,low,match,10
Contingency judgement test ,3752844,27,8,tob,low,match,10
Contingency judgement test ,3752844,28,6,tob,high,mismatch,10
Contingency judgement test ,3752844,29,-2,tob,high,mismatch,10
Contingency judgement test ,3752844,30,1,tob,low,match,10
Contingency judgement test ,3752844,31,7,wug,high,mismatch,10
Contingency judgement test ,3752844,32,5,tob,high,mismatch,10
Contingency judgement test ,3752844,33,7,wug,high,mismatch,10
Contingency judgement test ,3752844,34,-9,tob,low,mismatch,10
Contingency judgement test ,3752844,35,6,wug,high,match,10
Contingency judgement test ,3752844,36,-6,tob,high,mismatch,10
Contingency judgement test ,3752844,37,9,tob,high,mismatch,10
Contingency judgement test ,3752844,38,10,tob,low,match,10
Contingency judgement test ,3752844,39,-6,wug,low,mismatch,10
Contingency judgement test ,3752844,40,-5,wug,low,mismatch,10
