Cues,Outcomes,Frequency
blue_d1_i1,dep,250
blue_d1_i2,dep,250
blue_d1_i3,dep,250
red_d2_j1,dep,250
purple_d3_k1,bim,250
purple_d3_k2,bim,250
purple_d3_k3,bim,250
blue_d4_l1,bim,250
red_d5_x1,tob,250
red_d5_x2,tob,250
red_d5_x3,tob,250
purple_d6_y1,tob,250
